ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
177557182	177557182	GCF_000328625.1	GCF_000328625.1	100.000000	2581	2581	2561	0.992251	0.400000	0.500000
177557182	343196316	GCF_000328625.1	GCF_000379025.1	65.425447	2581	3233	1621	0.557620	0.400000	0.500000
177557182	479721578	GCF_000328625.1	GCF_000517025.1	64.104383	2581	2734	1426	0.536595	0.400000	0.500000
177557182	107903168	GCF_000328625.1	GCF_023227745.1	65.107195	2581	2571	1376	0.534161	0.400000	0.500000
343196316	177557182	GCF_000379025.1	GCF_000328625.1	65.425447	3233	2581	1621	0.557620	0.400000	0.500000
343196316	343196316	GCF_000379025.1	GCF_000379025.1	100.000000	3233	3233	3191	0.987009	0.400000	0.500000
343196316	479721578	GCF_000379025.1	GCF_000517025.1	67.873455	3233	2734	1667	0.558740	0.400000	0.500000
343196316	107903168	GCF_000379025.1	GCF_023227745.1	65.846222	3233	2571	1403	0.483460	0.400000	0.500000
479721578	177557182	GCF_000517025.1	GCF_000328625.1	64.104383	2734	2581	1426	0.536595	0.400000	0.500000
479721578	343196316	GCF_000517025.1	GCF_000379025.1	67.873455	2734	3233	1667	0.558740	0.400000	0.500000
479721578	479721578	GCF_000517025.1	GCF_000517025.1	100.000000	2734	2734	2698	0.986832	0.400000	0.500000
479721578	107903168	GCF_000517025.1	GCF_023227745.1	65.671982	2734	2571	1433	0.540245	0.400000	0.500000
107903168	177557182	GCF_023227745.1	GCF_000328625.1	65.107195	2571	2581	1376	0.534161	0.400000	0.500000
107903168	343196316	GCF_023227745.1	GCF_000379025.1	65.846222	2571	3233	1403	0.483460	0.400000	0.500000
107903168	479721578	GCF_023227745.1	GCF_000517025.1	65.671982	2571	2734	1433	0.540245	0.400000	0.500000
107903168	107903168	GCF_023227745.1	GCF_023227745.1	100.000000	2571	2571	2569	0.999222	0.400000	0.500000
