ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
652725692	652725692	GCF_000015945.1	GCF_000015945.1	100.000000	1639	1639	1638	0.999390	0.400000	0.500000
652725692	985438179	GCF_000015945.1	GCF_000092185.1	58.832297	1639	1405	788	0.517740	0.400000	0.500000
652725692	883307073	GCF_000015945.1	GCF_000186365.1	59.143106	1639	1368	776	0.516129	0.400000	0.500000
652725692	794864638	GCF_000015945.1	GCF_000264495.1	59.042047	1639	1412	767	0.502786	0.400000	0.500000
985438179	652725692	GCF_000092185.1	GCF_000015945.1	58.832297	1405	1639	788	0.517740	0.400000	0.500000
985438179	985438179	GCF_000092185.1	GCF_000092185.1	100.000000	1405	1405	1405	1.000000	0.400000	0.500000
985438179	883307073	GCF_000092185.1	GCF_000186365.1	61.499275	1405	1368	966	0.696718	0.400000	0.500000
985438179	794864638	GCF_000092185.1	GCF_000264495.1	58.680184	1405	1412	868	0.616258	0.400000	0.500000
883307073	652725692	GCF_000186365.1	GCF_000015945.1	59.143106	1368	1639	776	0.516129	0.400000	0.500000
883307073	985438179	GCF_000186365.1	GCF_000092185.1	61.499275	1368	1405	966	0.696718	0.400000	0.500000
883307073	883307073	GCF_000186365.1	GCF_000186365.1	100.000000	1368	1368	1367	0.999269	0.400000	0.500000
883307073	794864638	GCF_000186365.1	GCF_000264495.1	59.414649	1368	1412	884	0.635971	0.400000	0.500000
794864638	652725692	GCF_000264495.1	GCF_000015945.1	59.042047	1412	1639	767	0.502786	0.400000	0.500000
794864638	985438179	GCF_000264495.1	GCF_000092185.1	58.680184	1412	1405	868	0.616258	0.400000	0.500000
794864638	883307073	GCF_000264495.1	GCF_000186365.1	59.414649	1412	1368	884	0.635971	0.400000	0.500000
794864638	794864638	GCF_000264495.1	GCF_000264495.1	100.000000	1412	1412	1412	1.000000	0.400000	0.500000
