POCP	GCF_918814755.1.faa	GCF_018314255.1.faa	GCF_014131735.1.faa	GCF_013394085.1.faa	GCF_004359375.1.faa	GCF_003096575.1.faa	GCF_002849895.1.faa	GCF_002706425.1.faa	GCF_002370355.1.faa	GCF_001936335.1.faa	GCF_001438695.1.faa	GCF_001437355.1.faa	GCF_001437255.1.faa	GCF_001436605.1.faa	GCF_001436395.1.faa	GCF_001436375.1.faa	GCF_001436295.1.faa	GCF_001435955.1.faa	GCF_001435835.1.faa	GCF_001435585.1.faa	GCF_001434695.1.faa	GCF_001434095.1.faa	GCF_001433875.1.faa	GCF_001433855.1.faa	GCF_001281265.1.faa	GCF_000970795.1.faa	GCF_000829055.1.faa	GCF_000428925.1.faa	GCF_000372485.1.faa	GCF_000260415.1.faa	GCF_000014445.1.faa
GCF_918814755.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_018314255.1.faa	42.95855278223036	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014131735.1.faa	42.8055388320289	49.688187820983124	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_013394085.1.faa	45.8377239199157	51.46541617819461	47.77709485761115	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004359375.1.faa	37.72455089820359	43.23440643863179	35.88850174216028	43.25991189427313	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003096575.1.faa	45.46225614927905	40.01497753369945	37.040242319342276	43.842794759825324	34.806102987921165	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_002849895.1.faa	37.29450446218882	43.62174740850433	47.08965000935804	42.661212704523585	34.729764675459016	34.103156274056964	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_002706425.1.faa	40.37854889589905	47.511485451761104	52.140410958904106	49.77433913604126	35.31164069660861	37.18707328174784	45.49364613880743	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_002370355.1.faa	44.751809720785936	47.728844823610785	49.80819705229154	48.3271375464684	38.51020995110728	39.54947248360422	49.17218543046358	52.25396825396825	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001936335.1.faa	39.42280750910619	39.49975235264983	38.05328749462827	40.38073262186328	34.329767149150406	35.69201995012469	43.64978365996437	42.0921825576141	47.01893190166714	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001438695.1.faa	41.34948096885813	35.40767081534163	32.945310784098396	39.869281045751634	33.8641533961651	64.56388799485033	31.60919540229885	32.73988439306358	36.99825479930192	34.56514813634916	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001437355.1.faa	50.11580775911986	41.2694366556207	39.45803040317251	44.301909307875896	37.12047012732615	49.46653734238603	37.46722600943891	38.57573648805381	44.18808411214953	38.784	45.866402116402114	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001437255.1.faa	42.61893084845513	51.06663734330328	50.31958163858222	46.478873239436616	41.171684296175755	38.095238095238095	47.70166741775574	51.91489361702127	49.77766798418972	44.89197119231795	35.55372807017544	41.19427627958173	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001436605.1.faa	40.14939309056956	38.647474198805	34.64402047463937	38.73352619736419	38.76683203401843	40.84852734922861	40.63811922753988	36.68304668304668	43.826578699340246	52.253814147018026	38.91484010061085	41.96460816179126	40.760389036251105	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001436395.1.faa	45.75848303393214	60.0625418807237	50.932652660514435	53.558627752176136	45.75615150677357	39.895804771044695	46.13095238095239	52.6207605344296	50.72900955253896	45.14813808100027	37.982112912241476	43.04152637485971	58.64374403056352	41.01715317484201	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001436375.1.faa	36.658495191401094	46.53499653499654	46.759549154664995	42.261103633916555	31.0057003257329	33.48846620801295	42.59226558361293	52.48376623376624	45.97003603261901	36.52995577000402	28.75025651549354	33.340193455443504	41.7836950574503	33.78085751407536	43.96822464437465	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001436295.1.faa	43.00248699977391	51.71708912510221	52.34204793028322	55.12612821106225	38.492063492063494	42.09748892171344	42.69287058331591	51.38257575757576	47.89437741862053	38.153395212506105	35.48710242925119	41.31691379743654	50.35846187269172	36.784376672017125	53.95984998896978	45.384351407000686	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001435955.1.faa	42.765520779887126	45.317151362491416	46.738912301826204	52.3709167544784	39.920159680638726	39.94910941475827	43.870361672146544	46.01472134595163	48.474663908996895	41.468198374894925	35.98615916955018	42.00926462072959	46.248160863168216	41.76781823840648	47.28043912175649	40.20365830661889	46.12254126158716	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001435835.1.faa	39.5398608881755	42.26289517470882	42.318059299191376	43.12431243124312	36.42067523155064	36.30441220017767	46.949731576378724	49.162132752992385	51.806903991370014	53.2414197711939	34.31076178960097	39.37462052216151	48.67279224093926	44.93940386505077	46.75155925155925	40.71553567956446	42.03612479474548	42.375601926163725	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001435585.1.faa	34.52219422368676	40.369580668088126	40.82319026265215	35.33715641684793	29.299496644295303	30.408503543142977	41.329951078093856	44.31515957446808	42.71787872879704	39.44099378881988	27.76485514908014	32.1102863202545	42.330024349129054	33.147071971390254	40.330233440880626	47.76051188299817	37.40323715693174	35.879046326807526	45.169033806761355	100	~	~	~	~	~	~	~	~	~	~	~
GCF_001434695.1.faa	46.952789699570815	47.72956609485368	48.056768558951966	48.717948717948715	42.55798969072165	41.54435226547543	44.8508430609598	47.954963235294116	59.913419913419915	46.746683512318384	38.27079934747145	47.7548344804982	52.19047619047619	46.19217081850534	51.59500693481276	40.79591836734694	48.134328358208954	53.67668097281831	49.56521739130435	39.06644238856182	100	~	~	~	~	~	~	~	~	~	~
GCF_001434095.1.faa	45.32199270959903	49.720818931135334	42.060772218414435	48.557993730407524	53.1540847983454	43.29580348004094	41.538882803943046	40.92552422270427	47.14898835070509	42.59196760040499	41.96366177498253	48.20926966292135	47.20622119815668	47.6409666283084	51.940035273368615	35.5120289546519	44.11841760544931	46.172539489671934	41.7624521072797	33.93367010762135	50.328833506403605	100	~	~	~	~	~	~	~	~	~
GCF_001433875.1.faa	36.61897191308956	37.77987273155786	37.35336488989504	42.91938997821351	34.02305645876441	33.6653970114269	39.743589743589745	39.041243791837616	40.544871794871796	49.14368650217707	32.59569377990431	37.38738738738739	39.782498735457764	45.90482356749757	39.93305870236869	34.022011971423055	36.61316585252384	43.24324324324324	43.469839513004985	34.55809334657398	42.24265796499555	39.64646464646464	100	~	~	~	~	~	~	~	~
GCF_001433855.1.faa	44.03564899451554	56.532507739938076	56.56473173411462	49.953205428170335	41.75658720200753	38.20672478206725	44.99577702702703	48.48079495509268	50.64427059364933	39.164813442055845	34.972123669538774	42.59918616480163	50.373134328358205	36.19615280411813	59.050378956754344	42.79536412385401	53.76453784941848	44.58409506398537	42.101518026565465	39.41813021110519	50.08809463881199	48.93899204244032	36.6650987770461	100	~	~	~	~	~	~	~
GCF_001281265.1.faa	46.30973986690865	50.64900662251656	43.384194944204054	49.68789013732834	57.15265866209263	46.21392190152802	42.49863611565739	41.70069661301945	47.771672771672776	42.52603291904602	43.04589707927677	47.03004891684137	48.62306368330464	50.400610454025184	53.278688524590166	36.17066440246232	46.41085878360741	47.97338173018753	41.64017800381436	33.39172323188088	53.324147433689284	61.85185185185185	41.13764927718416	48.57293868921776	100	~	~	~	~	~	~
GCF_000970795.1.faa	39.099198673666756	39.432485322896284	40.17857142857143	42.16661927779358	37.7633209417596	37.75322283609576	46.11711485297813	43.40929401251117	46.25243800501532	44.04255319148936	34.77579178425839	37.76377952755905	42.77441431955778	44.03544648943422	43.041029766693484	38.3359872611465	39.478764478764475	44.62558717877867	43.7987857762359	36.02459016393443	43.78109452736319	45.038167938931295	39.57081545064378	42.372467659262874	43.80574826560951	100	~	~	~	~	~
GCF_000829055.1.faa	37.28115345005149	43.163035311795646	44.612794612794616	39.406690511256045	31.09318996415771	32.999554962171786	42.47363374880153	50.05252100840336	46.362694300518136	41.825011047282366	30.440677966101692	35.751530265245975	46.25620655412116	35.299760191846524	44.39073514602215	47.12460063897764	41.43122676579926	40.720906282183314	45.79339723109691	49.493132766514066	42.99191374663073	35.726053188985645	35.066582117945465	40.596287267954246	37.01618578465869	38.61451048951049	100	~	~	~	~
GCF_000428925.1.faa	42.26254002134472	48.66123399301514	49.13344887348354	46.56338642810386	36.23660922217047	36.702127659574465	40.81268582755203	45.9220498015157	45.628356605800214	37.64921946740129	33.207990599294945	39.51898137231785	47.42034943473792	33.275	51.72054223149114	41.46141215106732	48.771593090211134	42.219850586979724	39.491712707182316	37.958291288261016	45.51611396543671	42.41235596960039	34.5757509318132	54.7162502421073	41.876374297581236	39.536995006808894	39.56043956043956	100	~	~	~
GCF_000372485.1.faa	40.9503470368393	40.45077105575326	37.818257089629476	40.148188803512625	32.99552906110283	43.98818316100443	36.70238675109596	36.9324353682381	38.132400430570506	34.386889083991804	39.53558504221954	42.216838279830405	40.44829342842588	35.60927801372101	41.33817427385892	34.51756940399922	39.82673846874268	38.73465029364655	35.6664807585053	32.674256041541845	40.47262937481304	39.96815286624204	34.48371065709553	40.31723484848485	39.632213062777424	35.535044707239685	34.21220497554752	39.069049194793735	100	~	~
GCF_000260415.1.faa	43.68238857637387	44.490276959340015	47.80094620641317	45.4646017699115	34.60174899550933	37.38559023703356	40.88719389803292	47.61817849972623	44.4904181184669	38.59771721406942	32.347328244274806	38.34370512206797	46.35568513119534	37.13487426974854	46.99915469146239	42.67463082794094	46.16281328929473	49.63219385547382	40.878529807261316	37.633860275369706	48.32898791182745	39.516932270916335	37.12761227212094	41.96078431372549	41.33995037220844	39.603960396039604	43.03638644918444	40.91329266038085	40.604026845637584	100	~
GCF_000014445.1.faa	47.29967344888219	41.97752808988764	41.29490722463482	45.398298530549106	33.64902506963789	58.75690607734807	36.742686017046765	40.67796610169492	42.16654011642622	35.815991237677984	50.380174598704585	48.37432852700028	40.51910598413843	36.529126213592235	41.48130041554632	37.22614184923877	44.00798934753662	40.994724943481536	37.922009945040564	32.81190385349103	42.64952487423142	40.385185185185186	34.97536945812808	40.14352993944831	42.933018589554436	35.602377093463	35.80396921830701	38.63255033557047	48.681117785322535	41.0201912858661	100
