POCP	GCF_900188115.1.faa	GCF_900176515.1.faa	GCF_900142365.1.faa	GCF_900129375.1.faa	GCF_900103775.1.faa	GCF_024171785.1.faa	GCF_016464705.1.faa	GCF_014645795.1.faa	GCF_014204915.1.faa	GCF_014137975.1.faa	GCF_009664835.1.faa	GCF_008630535.1.faa	GCF_008386585.1.faa	GCF_005405885.1.faa	GCF_004364325.1.faa	GCF_004362825.1.faa	GCF_004345645.1.faa	GCF_004340875.1.faa	GCF_004216555.1.faa	GCF_003002815.1.faa	GCF_000719975.1.faa	GCF_000719115.1.faa	GCF_000478275.1.faa	GCF_000429185.2.faa	GCF_000427825.1.faa	GCF_000379625.1.faa	GCF_000379465.1.faa	GCF_000023865.1.faa	GCF_000023245.1.faa	GCA_014138725.1.faa
GCF_900188115.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900176515.1.faa	36.52793687157948	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900142365.1.faa	41.68514412416852	38.78638786387864	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900129375.1.faa	40.419947506561684	46.802636768268634	40.90103159252095	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900103775.1.faa	38.526434195725535	51.14384205578189	40.78232524447664	54.85808991091775	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_024171785.1.faa	38.85200437011513	51.01349534921232	41.71820787449087	56.293957226926935	55.03228752201422	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016464705.1.faa	54.548809743495106	49.65218382939902	47.76584406001476	47.95308009011109	49.03293622985284	50.58660642716607	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014645795.1.faa	41.97351714130237	40.911655195757646	37.295115058538556	57.38458004746957	47.945773965970396	47.4085256272015	45.003891050583654	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014204915.1.faa	37.481854992742	53.77735105361564	39.195736434108525	52.783655117693726	59.88136311361297	53.86252660573432	47.53570710118689	47.003509701344285	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014137975.1.faa	45.45548547202978	38.5987416773563	39.79147778785131	45.69451563300871	43.06647332671908	45.898375278751196	50.26533275337103	44.688864161602325	41.19743925505602	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009664835.1.faa	50.11600928074246	39.787949971430386	43.016330451488955	47.248782247880214	45.157414083153085	45.23290884718499	53.31494252873563	46.976407845973064	44.32424196251714	61.73259167696745	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_008630535.1.faa	44.694363588250866	47.17525087320508	44.40768746061752	52.49775650613222	51.574243347552304	54.42272535508368	54.15242002887318	47.224511199340775	50.95380223202699	58.20410205102551	60.18990680499384	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_008386585.1.faa	38.22304488662656	51.27122953320452	39.811518324607334	53.256449570028664	53.018660812294186	56.02170210081383	47.647058823529406	46.90212311390039	53.60014083680535	40.94545988401968	42.85164961931862	48.204591536398716	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_005405885.1.faa	47.76090342679128	44.62055149658261	43.81394549049953	49.622166246851386	47.774372446001166	49.95059664057156	52.86871693121693	49.584825789645066	46.574196696173416	48.5222801720194	52.14860801241633	51.996824136562125	50.69600674915635	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004364325.1.faa	38.837525980075974	55.2607369389435	41.588296760710556	45.540405303977984	48.375035950532066	51.11058320465614	50.44685301388097	40.17538365173818	49.761482138895055	39.39082819986311	40.58613295210865	46.7621037109855	50.5557106953365	46.01275392807837	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004362825.1.faa	40.53281032932908	50.49902307651687	41.65931156222418	46.8679932735426	48.7714595698513	49.82806507075784	50.60806486025176	42.024001684328724	46.87346738597352	40.16596866759733	42.48818641029819	45.989010989010985	52.05386373463463	48.43275287143386	53.60386585933862	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004345645.1.faa	35.40629095674967	60.56466302367942	37.565437150249714	44.68343451864701	46.966616734431845	47.368421052631575	46.67525169749473	40.59170912459472	49.42849754331523	36.219136772004774	38.0924364254429	44.19041119262924	53.28961066000416	44.53929047100133	52.68577652359028	51.03067683817562	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004340875.1.faa	50.8765243902439	45.330309374273085	44.124841838886546	47.737610725401005	47.53015508328547	48.50908003886107	58.33603896103896	44.29964822513591	45.81703383432846	48.07675065004931	51.71366182474129	54.598642639831496	45.348837209302324	49.60013612387272	46.03174603174603	46.555871419199654	43.16688567674113	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004216555.1.faa	45.30645306453064	50.67093369266183	40.9943865276664	50.36513007759014	49.9759334387678	49.871391826236064	52.16853498260533	45.858416520612664	50.421440800737514	42.66655336505779	46.663078579117325	49.114187881494715	49.96348668923853	48.548791333171636	50.59813084112149	53.16031812473838	48.69505098807397	50.60748034622409	100	~	~	~	~	~	~	~	~	~	~	~
GCF_003002815.1.faa	36.93505370143444	55.25689009867302	41.04516806722689	49.48453608247423	53.10026004045074	56.319369853204435	48.187551761483085	43.770853005980484	54.70247381323824	41.05299380591879	41.52408339324227	48.05507532724129	56.40953716690043	47.03588659044346	55.53901764830959	51.5208235844642	51.30473681594513	44.92347769456203	48.39699436443331	100	~	~	~	~	~	~	~	~	~	~
GCF_000719975.1.faa	54.77808451900616	42.31914629606651	45.45791964368563	46.03160743909893	44.536964980544745	47.06982036901569	61.98185376267568	44.08573928258968	42.94819536055733	51.72208436724566	55.7800105764146	54.28839110808279	42.53552729992521	50.27163731734732	43.978547050219404	44.68792025947314	39.60674157303371	58.532110091743114	48.6495874945723	42.84513553267493	100	~	~	~	~	~	~	~	~	~
GCF_000719115.1.faa	39.76035711488762	55.04134778365607	40.24631936579841	50.155363415293166	53.21893710264799	52.644691452663864	50.4419927362434	46.51918002841486	54.85632866302541	42.946521674363176	45.478681867874435	49.06573018817917	54.231206267567735	49.18371711698866	50.93742941043596	49.53101550775388	49.02971338417039	46.53708511683391	50.32288443427957	61.203766734740185	45.62362407955667	100	~	~	~	~	~	~	~	~
GCF_000478275.1.faa	44.16044042469524	56.8787020345094	42.83075174079863	50.06779661016949	53.5517433578993	53.583333333333336	59.357589930531674	44.123039315542876	54.32995830851698	42.603948549207296	46.0633626097867	51.908498470541296	53.230935381292376	48.35754669720175	54.112382462897926	52.070523277701085	52.4075734402194	51.37705148975136	53.9292465568458	54.00022760896779	51.91706684960744	55.203400121432914	100	~	~	~	~	~	~	~
GCF_000429185.2.faa	42.488139167105956	41.22953351869015	39.77314644042789	49.375	47.07749477432841	51.81083265966046	47.95295782120435	45.29877359311125	45.02949852507375	47.77164267402879	48.43520268851081	49.21239837398374	44.06489543796979	46.83049427534208	41.964780920687744	42.6109537299339	37.42292289110673	47.82529406401021	44.361940942842345	44.429726715002786	48.48821923349176	44.7583081570997	44.37281965721219	100	~	~	~	~	~	~
GCF_000427825.1.faa	55.33869115958668	39.013627514600905	45.01936637203297	43.117729176361095	42.08532366990611	42.48382923673997	54.45224985760395	42.184293975004664	40.40672663277278	43.83473897726059	49.69703898479479	46.052750838393905	40.16743010582846	46.920144462279296	42.867609348670236	44.054303192826616	37.657127574217704	51.43249607535322	48.55186453224762	40.511459945463926	55.73842440201887	42.591255515443244	47.43372814438804	44.19997821588063	100	~	~	~	~	~
GCF_000379625.1.faa	39.63725490196078	35.544378698224854	48.85370706808547	37.97302819779322	37.74207746478873	38.65494841421475	43.98702594810379	35.866360956436296	36.14010507880911	41.04264529796445	43.352544690827386	42.3460832068993	37.52119841718485	43.672543201256765	37.736970737829445	39.81226253445578	34.72576918399611	41.02893340181476	37.765308611856554	39.73703433162893	43.17238777819691	37.50627015406665	39.637436155672255	37.194264829912846	40.03637833468068	100	~	~	~	~
GCF_000379465.1.faa	42.62554369315935	42.46058413026622	40.63838903170522	42.41825613079019	42.99309572681471	44.03734707018673	47.88858939802336	39.639762570785294	43.1877990430622	42.19666215606676	46.15991168585396	49.7394441475147	43.21865397360969	44.422067179745376	43.602138307552316	43.48374086211243	44.010375310994654	49.96814610320662	43.45407678741012	43.68144424131627	47.05341405471684	42.21341463414634	47.41832864309311	38.784690454406835	42.638359938416656	40.156170920396214	100	~	~	~
GCF_000023865.1.faa	52.48638408714184	39.15885382279149	42.72310045894952	45.62541742200172	43.20592692372453	46.07713352749096	61.01265822784811	44.51137884872824	39.74922130820222	50.07140503130836	53.36555463868914	49.066765716408206	40.28875625100823	50.340065952184666	41.31490474411655	43.919787471077214	36.72747073237136	52.70950846091862	46.38148534572702	40.67643742953776	63.209039548022595	42.98827964920908	48.82687083230427	49.10844454412919	55.50233357897323	41.237541528239205	41.23540614390991	100	~	~
GCF_000023245.1.faa	38.800553059108196	47.964098073555164	39.49423865130307	49.37899610494598	49.70007997867235	54.900740125890565	46.76022693341296	44.28003533568904	50.10545152425385	42.227492027148585	43.56103023516237	47.42713206189277	51.037103839216705	46.66406858924396	49.530615953001025	47.34707671510645	43.91065214951173	44.68362187835147	47.07001243690102	60.21544641226949	45.282231128924515	56.54726952436876	50.180056308518296	48.20227518060284	41.950656727014554	37.9604953754507	39.66322436361244	44.338422391857506	100	~
GCA_014138725.1.faa	38.120502943527875	51.54699643188817	39.46289191692023	51.87412941623401	53.62689779535804	53.11223263638548	47.31438105627928	46.718660833174816	55.809128630705395	40.753329633740286	43.070455204407075	49.93160054719562	58.020439275026824	49.97003396151029	50.01604449673762	49.57013308208691	52.06698325418645	44.59024998359688	48.606205852674066	55.73101299817381	43.06291040033891	53.37444330250085	54.306987399770904	42.565003513703445	39.76960237829803	38.55470056875209	47.5963197239793	39.69373057387613	50.05209290923577	100
