POCP	GCF_900106955.1.faa	GCF_023736155.1.faa	GCF_004364315.1.faa	GCF_003610015.1.faa	GCF_001937195.1.faa	GCF_001720485.1.faa	GCF_000621205.1.faa	GCF_000526695.1.faa	GCF_000382245.1.faa	GCF_000196875.2.faa
GCF_900106955.1.faa	100	~	~	~	~	~	~	~	~	~
GCF_023736155.1.faa	55.24743373678566	100	~	~	~	~	~	~	~	~
GCF_004364315.1.faa	65.99971001884877	62.35790841182202	100	~	~	~	~	~	~	~
GCF_003610015.1.faa	37.97831632653062	46.267847460690405	42.84262239539217	100	~	~	~	~	~	~
GCF_001937195.1.faa	57.52319483662768	60.122424604359516	67.09111488398415	41.76625795436909	100	~	~	~	~	~
GCF_001720485.1.faa	57.44620611551529	58.40316205533597	63.61463778939507	40.09884678747941	59.28127159640636	100	~	~	~	~
GCF_000621205.1.faa	48.385416666666664	54.44460452384383	52.59198468061824	44.58570146574933	55.68717360845752	48.676116608718914	100	~	~	~
GCF_000526695.1.faa	43.69844935664797	55.04414803682134	49.3061654663622	50.67087608524072	48.32343975613669	45.88737201365188	58.3384805435454	100	~	~
GCF_000382245.1.faa	51.566871852266374	60.07177406771728	58.651718542557894	41.59896002599935	60.213143872113676	52.0443420673769	54.416820946839465	50.723418573351275	100	~
GCF_000196875.2.faa	68.0	56.19349005424955	65.65800742220954	39.46089954552578	57.93798038695998	59.835494214415164	50.519964051868016	45.69761789013126	53.438059804326855	100
