POCP	GCF_900199545.1.faa	GCF_008831035.1.faa	GCF_003726035.1.faa	GCF_002899715.1.faa	GCF_002899695.1.faa	GCF_001643775.1.faa	GCF_000814825.1.faa	GCF_000478885.1.faa	GCF_000210055.1.faa	GCF_000162875.1.faa	GCF_000024265.1.faa	GCF_000023845.1.faa	GCA_900169505.1.faa
GCF_900199545.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_008831035.1.faa	49.86470815616544	100	~	~	~	~	~	~	~	~	~	~	~
GCF_003726035.1.faa	60.44583640383199	51.8249780123131	100	~	~	~	~	~	~	~	~	~	~
GCF_002899715.1.faa	58.512427583629226	49.899351375531204	63.91534391534391	100	~	~	~	~	~	~	~	~	~
GCF_002899695.1.faa	55.563139931740615	48.93574297188755	64.86434849063814	59.026565832848554	100	~	~	~	~	~	~	~	~
GCF_001643775.1.faa	43.17224784439543	47.18772826880935	49.07131391882596	46.778711484593835	45.712497392030045	100	~	~	~	~	~	~	~
GCF_000814825.1.faa	48.723947256486596	52.90423861852433	57.09028459273798	51.96299074768692	48.64685004436558	53.06740027510316	100	~	~	~	~	~	~
GCF_000478885.1.faa	51.272384542884076	49.08474576271186	56.764265868775375	54.95436766623207	55.15554685971434	49.85842378480415	51.783455603339235	100	~	~	~	~	~
GCF_000210055.1.faa	50.17301038062284	43.280735217617476	48.7958810828766	49.360699865410496	45.32775453277546	31.738351254480285	37.41265344664778	38.84367582231265	100	~	~	~	~
GCF_000162875.1.faa	43.17894736842105	45.78811369509044	50.678952473326866	45.0951321966889	46.685689201053556	48.87320119467825	56.18010594467334	47.13821544613847	31.723750701852893	100	~	~	~
GCF_000024265.1.faa	60.65440338596777	48.470454113623404	70.79934747145188	65.07352941176471	66.4649520927887	46.138691883372736	51.01231475683573	54.820170559881355	54.52790973871734	45.58793139078322	100	~	~
GCF_000023845.1.faa	42.60355029585799	46.95503699487763	50.79617834394905	47.19588187483067	44.11904761904762	57.61947700631199	58.51413543721235	47.02331961591221	31.26127932624825	56.37540453074433	44.34530448360473	100	~
GCA_900169505.1.faa	58.91763104152484	48.01841473178543	65.48571428571428	65.53257297506283	65.22351284758888	45.934705760033275	50.99469496021221	56.66081529159352	50.44056268356778	45.38495188101487	68.51634534786253	45.208728652751425	100
