ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
990745513	990745513	GCA_000263195.1	GCA_000263195.1	100.000000	4321	4321	4305	0.996297	0.400000	0.500000
990745513	903669887	GCA_000263195.1	GCF_000023125.1	60.624104	4321	5762	1954	0.387583	0.400000	0.500000
990745513	182130908	GCA_000263195.1	GCF_000166395.1	61.708425	4321	3567	1721	0.436359	0.400000	0.500000
990745513	770524217	GCA_000263195.1	GCF_000218895.1	62.641810	4321	5979	2558	0.496699	0.400000	0.500000
990745513	296864268	GCA_000263195.1	GCF_000296815.2	60.417195	4321	6201	2207	0.419502	0.400000	0.500000
990745513	859979619	GCA_000263195.1	GCF_000331105.1	60.054723	4321	5692	2128	0.425047	0.400000	0.500000
990745513	816089918	GCA_000263195.1	GCF_000427405.1	61.808322	4321	4918	2253	0.487715	0.400000	0.500000
990745513	831046682	GCA_000263195.1	GCF_001306455.1	62.200187	4321	3887	2139	0.521199	0.400000	0.500000
990745513	517567161	GCA_000263195.1	GCF_001870735.1	61.061222	4321	6310	2348	0.441727	0.400000	0.500000
990745513	29274264	GCA_000263195.1	GCF_003258705.1	61.518202	4321	4383	2041	0.468980	0.400000	0.500000
990745513	441734025	GCA_000263195.1	GCF_014651615.1	60.472791	4321	5109	2139	0.453659	0.400000	0.500000
990745513	428037204	GCA_000263195.1	GCF_017355935.1	61.145142	4321	5537	2213	0.448975	0.400000	0.500000
990745513	1020938791	GCA_000263195.1	GCF_900115665.1	61.465250	4321	5124	2177	0.460985	0.400000	0.500000
903669887	990745513	GCF_000023125.1	GCA_000263195.1	60.624104	5762	4321	1954	0.387583	0.400000	0.500000
903669887	903669887	GCF_000023125.1	GCF_000023125.1	100.000000	5762	5762	5743	0.996703	0.400000	0.500000
903669887	182130908	GCF_000023125.1	GCF_000166395.1	58.427923	5762	3567	1608	0.344731	0.400000	0.500000
903669887	770524217	GCF_000023125.1	GCF_000218895.1	62.479252	5762	5979	2528	0.430628	0.400000	0.500000
903669887	296864268	GCF_000023125.1	GCF_000296815.2	61.598041	5762	6201	2476	0.413943	0.400000	0.500000
903669887	859979619	GCF_000023125.1	GCF_000331105.1	60.908138	5762	5692	2224	0.388336	0.400000	0.500000
903669887	816089918	GCF_000023125.1	GCF_000427405.1	60.336539	5762	4918	2069	0.387453	0.400000	0.500000
903669887	831046682	GCF_000023125.1	GCF_001306455.1	58.298733	5762	3887	1697	0.351746	0.400000	0.500000
903669887	517567161	GCF_000023125.1	GCF_001870735.1	61.830997	5762	6310	2447	0.405401	0.400000	0.500000
903669887	29274264	GCF_000023125.1	GCF_003258705.1	58.138466	5762	4383	1786	0.352095	0.400000	0.500000
903669887	441734025	GCF_000023125.1	GCF_014651615.1	66.311525	5762	5109	2629	0.483672	0.400000	0.500000
903669887	428037204	GCF_000023125.1	GCF_017355935.1	67.795531	5762	5537	2719	0.481282	0.400000	0.500000
903669887	1020938791	GCF_000023125.1	GCF_900115665.1	60.166354	5762	5124	2183	0.401066	0.400000	0.500000
182130908	990745513	GCF_000166395.1	GCA_000263195.1	61.708425	3567	4321	1721	0.436359	0.400000	0.500000
182130908	903669887	GCF_000166395.1	GCF_000023125.1	58.427923	3567	5762	1608	0.344731	0.400000	0.500000
182130908	182130908	GCF_000166395.1	GCF_000166395.1	100.000000	3567	3567	3525	0.988225	0.400000	0.500000
182130908	770524217	GCF_000166395.1	GCF_000218895.1	59.177757	3567	5979	1614	0.338152	0.400000	0.500000
182130908	296864268	GCF_000166395.1	GCF_000296815.2	58.368214	3567	6201	1551	0.317568	0.400000	0.500000
182130908	859979619	GCF_000166395.1	GCF_000331105.1	58.115569	3567	5692	1503	0.324657	0.400000	0.500000
182130908	816089918	GCF_000166395.1	GCF_000427405.1	58.873522	3567	4918	1556	0.366765	0.400000	0.500000
182130908	831046682	GCF_000166395.1	GCF_001306455.1	61.942915	3567	3887	1616	0.433593	0.400000	0.500000
182130908	517567161	GCF_000166395.1	GCF_001870735.1	58.580752	3567	6310	1595	0.322973	0.400000	0.500000
182130908	29274264	GCF_000166395.1	GCF_003258705.1	61.255383	3567	4383	1607	0.404277	0.400000	0.500000
182130908	441734025	GCF_000166395.1	GCF_014651615.1	58.519352	3567	5109	1496	0.344859	0.400000	0.500000
182130908	428037204	GCF_000166395.1	GCF_017355935.1	58.746480	3567	5537	1591	0.349517	0.400000	0.500000
182130908	1020938791	GCF_000166395.1	GCF_900115665.1	58.798285	3567	5124	1545	0.355540	0.400000	0.500000
770524217	990745513	GCF_000218895.1	GCA_000263195.1	62.641810	5979	4321	2558	0.496699	0.400000	0.500000
770524217	903669887	GCF_000218895.1	GCF_000023125.1	62.479252	5979	5762	2528	0.430628	0.400000	0.500000
770524217	182130908	GCF_000218895.1	GCF_000166395.1	59.177757	5979	3567	1614	0.338152	0.400000	0.500000
770524217	770524217	GCF_000218895.1	GCF_000218895.1	100.000000	5979	5979	5927	0.991303	0.400000	0.500000
770524217	296864268	GCF_000218895.1	GCF_000296815.2	62.589418	5979	6201	2764	0.453859	0.400000	0.500000
770524217	859979619	GCF_000218895.1	GCF_000331105.1	61.518241	5979	5692	2593	0.444349	0.400000	0.500000
770524217	816089918	GCF_000218895.1	GCF_000427405.1	60.897234	5979	4918	2368	0.434615	0.400000	0.500000
770524217	831046682	GCF_000218895.1	GCF_001306455.1	59.092050	5979	3887	1937	0.392662	0.400000	0.500000
770524217	517567161	GCF_000218895.1	GCF_001870735.1	62.645037	5979	6310	2871	0.467247	0.400000	0.500000
770524217	29274264	GCF_000218895.1	GCF_003258705.1	58.579482	5979	4383	1930	0.372515	0.400000	0.500000
770524217	441734025	GCF_000218895.1	GCF_014651615.1	62.547462	5979	5109	2719	0.490440	0.400000	0.500000
770524217	428037204	GCF_000218895.1	GCF_017355935.1	63.788767	5979	5537	2773	0.481591	0.400000	0.500000
770524217	1020938791	GCF_000218895.1	GCF_900115665.1	60.970084	5979	5124	2273	0.409439	0.400000	0.500000
296864268	990745513	GCF_000296815.2	GCA_000263195.1	60.417195	6201	4321	2207	0.419502	0.400000	0.500000
296864268	903669887	GCF_000296815.2	GCF_000023125.1	61.598041	6201	5762	2476	0.413943	0.400000	0.500000
296864268	182130908	GCF_000296815.2	GCF_000166395.1	58.368214	6201	3567	1551	0.317568	0.400000	0.500000
296864268	770524217	GCF_000296815.2	GCF_000218895.1	62.589418	6201	5979	2764	0.453859	0.400000	0.500000
296864268	296864268	GCF_000296815.2	GCF_000296815.2	100.000000	6201	6201	6187	0.997742	0.400000	0.500000
296864268	859979619	GCF_000296815.2	GCF_000331105.1	68.487078	6201	5692	3378	0.568065	0.400000	0.500000
296864268	816089918	GCF_000296815.2	GCF_000427405.1	60.161308	6201	4918	2286	0.411188	0.400000	0.500000
296864268	831046682	GCF_000296815.2	GCF_001306455.1	57.870691	6201	3887	1752	0.347343	0.400000	0.500000
296864268	517567161	GCF_000296815.2	GCF_001870735.1	69.198093	6201	6310	3304	0.528175	0.400000	0.500000
296864268	29274264	GCF_000296815.2	GCF_003258705.1	57.586599	6201	4383	1776	0.335601	0.400000	0.500000
296864268	441734025	GCF_000296815.2	GCF_014651615.1	61.859587	6201	5109	2592	0.458355	0.400000	0.500000
296864268	428037204	GCF_000296815.2	GCF_017355935.1	63.177122	6201	5537	2769	0.471801	0.400000	0.500000
296864268	1020938791	GCF_000296815.2	GCF_900115665.1	60.450156	6201	5124	2248	0.396998	0.400000	0.500000
859979619	990745513	GCF_000331105.1	GCA_000263195.1	60.054723	5692	4321	2128	0.425047	0.400000	0.500000
859979619	903669887	GCF_000331105.1	GCF_000023125.1	60.908138	5692	5762	2224	0.388336	0.400000	0.500000
859979619	182130908	GCF_000331105.1	GCF_000166395.1	58.115569	5692	3567	1503	0.324657	0.400000	0.500000
859979619	770524217	GCF_000331105.1	GCF_000218895.1	61.518241	5692	5979	2593	0.444349	0.400000	0.500000
859979619	296864268	GCF_000331105.1	GCF_000296815.2	68.487078	5692	6201	3378	0.568065	0.400000	0.500000
859979619	859979619	GCF_000331105.1	GCF_000331105.1	100.000000	5692	5692	5684	0.998595	0.400000	0.500000
859979619	816089918	GCF_000331105.1	GCF_000427405.1	59.695877	5692	4918	2219	0.418285	0.400000	0.500000
859979619	831046682	GCF_000331105.1	GCF_001306455.1	57.572021	5692	3887	1712	0.357449	0.400000	0.500000
859979619	517567161	GCF_000331105.1	GCF_001870735.1	67.135517	5692	6310	3152	0.525246	0.400000	0.500000
859979619	29274264	GCF_000331105.1	GCF_003258705.1	57.064821	5692	4383	1707	0.338859	0.400000	0.500000
859979619	441734025	GCF_000331105.1	GCF_014651615.1	60.802250	5692	5109	2422	0.448477	0.400000	0.500000
859979619	428037204	GCF_000331105.1	GCF_017355935.1	61.854279	5692	5537	2559	0.455784	0.400000	0.500000
859979619	1020938791	GCF_000331105.1	GCF_900115665.1	59.800160	5692	5124	2182	0.403476	0.400000	0.500000
816089918	990745513	GCF_000427405.1	GCA_000263195.1	61.808322	4918	4321	2253	0.487715	0.400000	0.500000
816089918	903669887	GCF_000427405.1	GCF_000023125.1	60.336539	4918	5762	2069	0.387453	0.400000	0.500000
816089918	182130908	GCF_000427405.1	GCF_000166395.1	58.873522	4918	3567	1556	0.366765	0.400000	0.500000
816089918	770524217	GCF_000427405.1	GCF_000218895.1	60.897234	4918	5979	2368	0.434615	0.400000	0.500000
816089918	296864268	GCF_000427405.1	GCF_000296815.2	60.161308	4918	6201	2286	0.411188	0.400000	0.500000
816089918	859979619	GCF_000427405.1	GCF_000331105.1	59.695877	4918	5692	2219	0.418285	0.400000	0.500000
816089918	816089918	GCF_000427405.1	GCF_000427405.1	100.000000	4918	4918	4909	0.998170	0.400000	0.500000
816089918	831046682	GCF_000427405.1	GCF_001306455.1	58.556607	4918	3887	1718	0.390233	0.400000	0.500000
816089918	517567161	GCF_000427405.1	GCF_001870735.1	60.534006	4918	6310	2379	0.423762	0.400000	0.500000
816089918	29274264	GCF_000427405.1	GCF_003258705.1	58.344435	4918	4383	1689	0.363187	0.400000	0.500000
816089918	441734025	GCF_000427405.1	GCF_014651615.1	59.621967	4918	5109	2044	0.407699	0.400000	0.500000
816089918	428037204	GCF_000427405.1	GCF_017355935.1	60.528993	4918	5537	2154	0.412052	0.400000	0.500000
816089918	1020938791	GCF_000427405.1	GCF_900115665.1	69.569672	4918	5124	2900	0.577574	0.400000	0.500000
831046682	990745513	GCF_001306455.1	GCA_000263195.1	62.200187	3887	4321	2139	0.521199	0.400000	0.500000
831046682	903669887	GCF_001306455.1	GCF_000023125.1	58.298733	3887	5762	1697	0.351746	0.400000	0.500000
831046682	182130908	GCF_001306455.1	GCF_000166395.1	61.942915	3887	3567	1616	0.433593	0.400000	0.500000
831046682	770524217	GCF_001306455.1	GCF_000218895.1	59.092050	3887	5979	1937	0.392662	0.400000	0.500000
