POCP	GCF_900115755.1.faa	GCF_900107765.1.faa	GCF_019797745.1.faa	GCF_019130065.1.faa	GCF_014642875.1.faa	GCF_013106755.1.faa	GCF_009740285.1.faa	GCF_009650435.1.faa	GCF_009192765.1.faa	GCF_008710285.1.faa	GCF_007971225.1.faa	GCF_007970185.1.faa	GCF_007830055.1.faa	GCF_005233845.1.faa	GCF_004366355.1.faa	GCF_003991195.1.faa	GCF_003721595.1.faa	GCF_003555545.1.faa	GCF_003412455.1.faa	GCF_003332885.2.faa	GCF_002954265.1.faa	GCF_002797735.1.faa	GCF_002355595.1.faa	GCF_001953305.1.faa	GCF_001623405.1.faa	GCF_000974785.1.faa	GCF_000511175.1.faa	GCF_000425585.1.faa	GCF_000374125.1.faa	GCF_000374045.1.faa	GCF_000246855.1.faa	GCF_000024005.1.faa
GCF_900115755.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900107765.1.faa	42.86944752061031	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_019797745.1.faa	32.74431057563588	31.920305214073757	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_019130065.1.faa	46.13619772656168	41.49630274032188	31.39711910059726	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014642875.1.faa	43.38697017268446	36.89151954281049	28.155764602931526	46.04386821774265	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_013106755.1.faa	49.24277191372189	36.90976811245945	31.033133315940514	40.2657128257537	40.94147092799384	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009740285.1.faa	43.66129994036971	37.712712712712715	31.94274028629857	41.54855087793526	37.764740976434325	46.69618925533155	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009650435.1.faa	49.98536156923978	36.69575806778973	28.55278895291943	44.123365146694944	43.652991022736806	48.00344728526286	39.94264240506329	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009192765.1.faa	50.222469410456064	38.62975456554612	31.448362720403022	45.95884282731882	43.02194710185706	44.24123666448944	42.11180124223603	45.59111691704768	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_008710285.1.faa	48.0814408770556	38.40393166393635	30.003802763341366	43.96482813749001	44.55753463387051	45.4296661193213	41.9127669241254	42.55578473654603	48.68742693166118	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
