POCP	GCF_014197145.1.faa	GCF_009617585.1.faa	GCF_004341885.1.faa	GCF_003952725.1.faa	GCF_003046475.1.faa	GCF_002008365.1.faa	GCF_001541315.1.faa	GCF_001461695.1.faa	GCF_000731315.1.faa	GCF_000621665.1.faa	GCA_000722615.1.faa
GCF_014197145.1.faa	100	~	~	~	~	~	~	~	~	~	~
GCF_009617585.1.faa	49.69979986657772	100	~	~	~	~	~	~	~	~	~
GCF_004341885.1.faa	57.40042314414497	55.531984334203656	100	~	~	~	~	~	~	~	~
GCF_003952725.1.faa	49.6	45.51554020720276	48.71111956625131	100	~	~	~	~	~	~	~
GCF_003046475.1.faa	59.22849340009103	53.946721714341884	62.15524594825135	52.419928825622776	100	~	~	~	~	~	~
GCF_002008365.1.faa	50.204183681973504	55.85026897788404	56.71414038657172	42.857142857142854	53.93441219282473	100	~	~	~	~	~
GCF_001541315.1.faa	53.201525491770376	63.45052427526654	59.69131065063529	48.00124921923798	56.553297386976354	59.167639050952936	100	~	~	~	~
GCF_001461695.1.faa	52.9015591844266	53.32133507853403	60.47452785272179	46.95162675317241	60.68067306778211	60.90313182811362	58.51218469431381	100	~	~	~
GCF_000731315.1.faa	51.88327428677979	61.58863842787549	56.02530226599407	47.62731481481482	55.2373630597732	60.20415656899464	62.86479019167675	56.546520028899415	100	~	~
GCF_000621665.1.faa	55.46695662679715	54.75056924032291	53.32669322709164	49.627478216946585	57.76046248586151	51.60279369627507	59.55326836745867	53.607114308553165	55.61394643759474	100	~
GCA_000722615.1.faa	54.788909892879644	60.45658751260659	56.42888790429774	52.782627673505026	57.46576831123669	53.29896076693789	60.34881480053961	54.69652537101217	63.680430879712745	56.483718789552405	100
