POCP	GCF_900114455.1.faa	GCF_900113245.1.faa	GCF_900107195.1.faa	GCF_005543295.1.faa	GCF_002844195.1.faa	GCF_001469955.1.faa	GCF_000427685.1.faa	GCF_000237865.1.faa	GCF_000172995.2.faa	GCF_000025685.1.faa
GCF_900114455.1.faa	100	~	~	~	~	~	~	~	~	~
GCF_900113245.1.faa	66.08430054978619	100	~	~	~	~	~	~	~	~
GCF_900107195.1.faa	55.26093768832108	61.78639715924611	100	~	~	~	~	~	~	~
GCF_005543295.1.faa	55.63685972962917	59.96049661399548	58.19444444444445	100	~	~	~	~	~	~
GCF_002844195.1.faa	66.46981627296587	64.37752478883584	54.67938654751842	56.53038399403505	100	~	~	~	~	~
GCF_001469955.1.faa	65.7916134278081	64.09483887870056	54.50555125225923	57.1618743343983	64.85511462818573	100	~	~	~	~
GCF_000427685.1.faa	53.22882545624707	56.292090320876795	58.03513337670787	56.70379814789961	52.44960150023441	51.981993247467805	100	~	~	~
GCF_000237865.1.faa	46.644951140065146	50.02985074626866	53.11215502055197	50.51687442991791	45.645645645645644	46.7012914093206	50.74331020812686	100	~	~
GCF_000172995.2.faa	59.995312866182324	67.52215901574282	59.236083952548555	55.54659136748688	59.21577835172576	60.05261180007516	53.673314819490024	48.03518229536105	100	~
GCF_000025685.1.faa	63.374389960492685	67.0947451185952	61.91398682681132	57.99707018244773	60.58207217694994	59.801365611421474	55.40405303977983	48.98188456677433	64.63659147869674	100
