ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
544746010	544746010	GCF_000495435.3	GCF_000495435.3	100.000000	3892	3892	3892	1.000000	0.400000	0.500000
544746010	881130788	GCF_000495435.3	GCF_000701905.1	63.176118	3892	2931	1386	0.406273	0.400000	0.500000
544746010	731528030	GCF_000495435.3	GCF_001403615.1	57.968961	3892	5323	1184	0.256972	0.400000	0.500000
544746010	1024375938	GCF_000495435.3	GCF_006742065.1	57.210854	3892	4297	995	0.243009	0.400000	0.500000
544746010	412595097	GCF_000495435.3	GCF_009696465.1	57.655774	3892	3167	814	0.230628	0.400000	0.500000
544746010	165290567	GCF_000495435.3	GCF_900456775.1	57.940075	3892	2409	801	0.254245	0.400000	0.500000
544746010	904698485	GCF_000495435.3	GCF_901482605.1	56.790223	3892	2632	808	0.247701	0.400000	0.500000
881130788	544746010	GCF_000701905.1	GCF_000495435.3	63.176118	2931	3892	1386	0.406273	0.400000	0.500000
881130788	881130788	GCF_000701905.1	GCF_000701905.1	100.000000	2931	2931	2926	0.998294	0.400000	0.500000
881130788	731528030	GCF_000701905.1	GCF_001403615.1	57.413496	2931	5323	1130	0.273807	0.400000	0.500000
881130788	1024375938	GCF_000701905.1	GCF_006742065.1	56.977247	2931	4297	879	0.243221	0.400000	0.500000
881130788	412595097	GCF_000701905.1	GCF_009696465.1	57.398079	2931	3167	781	0.256150	0.400000	0.500000
881130788	165290567	GCF_000701905.1	GCF_900456775.1	58.192240	2931	2409	683	0.255805	0.400000	0.500000
881130788	904698485	GCF_000701905.1	GCF_901482605.1	56.853406	2931	2632	778	0.279705	0.400000	0.500000
731528030	544746010	GCF_001403615.1	GCF_000495435.3	57.968961	5323	3892	1184	0.256972	0.400000	0.500000
731528030	881130788	GCF_001403615.1	GCF_000701905.1	57.413496	5323	2931	1130	0.273807	0.400000	0.500000
731528030	731528030	GCF_001403615.1	GCF_001403615.1	100.000000	5323	5323	5296	0.994928	0.400000	0.500000
731528030	1024375938	GCF_001403615.1	GCF_006742065.1	60.139493	5323	4297	1518	0.315593	0.400000	0.500000
731528030	412595097	GCF_001403615.1	GCF_009696465.1	61.008564	5323	3167	1302	0.306714	0.400000	0.500000
731528030	165290567	GCF_001403615.1	GCF_900456775.1	62.125519	5323	2409	1107	0.286342	0.400000	0.500000
731528030	904698485	GCF_001403615.1	GCF_901482605.1	61.983109	5323	2632	1335	0.335638	0.400000	0.500000
1024375938	544746010	GCF_006742065.1	GCF_000495435.3	57.210854	4297	3892	995	0.243009	0.400000	0.500000
1024375938	881130788	GCF_006742065.1	GCF_000701905.1	56.977247	4297	2931	879	0.243221	0.400000	0.500000
1024375938	731528030	GCF_006742065.1	GCF_001403615.1	60.139493	4297	5323	1518	0.315593	0.400000	0.500000
1024375938	1024375938	GCF_006742065.1	GCF_006742065.1	100.000000	4297	4297	4246	0.988131	0.400000	0.500000
1024375938	412595097	GCF_006742065.1	GCF_009696465.1	63.160295	4297	3167	1423	0.381297	0.400000	0.500000
1024375938	165290567	GCF_006742065.1	GCF_900456775.1	62.410415	4297	2409	1229	0.366537	0.400000	0.500000
1024375938	904698485	GCF_006742065.1	GCF_901482605.1	58.857254	4297	2632	1089	0.314331	0.400000	0.500000
412595097	544746010	GCF_009696465.1	GCF_000495435.3	57.655774	3167	3892	814	0.230628	0.400000	0.500000
412595097	881130788	GCF_009696465.1	GCF_000701905.1	57.398079	3167	2931	781	0.256150	0.400000	0.500000
412595097	731528030	GCF_009696465.1	GCF_001403615.1	61.008564	3167	5323	1302	0.306714	0.400000	0.500000
412595097	1024375938	GCF_009696465.1	GCF_006742065.1	63.160295	3167	4297	1423	0.381297	0.400000	0.500000
412595097	412595097	GCF_009696465.1	GCF_009696465.1	100.000000	3167	3167	3157	0.996842	0.400000	0.500000
412595097	165290567	GCF_009696465.1	GCF_900456775.1	63.079351	3167	2409	1017	0.364778	0.400000	0.500000
412595097	904698485	GCF_009696465.1	GCF_901482605.1	59.316429	3167	2632	980	0.337989	0.400000	0.500000
165290567	544746010	GCF_900456775.1	GCF_000495435.3	57.940075	2409	3892	801	0.254245	0.400000	0.500000
165290567	881130788	GCF_900456775.1	GCF_000701905.1	58.192240	2409	2931	683	0.255805	0.400000	0.500000
165290567	731528030	GCF_900456775.1	GCF_001403615.1	62.125519	2409	5323	1107	0.286342	0.400000	0.500000
165290567	1024375938	GCF_900456775.1	GCF_006742065.1	62.410415	2409	4297	1229	0.366537	0.400000	0.500000
165290567	412595097	GCF_900456775.1	GCF_009696465.1	63.079351	2409	3167	1017	0.364778	0.400000	0.500000
165290567	165290567	GCF_900456775.1	GCF_900456775.1	100.000000	2409	2409	2391	0.992528	0.400000	0.500000
165290567	904698485	GCF_900456775.1	GCF_901482605.1	60.100174	2409	2632	861	0.341599	0.400000	0.500000
904698485	544746010	GCF_901482605.1	GCF_000495435.3	56.790223	2632	3892	808	0.247701	0.400000	0.500000
904698485	881130788	GCF_901482605.1	GCF_000701905.1	56.853406	2632	2931	778	0.279705	0.400000	0.500000
904698485	731528030	GCF_901482605.1	GCF_001403615.1	61.983109	2632	5323	1335	0.335638	0.400000	0.500000
904698485	1024375938	GCF_901482605.1	GCF_006742065.1	58.857254	2632	4297	1089	0.314331	0.400000	0.500000
904698485	412595097	GCF_901482605.1	GCF_009696465.1	59.316429	2632	3167	980	0.337989	0.400000	0.500000
904698485	165290567	GCF_901482605.1	GCF_900456775.1	60.100174	2632	2409	861	0.341599	0.400000	0.500000
904698485	904698485	GCF_901482605.1	GCF_901482605.1	100.000000	2632	2632	2608	0.990881	0.400000	0.500000
