ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
953151779	953151779	GCF_000172155.1	GCF_000172155.1	100.000000	6572	6572	6530	0.993609	0.400000	0.500000
953151779	853241887	GCF_000172155.1	GCF_003315205.1	67.849217	6572	6430	3385	0.520689	0.400000	0.500000
953151779	675493765	GCF_000172155.1	GCF_004364345.1	61.827345	6572	4705	2463	0.436818	0.400000	0.500000
953151779	18208828	GCF_000172155.1	GCF_005780165.1	65.614222	6572	5003	2672	0.461685	0.400000	0.500000
853241887	953151779	GCF_003315205.1	GCF_000172155.1	67.849217	6430	6572	3385	0.520689	0.400000	0.500000
853241887	853241887	GCF_003315205.1	GCF_003315205.1	100.000000	6430	6430	6418	0.998134	0.400000	0.500000
853241887	675493765	GCF_003315205.1	GCF_004364345.1	62.054277	6430	4705	2455	0.440952	0.400000	0.500000
853241887	18208828	GCF_003315205.1	GCF_005780165.1	65.338623	6430	5003	2549	0.445902	0.400000	0.500000
675493765	953151779	GCF_004364345.1	GCF_000172155.1	61.827345	4705	6572	2463	0.436818	0.400000	0.500000
675493765	853241887	GCF_004364345.1	GCF_003315205.1	62.054277	4705	6430	2455	0.440952	0.400000	0.500000
675493765	675493765	GCF_004364345.1	GCF_004364345.1	100.000000	4705	4705	4696	0.998087	0.400000	0.500000
675493765	18208828	GCF_004364345.1	GCF_005780165.1	61.458395	4705	5003	2150	0.442934	0.400000	0.500000
18208828	953151779	GCF_005780165.1	GCF_000172155.1	65.614222	5003	6572	2672	0.461685	0.400000	0.500000
18208828	853241887	GCF_005780165.1	GCF_003315205.1	65.338623	5003	6430	2549	0.445902	0.400000	0.500000
18208828	675493765	GCF_005780165.1	GCF_004364345.1	61.458395	5003	4705	2150	0.442934	0.400000	0.500000
18208828	18208828	GCF_005780165.1	GCF_005780165.1	100.000000	5003	5003	5000	0.999400	0.400000	0.500000
