ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
34374593	34374593	GCF_000242255.2	GCF_000242255.2	100.000000	3243	3243	3237	0.998150	0.400000	0.500000
34374593	315490686	GCF_000242255.2	GCF_000378125.1	61.496674	3243	3685	1413	0.407910	0.400000	0.500000
34374593	832945313	GCF_000242255.2	GCF_000761445.1	64.757181	3243	2994	1483	0.475549	0.400000	0.500000
34374593	270819008	GCF_000242255.2	GCF_000953855.2	65.264619	3243	3042	1392	0.442959	0.400000	0.500000
34374593	612388227	GCF_000242255.2	GCF_001010355.1	66.794716	3243	3807	1495	0.424113	0.400000	0.500000
34374593	20367679	GCF_000242255.2	GCF_001632775.1	62.637899	3243	3601	1380	0.403273	0.400000	0.500000
34374593	505069543	GCF_000242255.2	GCF_001887595.1	65.031802	3243	4322	1720	0.454726	0.400000	0.500000
34374593	33485987	GCF_000242255.2	GCF_002077135.1	62.114946	3243	3390	1288	0.388361	0.400000	0.500000
34374593	563484234	GCF_000242255.2	GCF_003148905.1	67.775029	3243	3349	1712	0.519417	0.400000	0.500000
34374593	137995449	GCF_000242255.2	GCF_003967035.1	67.039691	3243	2637	1523	0.518027	0.400000	0.500000
34374593	649664968	GCF_000242255.2	GCF_004363655.1	61.977687	3243	5717	1414	0.315625	0.400000	0.500000
34374593	463091588	GCF_000242255.2	GCF_015905305.1	65.571088	3243	3766	1636	0.466828	0.400000	0.500000
315490686	34374593	GCF_000378125.1	GCF_000242255.2	61.496674	3685	3243	1413	0.407910	0.400000	0.500000
315490686	315490686	GCF_000378125.1	GCF_000378125.1	100.000000	3685	3685	3684	0.999729	0.400000	0.500000
315490686	832945313	GCF_000378125.1	GCF_000761445.1	63.178680	3685	2994	1651	0.494385	0.400000	0.500000
315490686	270819008	GCF_000378125.1	GCF_000953855.2	65.970449	3685	3042	1714	0.509588	0.400000	0.500000
315490686	612388227	GCF_000378125.1	GCF_001010355.1	63.106617	3685	3807	1617	0.431660	0.400000	0.500000
315490686	20367679	GCF_000378125.1	GCF_001632775.1	65.781868	3685	3601	1820	0.499588	0.400000	0.500000
315490686	505069543	GCF_000378125.1	GCF_001887595.1	62.697940	3685	4322	1723	0.430373	0.400000	0.500000
315490686	33485987	GCF_000378125.1	GCF_002077135.1	62.310027	3685	3390	1501	0.424311	0.400000	0.500000
315490686	563484234	GCF_000378125.1	GCF_003148905.1	64.582049	3685	3349	1752	0.498152	0.400000	0.500000
315490686	137995449	GCF_000378125.1	GCF_003967035.1	64.403293	3685	2637	1488	0.470737	0.400000	0.500000
315490686	649664968	GCF_000378125.1	GCF_004363655.1	64.504924	3685	5717	2031	0.432036	0.400000	0.500000
315490686	463091588	GCF_000378125.1	GCF_015905305.1	62.889592	3685	3766	1739	0.466783	0.400000	0.500000
832945313	34374593	GCF_000761445.1	GCF_000242255.2	64.757181	2994	3243	1483	0.475549	0.400000	0.500000
832945313	315490686	GCF_000761445.1	GCF_000378125.1	63.178680	2994	3685	1651	0.494385	0.400000	0.500000
832945313	832945313	GCF_000761445.1	GCF_000761445.1	100.000000	2994	2994	2989	0.998330	0.400000	0.500000
