POCP	GCF_900184705.1.faa	GCF_003966975.1.faa	GCF_001306145.1.faa	GCF_001306115.1.faa	GCF_001306055.1.faa	GCF_001306035.1.faa	GCF_001192795.1.faa	GCF_001050275.1.faa	GCF_001050235.1.faa	GCF_000199675.1.faa
GCF_900184705.1.faa	100	~	~	~	~	~	~	~	~	~
GCF_003966975.1.faa	37.36513344690517	100	~	~	~	~	~	~	~	~
GCF_001306145.1.faa	43.67355123320634	42.76450511945393	100	~	~	~	~	~	~	~
GCF_001306115.1.faa	38.77450172953385	42.51152073732719	51.69975932611312	100	~	~	~	~	~	~
GCF_001306055.1.faa	41.02655498128676	39.15792720542875	67.7278603749192	51.498899889989005	100	~	~	~	~	~
GCF_001306035.1.faa	42.10436851946286	41.3854351687389	55.804953560371516	53.39342523860021	55.26538678712591	100	~	~	~	~
GCF_001192795.1.faa	30.598802395209578	32.058473567907534	32.897798460712366	33.48823264877829	31.878924488810174	33.84235693351843	100	~	~	~
GCF_001050275.1.faa	37.00416591197247	42.6024397873006	50.11479173499508	48.77471456418825	47.57512645046118	50.54332284815556	35.549746773403044	100	~	~
GCF_001050235.1.faa	39.19118855827717	39.994249568717656	53.34834834834835	49.0831611570248	52.48489840746843	56.44520910534675	32.994164297471194	49.110369752571586	100	~
GCF_000199675.1.faa	40.30792060842144	39.351851851851855	61.3941018766756	47.94384571752695	59.51152912621359	54.82226107226107	31.480554164580205	45.739772377729935	53.15685164212911	100
