POCP	GCF_900156315.1.faa	GCF_900109355.1.faa	GCF_016863275.1.faa	GCF_016863135.1.faa	GCF_014646695.1.faa	GCF_014202315.1.faa	GCF_009687885.1.faa	GCF_006716785.1.faa	GCF_003594875.1.faa	GCF_003315795.1.faa	GCF_001570605.1.faa	GCF_000092645.1.faa	GCF_000024865.1.faa	GCA_014647935.1.faa	GCA_001570385.1.faa
GCF_900156315.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900109355.1.faa	62.65426578429619	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016863275.1.faa	68.9176967138981	59.630856601987695	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016863135.1.faa	60.9759118211654	61.829001700267185	59.44103194103194	100	~	~	~	~	~	~	~	~	~	~	~
GCF_014646695.1.faa	63.80982567353407	57.23250900956879	61.03357223689174	59.15966386554622	100	~	~	~	~	~	~	~	~	~	~
GCF_014202315.1.faa	59.286024777222345	60.962452598408376	58.86161316428379	60.62213381954804	57.75458392101551	100	~	~	~	~	~	~	~	~	~
GCF_009687885.1.faa	56.578734423045795	54.51315231226135	58.30833511892008	56.48859148749451	55.218949490424464	57.84643920534973	100	~	~	~	~	~	~	~	~
GCF_006716785.1.faa	55.71157495256167	54.765080776641476	53.697580039080115	55.85081585081585	56.45806658130602	54.3801652892562	49.528116397955166	100	~	~	~	~	~	~	~
GCF_003594875.1.faa	55.701003180817224	58.66082678346432	54.275138054493596	59.652184753475034	52.753845171995664	55.86402885561264	48.928435787531875	50.59300635090672	100	~	~	~	~	~	~
GCF_003315795.1.faa	54.19838523644752	57.22294580667082	52.12065708889016	54.53478133255063	52.553868315227184	57.62052877138414	50.38356587550842	51.326363701016994	54.415689915283735	100	~	~	~	~	~
GCF_001570605.1.faa	63.66540993034698	58.46693386773547	63.40937896070976	61.31386861313869	61.997327989311955	58.923802488777774	63.45589893976991	54.696847210994335	53.97284951425079	53.20229815542788	100	~	~	~	~
GCF_000092645.1.faa	56.30977570884469	51.582330641173556	53.72509626653274	52.024326672458734	53.51113505747126	47.99854703959317	45.87710461936969	64.74929709465792	47.86916047484841	45.8546571136131	53.17892824704814	100	~	~	~
GCF_000024865.1.faa	62.0474335472044	65.75527426160338	60.612952749189745	67.80945717450878	59.40275377004232	60.29063176337215	56.261835303751475	53.283487338647106	60.138328530259365	57.73089085159743	60.122515164254395	50.40961223375204	100	~	~
GCA_014647935.1.faa	61.09183740263141	60.303924083098224	58.151609553478714	74.0448837830617	59.16563912864776	58.67533522958147	54.01497695852534	56.617769628271375	58.05154571221409	54.686629957309904	60.40630182421227	54.502726076330134	66.39842742183181	100	~
GCA_001570385.1.faa	65.56780923994039	63.71826371826372	62.11995741156986	61.63934426229508	57.26888667992047	58.25367156208278	56.51712800933291	54.386484884410194	55.47423360729498	54.66281637506369	59.06700062617407	54.960448253131176	64.0546773921359	59.92434927554815	100
