ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
900958906	900958906	GCF_000023405.1	GCF_000023405.1	100.000000	3146	3146	3137	0.997139	0.400000	0.500000
900958906	696601733	GCF_000023405.1	GCF_001570785.1	62.721353	3146	1886	1227	0.487679	0.400000	0.500000
900958906	429152881	GCF_000023405.1	GCF_014191425.1	63.240328	3146	2339	1432	0.522151	0.400000	0.500000
900958906	162237137	GCF_000023405.1	GCF_900070355.1	63.778401	3146	2530	1382	0.486963	0.400000	0.500000
696601733	900958906	GCF_001570785.1	GCF_000023405.1	62.721353	1886	3146	1227	0.487679	0.400000	0.500000
696601733	696601733	GCF_001570785.1	GCF_001570785.1	100.000000	1886	1886	1886	1.000000	0.400000	0.500000
696601733	429152881	GCF_001570785.1	GCF_014191425.1	65.961251	1886	2339	1231	0.582722	0.400000	0.500000
696601733	162237137	GCF_001570785.1	GCF_900070355.1	62.632282	1886	2530	1078	0.488225	0.400000	0.500000
429152881	900958906	GCF_014191425.1	GCF_000023405.1	63.240328	2339	3146	1432	0.522151	0.400000	0.500000
429152881	696601733	GCF_014191425.1	GCF_001570785.1	65.961251	2339	1886	1231	0.582722	0.400000	0.500000
429152881	429152881	GCF_014191425.1	GCF_014191425.1	100.000000	2339	2339	2302	0.984181	0.400000	0.500000
429152881	162237137	GCF_014191425.1	GCF_900070355.1	62.599473	2339	2530	1233	0.506470	0.400000	0.500000
162237137	900958906	GCF_900070355.1	GCF_000023405.1	63.778401	2530	3146	1382	0.486963	0.400000	0.500000
162237137	696601733	GCF_900070355.1	GCF_001570785.1	62.632282	2530	1886	1078	0.488225	0.400000	0.500000
162237137	429152881	GCF_900070355.1	GCF_014191425.1	62.599473	2530	2339	1233	0.506470	0.400000	0.500000
162237137	162237137	GCF_900070355.1	GCF_900070355.1	100.000000	2530	2530	2526	0.998419	0.400000	0.500000
