ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
867712150	867712150	GCF_000024905.1	GCF_000024905.1	100.000000	1773	1773	1770	0.998308	0.400000	0.500000
867712150	157195841	GCF_000024905.1	GCF_000165795.1	64.015960	1773	2417	1391	0.663962	0.400000	0.500000
867712150	309637121	GCF_000024905.1	GCF_000585335.1	57.271630	1773	3105	920	0.377204	0.400000	0.500000
867712150	717325268	GCF_000024905.1	GCF_000712295.1	57.510831	1773	2609	854	0.389776	0.400000	0.500000
157195841	867712150	GCF_000165795.1	GCF_000024905.1	64.015960	2417	1773	1391	0.663962	0.400000	0.500000
157195841	157195841	GCF_000165795.1	GCF_000165795.1	100.000000	2417	2417	2409	0.996690	0.400000	0.500000
157195841	309637121	GCF_000165795.1	GCF_000585335.1	58.325365	2417	3105	1096	0.396958	0.400000	0.500000
157195841	717325268	GCF_000165795.1	GCF_000712295.1	58.309369	2417	2609	1030	0.409869	0.400000	0.500000
309637121	867712150	GCF_000585335.1	GCF_000024905.1	57.271630	3105	1773	920	0.377204	0.400000	0.500000
309637121	157195841	GCF_000585335.1	GCF_000165795.1	58.325365	3105	2417	1096	0.396958	0.400000	0.500000
309637121	309637121	GCF_000585335.1	GCF_000585335.1	100.000000	3105	3105	3087	0.994203	0.400000	0.500000
309637121	717325268	GCF_000585335.1	GCF_000712295.1	76.113859	3105	2609	1656	0.579629	0.400000	0.500000
717325268	867712150	GCF_000712295.1	GCF_000024905.1	57.510831	2609	1773	854	0.389776	0.400000	0.500000
717325268	157195841	GCF_000712295.1	GCF_000165795.1	58.309369	2609	2417	1030	0.409869	0.400000	0.500000
717325268	309637121	GCF_000712295.1	GCF_000585335.1	76.113859	2609	3105	1656	0.579629	0.400000	0.500000
717325268	717325268	GCF_000712295.1	GCF_000712295.1	100.000000	2609	2609	2590	0.992718	0.400000	0.500000
