POCP	GCF_900113015.1.faa	GCF_018324255.1.faa	GCF_016925615.1.faa	GCF_016863655.1.faa	GCF_016863475.1.faa	GCF_016862955.1.faa	GCF_014647915.1.faa	GCF_014204945.1.faa	GCF_014202425.1.faa	GCF_011764565.1.faa	GCF_003426775.1.faa	GCF_003387075.1.faa	GCF_002926165.1.faa	GCF_000716715.1.faa	GCF_000428945.1.faa	GCF_000379825.1.faa	GCF_000379685.1.faa	GCA_003610235.1.faa
GCF_900113015.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_018324255.1.faa	49.05558876270174	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016925615.1.faa	40.69064945764108	47.38236711096837	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016863655.1.faa	52.17107246959494	48.403238502192735	41.31353219818205	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016863475.1.faa	56.30235855135971	52.976279277935255	46.041629603273435	50.16893930252202	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016862955.1.faa	44.70636889991729	45.58960074280409	40.23758959384126	47.23529411764706	43.63920099875156	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014647915.1.faa	38.775812301088	41.863321343977546	41.47265836491608	36.02663554609734	47.97290664572495	34.382359237850565	100	~	~	~	~	~	~	~	~	~	~	~
GCF_014204945.1.faa	46.497438554078165	50.18019789004652	42.070703214476595	46.03071246405122	48.06747811232116	55.32307692307692	38.93871449925261	100	~	~	~	~	~	~	~	~	~	~
GCF_014202425.1.faa	40.275037716142506	43.54582727152493	39.81324278438031	41.44341170038272	42.559309849029475	41.046459179070816	35.22641350919936	43.93276244846178	100	~	~	~	~	~	~	~	~	~
GCF_011764565.1.faa	48.24669414850902	53.40134001327941	44.317156148024715	49.277932607043326	49.35851514164767	46.493926281215785	37.57117171111777	48.280069726902965	40.42528264307891	100	~	~	~	~	~	~	~	~
GCF_003426775.1.faa	43.92538975501113	47.89878849066128	43.50336159017831	46.261043331931006	44.616015304728066	57.47481312967175	36.835853986855646	52.1072099933297	42.50856164383562	47.71028825082879	100	~	~	~	~	~	~	~
GCF_003387075.1.faa	51.71196413561222	52.45661984364075	44.896455155133026	52.21416856250992	52.744301356655875	49.79015642884395	38.58878056576634	51.300683927699076	44.77428096323212	54.083248501300766	47.98679478865767	100	~	~	~	~	~	~
GCF_002926165.1.faa	52.38427393785668	60.52862791038219	49.48668870715156	49.35219303458933	56.47597621725856	47.68313667649951	45.72277038030463	52.0523040346829	44.53467024431578	54.26411225732043	49.26786673831274	55.96019765788939	100	~	~	~	~	~
GCF_000716715.1.faa	54.105082000404934	49.77329403763319	41.343669250645995	57.22179511820104	51.55793573515093	49.353341889623856	37.247833622183705	51.922130475200966	42.241569318933216	49.772878068698006	47.74822507152697	53.77685377685377	52.631263485974586	100	~	~	~	~
GCF_000428945.1.faa	47.1887323943662	48.094385471287886	41.747068428083715	45.995958736573435	46.65881048107583	53.63795748411133	36.556888638376684	60.6842331552116	45.15549498203445	47.18826405867971	50.77069006402656	52.426431086969494	50.2997683608121	51.35019288469781	100	~	~	~
GCF_000379825.1.faa	40.231851007221586	44.88079567061577	40.45178105994787	39.84087400546253	44.021826352110416	41.466110019646365	40.71736011477762	46.371446532094716	46.783749471011426	40.43397554887026	43.894256575415994	43.417404827912634	46.31115305961932	42.32335329341318	45.031985844562406	100	~	~
GCF_000379685.1.faa	43.9832309872461	47.78737182946573	42.60663507109005	45.72032014228546	47.303849544519544	59.73735520128455	38.569582076691084	56.13241093941941	44.30454070981211	46.26483038216181	58.851376603961626	48.93657067570111	49.509521061742646	48.24089635854342	53.87528401918708	46.36887608069164	100	~
GCA_003610235.1.faa	49.70872688196369	51.64750465668958	44.304364043267434	48.57234349148743	49.86417775301247	57.47676401033933	40.03238866396761	61.4853195164076	45.5173271946743	49.851581230734105	54.17584380022621	55.682090625749225	53.87774659456499	53.76714170475935	57.98420640183254	46.52991452991453	58.33280507131538	100
