POCP	GCF_900115665.1.faa	GCF_017355935.1.faa	GCF_014651615.1.faa	GCF_003258705.1.faa	GCF_001870735.1.faa	GCF_001306455.1.faa	GCF_000427405.1.faa	GCF_000331105.1.faa	GCF_000296815.2.faa	GCF_000218895.1.faa	GCF_000166395.1.faa	GCF_000023125.1.faa	GCA_000263195.1.faa
GCF_900115665.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_017355935.1.faa	44.774436090225564	100	~	~	~	~	~	~	~	~	~	~	~
GCF_014651615.1.faa	43.87467159676949	62.93365234195271	100	~	~	~	~	~	~	~	~	~	~
GCF_003258705.1.faa	40.05498572485989	41.33572210610132	43.91780256092524	100	~	~	~	~	~	~	~	~	~
GCF_001870735.1.faa	45.15485382146265	50.18568952711067	49.55759741364642	36.78434241814523	100	~	~	~	~	~	~	~	~
GCF_001306455.1.faa	41.088053841839596	43.17727511835876	43.874425727411946	65.81350636866138	39.69399538106236	100	~	~	~	~	~	~	~
GCF_000427405.1.faa	62.83026421136909	45.44509544509545	44.53469028280654	39.376529418023196	47.44092771819688	42.260359038049	100	~	~	~	~	~	~
GCF_000331105.1.faa	44.7305056491943	49.54337899543379	48.97959183673469	36.3155316021558	57.59674134419552	38.19724723170858	45.3072625698324	100	~	~	~	~	~
GCF_000296815.2.faa	44.314308189843544	52.24835840744743	50.40281110730203	36.14491150442478	58.13593435516334	37.59945662720745	45.16384081525081	61.51448026909508	100	~	~	~	~
GCF_000218895.1.faa	46.036640667513154	53.185261707988985	53.87007909002044	41.16744943927921	52.419419339358555	42.59427762612476	48.11269146608315	49.12519109903177	50.74494644439076	100	~	~	~
GCF_000166395.1.faa	39.11290322580645	37.680690399137	36.364657011339396	42.82181278595276	35.13832824652949	45.4208084824387	39.4919972164231	34.46117946542215	34.45536689504518	37.04432477216238	100	~	~
GCF_000023125.1.faa	45.07805325987144	53.03135888501742	52.900962489880364	38.78799650383607	46.033799628042374	37.88826242952332	42.96528803545051	43.35796528613164	46.76329289145835	48.01955166020563	37.64705882352941	100	~
GCA_000263195.1.faa	51.2521404109589	48.73162874974834	48.79322954759168	49.96000457090618	48.22105165881157	55.085881349738095	52.84298944647857	45.87792310741181	45.663716814159294	54.14728682170543	46.16252821670429	42.370384917517676	100
