ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
732287835	732287835	GCF_000424685.1	GCF_000424685.1	100.000000	2989	2989	2975	0.995316	0.400000	0.500000
732287835	402830274	GCF_000424685.1	GCF_000934725.1	66.784044	2989	4316	1924	0.526762	0.400000	0.500000
732287835	134533589	GCF_000424685.1	GCF_006175985.1	65.500026	2989	4133	1905	0.534962	0.400000	0.500000
732287835	40170467	GCF_000424685.1	GCF_019669985.1	64.012821	2989	3514	1638	0.503767	0.400000	0.500000
732287835	661461772	GCF_000424685.1	GCF_019670005.1	65.652703	2989	4585	1794	0.473726	0.400000	0.500000
402830274	732287835	GCF_000934725.1	GCF_000424685.1	66.784044	4316	2989	1924	0.526762	0.400000	0.500000
402830274	402830274	GCF_000934725.1	GCF_000934725.1	100.000000	4316	4316	4301	0.996525	0.400000	0.500000
402830274	134533589	GCF_000934725.1	GCF_006175985.1	65.080085	4316	4133	2124	0.502781	0.400000	0.500000
402830274	40170467	GCF_000934725.1	GCF_019669985.1	64.082112	4316	3514	1842	0.470498	0.400000	0.500000
402830274	661461772	GCF_000934725.1	GCF_019670005.1	65.951246	4316	4585	2086	0.468711	0.400000	0.500000
134533589	732287835	GCF_006175985.1	GCF_000424685.1	65.500026	4133	2989	1905	0.534962	0.400000	0.500000
134533589	402830274	GCF_006175985.1	GCF_000934725.1	65.080085	4133	4316	2124	0.502781	0.400000	0.500000
134533589	134533589	GCF_006175985.1	GCF_006175985.1	100.000000	4133	4133	4126	0.998306	0.400000	0.500000
134533589	40170467	GCF_006175985.1	GCF_019669985.1	62.705323	4133	3514	1625	0.425003	0.400000	0.500000
134533589	661461772	GCF_006175985.1	GCF_019670005.1	64.682731	4133	4585	1966	0.451021	0.400000	0.500000
40170467	732287835	GCF_019669985.1	GCF_000424685.1	64.012821	3514	2989	1638	0.503767	0.400000	0.500000
40170467	402830274	GCF_019669985.1	GCF_000934725.1	64.082112	3514	4316	1842	0.470498	0.400000	0.500000
40170467	134533589	GCF_019669985.1	GCF_006175985.1	62.705323	3514	4133	1625	0.425003	0.400000	0.500000
40170467	40170467	GCF_019669985.1	GCF_019669985.1	100.000000	3514	3514	3509	0.998577	0.400000	0.500000
40170467	661461772	GCF_019669985.1	GCF_019670005.1	63.715513	3514	4585	1734	0.428201	0.400000	0.500000
661461772	732287835	GCF_019670005.1	GCF_000424685.1	65.652703	4585	2989	1794	0.473726	0.400000	0.500000
661461772	402830274	GCF_019670005.1	GCF_000934725.1	65.951246	4585	4316	2086	0.468711	0.400000	0.500000
661461772	134533589	GCF_019670005.1	GCF_006175985.1	64.682731	4585	4133	1966	0.451021	0.400000	0.500000
661461772	40170467	GCF_019670005.1	GCF_019669985.1	63.715513	4585	3514	1734	0.428201	0.400000	0.500000
661461772	661461772	GCF_019670005.1	GCF_019670005.1	100.000000	4585	4585	4517	0.985169	0.400000	0.500000
