POCP	GCF_900604355.1.faa	GCF_900461125.1.faa	GCF_900218035.1.faa	GCF_900142955.1.faa	GCF_900142165.1.faa	GCF_900141895.1.faa	GCF_900129945.1.faa	GCF_900112085.1.faa	GCF_900107245.1.faa	GCF_900105615.1.faa	GCF_900096945.1.faa	GCF_900086725.1.faa	GCF_024623325.1.faa	GCF_019042275.1.faa	GCF_018866245.1.faa	GCF_015999265.1.faa	GCF_014467075.1.faa	GCF_014218335.1.faa	GCF_014202695.1.faa	GCF_014202115.1.faa	GCF_009830285.1.faa	GCF_009696485.1.faa	GCF_009696445.1.faa	GCF_009696065.1.faa	GCF_009696045.1.faa	GCF_009696005.1.faa	GCF_004346165.1.faa	GCF_004346095.1.faa	GCF_004345005.1.faa	GCF_004340975.1.faa	GCF_004216775.1.faa	GCF_003885045.1.faa	GCF_003752155.1.faa	GCF_003589745.1.faa	GCF_003363435.1.faa	GCF_003201285.1.faa	GCF_001881565.1.faa	GCF_001754075.1.faa	GCF_001487105.1.faa	GCF_001280875.1.faa	GCF_000732725.1.faa	GCF_000424105.1.faa	GCF_000235445.1.faa	GCF_000173975.1.faa	GCF_000160115.1.faa	GCF_000160035.2.faa	GCF_000018685.1.faa	GCA_025150245.1.faa	GCA_025149915.1.faa	GCA_025148285.1.faa	GCA_003148945.1.faa	GCA_001414325.1.faa	GCA_000242235.1.faa
GCF_900604355.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900461125.1.faa	39.93107904372173	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900218035.1.faa	29.526842584167422	28.15641088502084	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900142955.1.faa	32.37069475677595	34.415260161789675	30.911077721622732	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900142165.1.faa	45.887499999999996	40.004182350480974	31.81024447031432	32.65727053970436	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900141895.1.faa	32.51720275244039	28.95174708818636	32.70845537980863	29.959862385321102	30.963689290638886	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900129945.1.faa	26.700188560653675	27.49238365374514	38.77252087300425	28.72609997696383	28.543665735454876	27.352668929342794	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900112085.1.faa	31.88316679477325	28.92551741231875	38.720476101915565	30.876659292035395	31.32832080200501	37.16216216216216	31.70080142475512	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900107245.1.faa	31.3297193877551	27.577845839714136	44.129082426127525	31.075867981140163	31.664122137404583	35.278182954782245	33.28209069946195	41.18694362017804	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900105615.1.faa	37.28596389050669	36.98886589811804	30.776451656161996	38.54166666666667	34.299898454247995	32.508436445444325	27.273758221819005	29.56026058631922	29.37631394533987	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900096945.1.faa	34.713578051568646	34.95814347780015	33.72868791697554	37.2906976744186	35.03864556496136	38.671875	31.174438687392055	32.43689903846153	33.22434999221547	36.87042124542125	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900086725.1.faa	48.30486872291613	41.98724760892667	30.485263471271214	34.247054706637115	46.614967996061054	30.06433390867723	27.602426042827084	30.321315432191888	31.285178236397748	35.101619014812265	33.29998749531074	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_024623325.1.faa	32.53753127606338	32.12621011115095	25.129962192816635	29.10165713731951	30.354609929078013	21.4188939524572	28.24427480916031	23.37910447761194	23.949889462048638	26.64753706360593	27.37349892230319	31.340057636887607	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_019042275.1.faa	41.99158804137774	40.86478139175755	28.439170687182163	33.90382192356153	37.26721763085399	29.42381212452212	27.131782945736433	28.04749340369393	27.73921328433374	37.4120082815735	37.09208761734466	42.921197175204576	31.292772100871847	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_018866245.1.faa	38.62888220981823	43.44521108642264	34.033111452466294	36.41431164117189	40.784583620096356	37.74029742473704	29.127423822714682	36.32582322357019	34.025645656492685	41.93630573248407	39.04455029420005	37.589649838278724	30.732753754092805	37.67055321260233	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_015999265.1.faa	30.917405764966745	30.09111617312073	30.56833114323259	40.31222460027698	32.29250066720042	35.19066689883336	28.21855282588267	30.988498083013837	31.02670828997572	35.18999876222305	36.70422152843763	30.967302452316076	26.2491745542593	32.227716801350866	37.01589260916525	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014467075.1.faa	38.20024654156965	36.390298928369994	29.467033857119713	32.585949177877424	38.382372344636494	32.61839396019218	24.980090257499334	31.393819855358316	31.789437702956757	34.65213130818226	31.97799248523886	39.55555555555556	26.96543452186239	37.28510028653295	37.20682302771855	32.08241353936718	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014218335.1.faa	32.47453565008988	33.29296599051367	29.458223638631008	45.05070546737213	30.557810506784183	31.650174621653086	28.969456749825135	30.82210998877666	29.499637418419145	39.44396177237185	37.29990583804143	31.715668910142874	29.52520802741067	33.03609341825902	37.50328515111695	45.55427988263809	31.524482584553255	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014202695.1.faa	29.591508523641043	25.23772809046518	29.528487229862478	23.959683225341973	27.92487684729064	29.12539515279241	24.755851805921562	28.634273145370926	30.49496644295302	32.15647507414207	26.707489401789918	28.019552191737624	19.596933728981206	25.394213629507746	30.84078059456502	24.789915966386555	25.82370191478351	24.587048677093993	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014202115.1.faa	38.88586216289839	36.424882101953735	31.300289668490507	33.1639608377742	36.48293963254593	32.64610666212302	28.976897689768975	32.78367346938775	32.518669382213176	32.66301035953687	37.38155611904444	36.32467184570051	31.87147199305254	35.99857431388856	38.88300287573785	31.67056758338209	34.908250252853634	33.17011927181419	27.149708804385064	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009830285.1.faa	45.03140768201009	38.031042128603104	25.56215775369917	30.379383023567737	40.45449994994494	24.81184753580966	25.362027353177798	27.148575465034142	25.638542549328168	29.960279931908456	29.071182315960254	43.31469242501271	39.17623693981521	33.98850361579825	32.742869875222816	27.332971211298208	31.969860064585575	28.072382426940194	23.12659924454734	34.64794770121102	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009696485.1.faa	44.98841698841699	32.96429904216943	34.131288573031604	31.227436823104693	41.58151932474456	35.78568572570971	28.041144901610014	35.62190947128185	35.960199004975124	35.268465521940584	35.8889224268035	45.037126837399605	27.609346914319953	34.87417218543046	40.05226480836237	32.216451666945886	35.10075982821275	31.06508875739645	37.01468517400925	35.38966365873667	38.04347826086957	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009696445.1.faa	32.304250559284114	29.47152013544564	34.857450242065624	27.179763186221745	32.12086495775455	30.829510703363916	30.614009801095417	31.57798833819242	33.282588011417694	30.91966173361522	30.644690781796967	31.190511055791475	24.104956268221574	30.205655526992288	36.381909547738694	26.923697370543636	28.962444302991724	26.40556768558952	30.955585464333783	32.316205533596836	27.32919254658385	35.74569439355075	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009696065.1.faa	40.550835042484614	43.81406436233611	38.101088101088095	34.185092016417315	42.55349099099099	36.3347655520269	32.1433630825896	38.25993938313425	37.313988095238095	35.67433996618546	35.760355453633366	39.309352517985616	30.462281508739654	36.26123275534742	47.74257100640289	32.800632911392405	35.25370804059328	32.339911397503016	31.1912814731304	40.707415451442756	34.77027793533749	41.58451335364761	37.9755551730074	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009696045.1.faa	37.00904105528383	33.71435446997955	33.86723616301833	41.34332352154134	35.84341637010676	34.774364808494504	28.223495702005728	37.034358047016276	38.13479327921465	35.55847568988174	34.96665700202957	35.264153689419295	29.11686201694325	34.85042188698543	39.537591483699266	37.92661432462746	35.77300031615555	39.4572591587517	29.563227160022887	36.32794094550024	31.421703296703296	38.054545454545455	30.174520069808032	39.60006836438216	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009696005.1.faa	34.541712838372646	31.44271031594975	34.78512237425323	27.64054514480409	33.768006065200915	35.32204789430223	29.16030534351145	35.80392156862745	35.381138278200126	30.501392757660167	32.390228818800246	32.69678621332091	24.44118724807622	31.155303030303028	40.98889286993909	27.96420581655481	30.546132971506108	27.60806916426513	30.85393725327239	33.87232609061816	26.318324103058032	39.27021696252466	39.47169811320755	42.224681793027116	32.01048296518158	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
