POCP	GCF_900177615.1.faa	GCF_900167575.1.faa	GCF_900107435.1.faa	GCF_900104895.1.faa	GCF_021216655.1.faa	GCF_014640535.1.faa	GCF_014204935.1.faa	GCF_014200395.1.faa	GCF_014200375.1.faa	GCF_014197205.1.faa	GCF_014191305.1.faa	GCF_014190775.1.faa	GCF_014137945.1.faa	GCF_014137865.1.faa	GCF_013408685.1.faa	GCF_013283855.1.faa	GCF_011758565.1.faa	GCF_010686725.1.faa	GCF_010686705.1.faa	GCF_009930795.1.faa	GCF_009371975.2.faa	GCF_008040105.1.faa	GCF_007988805.1.faa	GCF_006788895.1.faa	GCF_006716815.1.faa	GCF_006716695.1.faa	GCF_006716125.1.faa	GCF_006716115.1.faa	GCF_006716085.1.faa	GCF_006715175.1.faa	GCF_004365915.1.faa	GCF_004364555.1.faa	GCF_004216665.1.faa	GCF_004216575.1.faa	GCF_004011095.1.faa	GCF_003752465.1.faa	GCF_003634555.1.faa	GCF_003627075.1.faa	GCF_003014675.1.faa	GCF_003003265.1.faa	GCF_002950575.1.faa	GCF_002797855.1.faa	GCF_002797715.1.faa	GCF_002355535.1.faa	GCF_000938265.1.faa	GCF_000718085.1.faa	GCF_000699505.1.faa	GCF_000425685.1.faa	GCF_000421825.1.faa	GCF_000421145.1.faa	GCA_003067705.1.faa
GCF_900177615.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900167575.1.faa	59.493485580442105	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900107435.1.faa	51.27786206091726	51.15583355996737	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900104895.1.faa	52.421500798296975	53.56292651960006	51.013807687523325	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_021216655.1.faa	54.57466126553988	58.193135935397045	47.38349388180161	48.75546839643988	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014640535.1.faa	50.94524920206236	53.729620545375845	62.83308340062291	47.96481092436975	48.98746383799421	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014204935.1.faa	55.95696639659982	57.30123535001583	52.94336810730253	55.107872553221895	55.721168322794334	51.749901690916246	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014200395.1.faa	44.63206816421379	49.50381679389313	44.1243909429636	50.37974683544304	48.76077586206897	44.51563691838291	50.94307847760189	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014200375.1.faa	46.550094517958414	51.120202610559126	46.01950225585795	53.81574424200757	49.03863761215895	45.254342431761785	52.61533184702453	57.45217574101324	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014197205.1.faa	32.30104429240187	38.71859875547361	29.043936152706927	35.68869426751593	35.826012427683736	31.55288291475062	33.8495135993647	40.09588695432753	39.47095435684647	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014191305.1.faa	45.35589717090815	45.908673000306464	40.99709583736689	44.84814866176674	45.25824336154071	42.8261701313608	46.262458471760795	41.59349593495935	40.74135363230184	32.59668508287293	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014190775.1.faa	54.29782082324455	53.99574166075231	54.00204941363999	56.28719275549806	50.0474705004747	52.715311004784695	54.4104352318223	45.76398260608787	49.90856446205425	31.18932038834951	43.43180389692017	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014137945.1.faa	46.95900285328128	50.55106539309331	45.86466165413533	51.443954968184045	50.242550242550244	45.894363071460276	52.344513187886676	70.34333070244672	57.04495061479541	38.94888408927286	43.2640856153604	47.810272079150295	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014137865.1.faa	42.134195634599834	47.04225352112676	41.41323792486583	47.58620689655172	44.46961117402793	41.829753381066034	44.230769230769226	52.54680017414019	51.61577891687096	41.07771459518007	38.75850340136054	43.42866072823879	51.29220508545227	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_013408685.1.faa	51.69628432956381	52.84081764043136	48.4718903282606	50.44940562481879	50.848494114049835	49.827311370882036	55.63594270004341	49.922905602192905	51.98952879581152	33.18476499189627	44.19486171556928	53.3237372415598	51.87882800860785	44.673971618465956	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_013283855.1.faa	32.56804295500833	40.06211180124223	30.435516542876435	37.24081297474851	38.081524147097916	32.01236138883839	36.547911547911546	46.58792650918635	44.207399405887124	42.6607081471296	32.751177394034535	32.27070347284061	44.294967613353265	48.24858757062147	35.939786744720884	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_011758565.1.faa	46.96132596685083	49.69294605809129	43.88767229163983	51.26676602086439	44.04218479458524	42.84741144414169	46.37810501264317	42.82173836077182	44.5146156622158	38.01600673967987	41.917808219178085	45.00939093104373	43.77242439774475	44.45064138315672	43.461189972817884	35.73449401523395	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_010686725.1.faa	50.863445073284	53.40028188865398	51.48367952522255	52.30309699732747	52.664890073284475	50.17880131597769	58.33071854408535	56.69811320754717	55.69035239745812	35.59899977267561	41.66413604615852	52.11822660098522	56.46802325581395	49.02584493041749	53.148413837079545	41.35657089024964	43.12243221035333	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
