ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
902627202	902627202	GCF_000023265.1	GCF_000023265.1	100.000000	2029	2029	2000	0.985707	0.400000	0.500000
902627202	450450894	GCF_000023265.1	GCF_000949255.1	59.763566	2029	2958	1290	0.517345	0.400000	0.500000
902627202	450331730	GCF_000023265.1	GCF_000949295.1	55.149275	2029	3638	896	0.316217	0.400000	0.500000
902627202	923358664	GCF_000023265.1	GCF_900128965.1	56.625171	2029	2346	1023	0.467657	0.400000	0.500000
450450894	902627202	GCF_000949255.1	GCF_000023265.1	59.763566	2958	2029	1290	0.517345	0.400000	0.500000
450450894	450450894	GCF_000949255.1	GCF_000949255.1	100.000000	2958	2958	2933	0.991548	0.400000	0.500000
450450894	450331730	GCF_000949255.1	GCF_000949295.1	56.653194	2958	3638	1049	0.318072	0.400000	0.500000
450450894	923358664	GCF_000949255.1	GCF_900128965.1	57.903633	2958	2346	1101	0.415158	0.400000	0.500000
450331730	902627202	GCF_000949295.1	GCF_000023265.1	55.149275	3638	2029	896	0.316217	0.400000	0.500000
450331730	450450894	GCF_000949295.1	GCF_000949255.1	56.653194	3638	2958	1049	0.318072	0.400000	0.500000
450331730	450331730	GCF_000949295.1	GCF_000949295.1	100.000000	3638	3638	3596	0.988455	0.400000	0.500000
450331730	923358664	GCF_000949295.1	GCF_900128965.1	57.060976	3638	2346	1107	0.369987	0.400000	0.500000
923358664	902627202	GCF_900128965.1	GCF_000023265.1	56.625171	2346	2029	1023	0.467657	0.400000	0.500000
923358664	450450894	GCF_900128965.1	GCF_000949255.1	57.903633	2346	2958	1101	0.415158	0.400000	0.500000
923358664	450331730	GCF_900128965.1	GCF_000949295.1	57.060976	2346	3638	1107	0.369987	0.400000	0.500000
923358664	923358664	GCF_900128965.1	GCF_900128965.1	100.000000	2346	2346	2341	0.997869	0.400000	0.500000
