POCP	GCF_900129085.1.faa	GCF_900115825.1.faa	GCF_900113675.1.faa	GCF_900111355.1.faa	GCF_900101525.1.faa	GCF_003003275.1.faa	GCF_000744255.1.faa	GCF_000429585.1.faa	GCF_000425865.1.faa	GCF_000374325.1.faa	GCF_000315445.1.faa	GCF_000245815.1.faa
GCF_900129085.1.faa	100	~	~	~	~	~	~	~	~	~	~	~
GCF_900115825.1.faa	54.34309218485362	100	~	~	~	~	~	~	~	~	~	~
GCF_900113675.1.faa	52.966302800189844	69.62395856789011	100	~	~	~	~	~	~	~	~	~
GCF_900111355.1.faa	39.266566588033456	46.830265848670756	44.457855562261116	100	~	~	~	~	~	~	~	~
GCF_900101525.1.faa	50.64220183486239	58.92740353172008	54.15595544130248	39.82802423294899	100	~	~	~	~	~	~	~
GCF_003003275.1.faa	50.594337583747574	56.57189946435929	51.85410334346504	37.332838038632985	64.37709112379453	100	~	~	~	~	~	~
GCF_000744255.1.faa	41.906064751481985	53.82614350747886	51.55517682147423	55.86233715730119	45.888429752066116	42.549441942431955	100	~	~	~	~	~
GCF_000429585.1.faa	55.68709377901578	65.64498346196251	60.70190641247834	40.09871668311945	57.244855102897944	58.560349970173	45.67669172932331	100	~	~	~	~
GCF_000425865.1.faa	52.81815863300179	61.354869816779164	58.571766375029554	41.898247114151346	57.89714285714286	57.69065058164584	46.62576687116564	63.173721952347904	100	~	~	~
GCF_000374325.1.faa	46.67660208643815	38.358458961474035	38.9025389025389	31.906614785992215	39.3016539774219	35.2306182531894	35.410691003911346	38.27521959009848	44.154302670623146	100	~	~
GCF_000315445.1.faa	48.43487982112912	46.596583442838366	43.84971693257849	35.2479815455594	47.27182539682539	46.778320539660385	38.220798422868405	48.09045226130653	47.787364319510154	44.53254046911133	100	~
GCF_000245815.1.faa	48.79054425508521	47.60672703751617	46.47744551444501	36.42775881683731	48.240469208211145	46.91442991511814	39.84944147644487	47.87128712871287	48.31645223104298	43.440233236151606	60.09063444108761	100
