ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
204964742	204964742	GCA_000017645.1	GCA_000017645.1	100.000000	5231	5231	5159	0.986236	0.400000	0.500000
204964742	799625113	GCA_000017645.1	GCF_000010525.1	71.621704	5231	4845	2670	0.529972	0.400000	0.500000
204964742	652240836	GCA_000017645.1	GCF_003367395.1	61.809682	5231	5308	1916	0.363602	0.400000	0.500000
204964742	769146596	GCA_000017645.1	GCF_004339465.1	64.949430	5231	4463	2107	0.434702	0.400000	0.500000
799625113	204964742	GCF_000010525.1	GCA_000017645.1	71.621704	4845	5231	2670	0.529972	0.400000	0.500000
799625113	799625113	GCF_000010525.1	GCF_000010525.1	100.000000	4845	4845	4832	0.997317	0.400000	0.500000
799625113	652240836	GCF_000010525.1	GCF_003367395.1	61.916963	4845	5308	2025	0.398897	0.400000	0.500000
799625113	769146596	GCF_000010525.1	GCF_004339465.1	65.095056	4845	4463	2144	0.460679	0.400000	0.500000
652240836	204964742	GCF_003367395.1	GCA_000017645.1	61.809682	5308	5231	1916	0.363602	0.400000	0.500000
652240836	799625113	GCF_003367395.1	GCF_000010525.1	61.916963	5308	4845	2025	0.398897	0.400000	0.500000
652240836	652240836	GCF_003367395.1	GCF_003367395.1	100.000000	5308	5308	5308	1.000000	0.400000	0.500000
652240836	769146596	GCF_003367395.1	GCF_004339465.1	62.106431	5308	4463	1757	0.359636	0.400000	0.500000
769146596	204964742	GCF_004339465.1	GCA_000017645.1	64.949430	4463	5231	2107	0.434702	0.400000	0.500000
769146596	799625113	GCF_004339465.1	GCF_000010525.1	65.095056	4463	4845	2144	0.460679	0.400000	0.500000
769146596	652240836	GCF_004339465.1	GCF_003367395.1	62.106431	4463	5308	1757	0.359636	0.400000	0.500000
769146596	769146596	GCF_004339465.1	GCF_004339465.1	100.000000	4463	4463	4462	0.999776	0.400000	0.500000
