ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
734143835	734143835	GCF_000236705.1	GCF_000236705.1	100.000000	3479	3479	3464	0.995688	0.400000	0.500000
734143835	92781632	GCF_000236705.1	GCF_003337435.1	57.695475	3479	2233	1138	0.398459	0.400000	0.500000
734143835	564669122	GCF_000236705.1	GCF_003851885.1	57.906763	3479	2282	1146	0.397848	0.400000	0.500000
734143835	135719490	GCF_000236705.1	GCF_008933115.1	59.561176	3479	2825	1369	0.434327	0.400000	0.500000
734143835	416492830	GCF_000236705.1	GCF_014524565.1	62.741811	3479	3586	1618	0.458033	0.400000	0.500000
92781632	734143835	GCF_003337435.1	GCF_000236705.1	57.695475	2233	3479	1138	0.398459	0.400000	0.500000
92781632	92781632	GCF_003337435.1	GCF_003337435.1	100.000000	2233	2233	2233	1.000000	0.400000	0.500000
92781632	564669122	GCF_003337435.1	GCF_003851885.1	73.584033	2233	2282	1857	0.822591	0.400000	0.500000
92781632	135719490	GCF_003337435.1	GCF_008933115.1	57.710633	2233	2825	1105	0.436932	0.400000	0.500000
92781632	416492830	GCF_003337435.1	GCF_014524565.1	57.813380	2233	3586	1136	0.390445	0.400000	0.500000
564669122	734143835	GCF_003851885.1	GCF_000236705.1	57.906763	2282	3479	1146	0.397848	0.400000	0.500000
564669122	92781632	GCF_003851885.1	GCF_003337435.1	73.584033	2282	2233	1857	0.822591	0.400000	0.500000
564669122	564669122	GCF_003851885.1	GCF_003851885.1	100.000000	2282	2282	2281	0.999562	0.400000	0.500000
564669122	135719490	GCF_003851885.1	GCF_008933115.1	57.942208	2282	2825	1123	0.439789	0.400000	0.500000
564669122	416492830	GCF_003851885.1	GCF_014524565.1	57.984666	2282	3586	1151	0.392297	0.400000	0.500000
135719490	734143835	GCF_008933115.1	GCF_000236705.1	59.561176	2825	3479	1369	0.434327	0.400000	0.500000
135719490	92781632	GCF_008933115.1	GCF_003337435.1	57.710633	2825	2233	1105	0.436932	0.400000	0.500000
135719490	564669122	GCF_008933115.1	GCF_003851885.1	57.942208	2825	2282	1123	0.439789	0.400000	0.500000
135719490	135719490	GCF_008933115.1	GCF_008933115.1	100.000000	2825	2825	2825	1.000000	0.400000	0.500000
135719490	416492830	GCF_008933115.1	GCF_014524565.1	59.127577	2825	3586	1358	0.423647	0.400000	0.500000
416492830	734143835	GCF_014524565.1	GCF_000236705.1	62.741811	3586	3479	1618	0.458033	0.400000	0.500000
416492830	92781632	GCF_014524565.1	GCF_003337435.1	57.813380	3586	2233	1136	0.390445	0.400000	0.500000
416492830	564669122	GCF_014524565.1	GCF_003851885.1	57.984666	3586	2282	1151	0.392297	0.400000	0.500000
416492830	135719490	GCF_014524565.1	GCF_008933115.1	59.127577	3586	2825	1358	0.423647	0.400000	0.500000
416492830	416492830	GCF_014524565.1	GCF_014524565.1	100.000000	3586	3586	3540	0.987172	0.400000	0.500000
