ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
63003743	63003743	GCF_000243255.1	GCF_000243255.1	100.000000	3020	3020	3010	0.996689	0.400000	0.500000
63003743	688457789	GCF_000243255.1	GCF_000711215.1	64.116622	3020	1637	1131	0.485720	0.400000	0.500000
63003743	528279074	GCF_000243255.1	GCF_000784355.1	65.347888	3020	2791	1586	0.545861	0.400000	0.500000
63003743	620767202	GCF_000243255.1	GCF_001315945.1	62.223700	3020	4051	1000	0.282845	0.400000	0.500000
688457789	63003743	GCF_000711215.1	GCF_000243255.1	64.116622	1637	3020	1131	0.485720	0.400000	0.500000
688457789	688457789	GCF_000711215.1	GCF_000711215.1	100.000000	1637	1637	1637	1.000000	0.400000	0.500000
688457789	528279074	GCF_000711215.1	GCF_000784355.1	64.499210	1637	2791	1139	0.514453	0.400000	0.500000
688457789	620767202	GCF_000711215.1	GCF_001315945.1	61.738748	1637	4051	711	0.250000	0.400000	0.500000
528279074	63003743	GCF_000784355.1	GCF_000243255.1	65.347888	2791	3020	1586	0.545861	0.400000	0.500000
528279074	688457789	GCF_000784355.1	GCF_000711215.1	64.499210	2791	1637	1139	0.514453	0.400000	0.500000
528279074	528279074	GCF_000784355.1	GCF_000784355.1	100.000000	2791	2791	2789	0.999283	0.400000	0.500000
528279074	620767202	GCF_000784355.1	GCF_001315945.1	62.355931	2791	4051	961	0.280912	0.400000	0.500000
620767202	63003743	GCF_001315945.1	GCF_000243255.1	62.223700	4051	3020	1000	0.282845	0.400000	0.500000
620767202	688457789	GCF_001315945.1	GCF_000711215.1	61.738748	4051	1637	711	0.250000	0.400000	0.500000
620767202	528279074	GCF_001315945.1	GCF_000784355.1	62.355931	4051	2791	961	0.280912	0.400000	0.500000
620767202	620767202	GCF_001315945.1	GCF_001315945.1	100.000000	4051	4051	4050	0.999753	0.400000	0.500000
