ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
431339379	431339379	GCF_000194605.1	GCF_000194605.1	100.000000	4051	4051	4028	0.994322	0.400000	0.500000
431339379	910616834	GCF_000194605.1	GCF_000621625.1	57.888994	4051	4090	1372	0.337059	0.400000	0.500000
431339379	843119991	GCF_000194605.1	GCF_003234935.1	58.195086	4051	3559	1282	0.336925	0.400000	0.500000
431339379	545589743	GCF_000194605.1	GCF_004152935.1	59.432150	4051	3554	1437	0.377909	0.400000	0.500000
910616834	431339379	GCF_000621625.1	GCF_000194605.1	57.888994	4090	4051	1372	0.337059	0.400000	0.500000
910616834	910616834	GCF_000621625.1	GCF_000621625.1	100.000000	4090	4090	4077	0.996822	0.400000	0.500000
910616834	843119991	GCF_000621625.1	GCF_003234935.1	62.143517	4090	3559	2013	0.526343	0.400000	0.500000
910616834	545589743	GCF_000621625.1	GCF_004152935.1	58.838475	4090	3554	1384	0.362114	0.400000	0.500000
843119991	431339379	GCF_003234935.1	GCF_000194605.1	58.195086	3559	4051	1282	0.336925	0.400000	0.500000
843119991	910616834	GCF_003234935.1	GCF_000621625.1	62.143517	3559	4090	2013	0.526343	0.400000	0.500000
843119991	843119991	GCF_003234935.1	GCF_003234935.1	100.000000	3559	3559	3558	0.999719	0.400000	0.500000
843119991	545589743	GCF_003234935.1	GCF_004152935.1	58.962482	3559	3554	1358	0.381836	0.400000	0.500000
545589743	431339379	GCF_004152935.1	GCF_000194605.1	59.432150	3554	4051	1437	0.377909	0.400000	0.500000
545589743	910616834	GCF_004152935.1	GCF_000621625.1	58.838475	3554	4090	1384	0.362114	0.400000	0.500000
545589743	843119991	GCF_004152935.1	GCF_003234935.1	58.962482	3554	3559	1358	0.381836	0.400000	0.500000
545589743	545589743	GCF_004152935.1	GCF_004152935.1	100.000000	3554	3554	3554	1.000000	0.400000	0.500000
