POCP	GCF_023698535.1.faa	GCF_014647235.1.faa	GCF_009184545.1.faa	GCF_007421925.1.faa	GCF_004799665.1.faa	GCF_003058365.1.faa	GCF_000337775.1.faa	GCF_000337455.1.faa	GCF_000026045.1.faa	GCF_000023965.1.faa	GCF_000023945.1.faa
GCF_023698535.1.faa	100	~	~	~	~	~	~	~	~	~	~
GCF_014647235.1.faa	56.560154926167996	100	~	~	~	~	~	~	~	~	~
GCF_009184545.1.faa	55.833807626636315	52.345571095571096	100	~	~	~	~	~	~	~	~
GCF_007421925.1.faa	58.65513460835668	52.55438160348043	60.7693437087065	100	~	~	~	~	~	~	~
GCF_004799665.1.faa	56.96020874103066	58.00559925343287	54.3481729695229	51.356068743286784	100	~	~	~	~	~	~
GCF_003058365.1.faa	45.799299883313886	46.80215182307232	48.66251374129718	43.440277150173216	51.79655455291222	100	~	~	~	~	~
GCF_000337775.1.faa	58.98706636044966	69.13306202984339	55.549090909090914	55.523833167825224	56.74920127795527	46.62091600775772	100	~	~	~	~
GCF_000337455.1.faa	55.50375255856266	60.55619930475087	52.29853975121688	51.847965489098755	57.014813892692636	46.110188261351055	58.824210160861014	100	~	~	~
GCF_000026045.1.faa	56.4570943075616	52.62394897071615	57.75070621468926	55.456537618699784	51.43627995556261	46.44938091769847	54.855984947170356	48.344549125168236	100	~	~
GCF_000023965.1.faa	58.73141202789841	66.684599865501	56.20061280438639	53.34597670008128	59.0962269669494	49.709736274672416	66.3443459575611	60.44935358353207	56.37530072173216	100	~
GCF_000023945.1.faa	51.69514884233738	52.04455724760293	51.57050187777399	47.98977127432874	59.59969207082371	59.110094970102	52.30184429114458	54.48583420776495	50.101832993890014	55.77850365531187	100
