ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
907616828	907616828	GCF_000230555.1	GCF_000230555.1	100.000000	3837	3837	3830	0.998176	0.400000	0.500000
907616828	700828539	GCF_000230555.1	GCF_000423365.1	61.989767	3837	3423	1671	0.460331	0.400000	0.500000
907616828	877221050	GCF_000230555.1	GCF_000429865.1	63.273205	3837	3574	1797	0.484955	0.400000	0.500000
907616828	189950971	GCF_000230555.1	GCF_000743575.1	64.101098	3837	5026	2094	0.472526	0.400000	0.500000
907616828	502763394	GCF_000230555.1	GCF_003994485.1	65.373365	3837	3567	1881	0.508104	0.400000	0.500000
907616828	38700723	GCF_000230555.1	GCF_008000755.1	65.115970	3837	4352	2082	0.508487	0.400000	0.500000
907616828	164383325	GCF_000230555.1	GCF_016801025.1	64.757428	3837	4475	2026	0.487488	0.400000	0.500000
700828539	907616828	GCF_000423365.1	GCF_000230555.1	61.989767	3423	3837	1671	0.460331	0.400000	0.500000
700828539	700828539	GCF_000423365.1	GCF_000423365.1	100.000000	3423	3423	3423	1.000000	0.400000	0.500000
700828539	877221050	GCF_000423365.1	GCF_000429865.1	63.588845	3423	3574	1896	0.541947	0.400000	0.500000
700828539	189950971	GCF_000423365.1	GCF_000743575.1	60.903907	3423	5026	1651	0.390815	0.400000	0.500000
700828539	502763394	GCF_000423365.1	GCF_003994485.1	61.672588	3423	3567	1534	0.438913	0.400000	0.500000
700828539	38700723	GCF_000423365.1	GCF_008000755.1	61.832521	3423	4352	1682	0.432669	0.400000	0.500000
700828539	164383325	GCF_000423365.1	GCF_016801025.1	61.799301	3423	4475	1645	0.416561	0.400000	0.500000
877221050	907616828	GCF_000429865.1	GCF_000230555.1	63.273205	3574	3837	1797	0.484955	0.400000	0.500000
877221050	700828539	GCF_000429865.1	GCF_000423365.1	63.588845	3574	3423	1896	0.541947	0.400000	0.500000
877221050	877221050	GCF_000429865.1	GCF_000429865.1	100.000000	3574	3574	3567	0.998041	0.400000	0.500000
877221050	189950971	GCF_000429865.1	GCF_000743575.1	62.176598	3574	5026	1784	0.414884	0.400000	0.500000
877221050	502763394	GCF_000429865.1	GCF_003994485.1	63.148999	3574	3567	1699	0.475844	0.400000	0.500000
877221050	38700723	GCF_000429865.1	GCF_008000755.1	63.382885	3574	4352	1934	0.488014	0.400000	0.500000
877221050	164383325	GCF_000429865.1	GCF_016801025.1	63.268244	3574	4475	1891	0.469872	0.400000	0.500000
189950971	907616828	GCF_000743575.1	GCF_000230555.1	64.101098	5026	3837	2094	0.472526	0.400000	0.500000
