POCP	GCF_900188415.1.faa	GCF_900142975.1.faa	GCF_900141855.1.faa	GCF_900141715.1.faa	GCF_900130035.1.faa	GCF_900129005.1.faa	GCF_900119795.1.faa	GCF_900119185.1.faa	GCF_900116665.1.faa	GCF_900116365.1.faa	GCF_900114265.1.faa	GCF_900112395.1.faa	GCF_900107625.1.faa	GCF_900103215.1.faa	GCF_900102915.1.faa	GCF_900102055.1.faa	GCF_900101815.1.faa	GCF_900099995.1.faa	GCF_023721415.1.faa	GCF_022807975.1.faa	GCF_022662195.1.faa	GCF_021728415.1.faa	GCF_019312585.1.faa	GCF_017814435.1.faa	GCF_016827595.1.faa	GCF_015767265.1.faa	GCF_015476115.1.faa	GCF_014855495.1.faa	GCF_014646675.1.faa	GCF_014646655.1.faa	GCF_014641635.1.faa	GCF_014640155.1.faa	GCF_014596935.1.faa	GCF_014295415.1.faa	GCF_013402795.1.faa	GCF_011927795.1.faa	GCF_010671605.1.faa	GCF_010671595.1.faa	GCF_010671565.1.faa	GCF_009901585.1.faa	GCF_009371985.2.faa	GCF_009193215.1.faa	GCF_009014635.1.faa	GCF_008367235.1.faa	GCF_007997155.1.faa	GCF_006974145.1.faa	GCF_006494535.1.faa	GCF_005943945.1.faa	GCF_005047595.1.faa	GCF_004799345.1.faa	GCF_004362865.1.faa	GCF_003813905.1.faa	GCF_003626755.1.faa	GCF_003610635.1.faa	GCF_003413745.1.faa	GCF_003386195.1.faa	GCF_003353425.1.faa	GCF_003337215.1.faa	GCF_003253545.1.faa	GCF_003008425.1.faa	GCF_002973595.1.faa	GCF_002966125.1.faa	GCF_002954355.1.faa	GCF_002954325.1.faa	GCF_002943755.1.faa	GCF_002943715.1.faa	GCF_002895005.1.faa	GCF_002806995.1.faa	GCF_002072105.2.faa	GCF_001761325.1.faa	GCF_001678675.1.faa	GCF_001653755.1.faa	GCF_001637325.1.faa	GCF_001439665.1.faa	GCF_000973105.1.faa	GCF_000941055.1.faa	GCF_000757385.1.faa	GCF_000746845.1.faa	GCF_000733475.1.faa	GCF_000518485.1.faa	GCF_000430665.1.faa	GCF_000425645.1.faa	GCF_000425305.1.faa	GCF_000424985.1.faa	GCF_000423065.1.faa	GCF_000422365.1.faa	GCF_000382125.1.faa	GCF_000348685.1.faa	GCF_000260835.1.faa	GCF_000260115.1.faa	GCF_000243235.1.faa	GCF_000224085.1.faa	GCF_000220525.1.faa	GCF_000196315.1.faa	GCF_000190595.1.faa	GCF_000154725.1.faa	GCF_000153485.2.faa	GCF_000024125.1.faa	GCF_000023465.1.faa	GCF_000023285.1.faa
GCF_900188415.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900142975.1.faa	51.63832434674409	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900141855.1.faa	64.32090966519267	47.92258064516129	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900141715.1.faa	54.61642396036631	53.07881773399015	51.36528280858178	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900130035.1.faa	46.02290312596719	46.006034619660156	42.02607823470411	50.427947598253276	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900129005.1.faa	52.242066041372226	57.57416644788659	48.04819277108434	50.24127164348566	47.714327442675625	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900119795.1.faa	42.95232454841575	42.5861283958112	40.20079768945124	50.22436430114675	45.20453764180131	40.49586776859504	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900119185.1.faa	47.72299585999247	50.57647963105304	47.231385485391144	45.46585568150401	42.28855721393035	53.087601723312595	38.18752559028252	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900116665.1.faa	49.117845117845114	51.00550964187328	45.68118861747671	50.50837320574163	46.57112035752812	54.04609475032011	41.49830408494322	50.775193798449614	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900116365.1.faa	52.66448770783004	54.511059371362045	51.37675403759597	55.41269841269841	46.500573676446486	51.50902721638373	45.4090411387455	52.77266754270696	51.96772366930917	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
