POCP	GCF_021290925.1.faa	GCF_021234875.1.faa	GCF_011683955.1.faa	GCF_011602085.1.faa	GCF_007004655.1.faa	GCF_003762925.1.faa	GCF_002312815.1.faa	GCF_002157225.2.faa	GCF_001292705.1.faa	GCF_000379165.1.faa	GCF_000377745.1.faa	GCF_000305785.2.faa	GCF_000013665.1.faa
GCF_021290925.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_021234875.1.faa	46.66911135558	100	~	~	~	~	~	~	~	~	~	~	~
GCF_011683955.1.faa	32.87053106560222	32.01608074587289	100	~	~	~	~	~	~	~	~	~	~
GCF_011602085.1.faa	38.469998777954295	37.55688622754491	40.86205422047379	100	~	~	~	~	~	~	~	~	~
GCF_007004655.1.faa	37.91503402763456	39.1180942726812	39.8167777104785	40.40741866828823	100	~	~	~	~	~	~	~	~
GCF_003762925.1.faa	39.82792117679711	40.377051403770515	32.390817469204926	38.77966101694915	40.25871766029246	100	~	~	~	~	~	~	~
GCF_002312815.1.faa	38.36842105263158	38.07132741084074	29.945994599459947	35.80898442527996	35.02800517018527	43.168433451118965	100	~	~	~	~	~	~
GCF_002157225.2.faa	35.76252393911904	36.241078509119745	29.52870225597498	32.77502477700694	36.923739767341665	34.44529792603973	38.613653097717474	100	~	~	~	~	~
GCF_001292705.1.faa	37.20770288858321	38.308457711442784	28.47866419294991	35.08536093560963	34.43153897699352	43.190962550294024	46.84947491248541	36.2972649013839	100	~	~	~	~
GCF_000379165.1.faa	39.17733522996681	37.78914332209694	30.160723254645905	33.56188262638001	36.60079051383399	45.110120608285264	46.01096983295936	38.3931161171807	42.043681747269886	100	~	~	~
GCF_000377745.1.faa	38.09836065573771	38.33418891170432	30.61517736865739	37.503207595586346	36.7064131485659	59.0729059703682	42.546110109554846	33.00461603021402	41.18587414619968	42.26419783770349	100	~	~
GCF_000305785.2.faa	40.374808771035184	42.25440019972538	38.44460102166637	43.86621739673031	43.65029387069689	48.13814667424673	42.395693135935396	35.12460260486104	40.61971830985915	40.68473263972901	45.49966465459423	100	~
GCF_000013665.1.faa	38.331288343558285	38.16279908620897	30.926243567753005	35.31674480105782	38.05165751474476	47.35766821029692	47.427611168562564	39.246296112160685	44.369430191736434	51.1899206719552	46.7465532792166	43.88471177944862	100
