POCP	GCF_900187105.1.faa	GCF_900111845.1.faa	GCF_022354465.1.faa	GCF_016894345.1.faa	GCF_014054725.1.faa	GCF_014054525.1.faa	GCF_003315235.1.faa	GCF_002951835.1.faa	GCF_000745895.1.faa	GCF_000600005.1.faa
GCF_900187105.1.faa	100	~	~	~	~	~	~	~	~	~
GCF_900111845.1.faa	57.254328212631066	100	~	~	~	~	~	~	~	~
GCF_022354465.1.faa	55.27614571092832	66.08173076923077	100	~	~	~	~	~	~	~
GCF_016894345.1.faa	52.95431472081218	55.32091097308489	51.08346709470305	100	~	~	~	~	~	~
GCF_014054725.1.faa	56.63167938931297	62.850866487673905	62.54998823806164	53.9930908351961	100	~	~	~	~	~
GCF_014054525.1.faa	53.01587301587302	63.08227114716106	65.94316401879615	50.59350068106635	65.27462551066728	100	~	~	~	~
GCF_003315235.1.faa	54.75741874705605	58.41965791375572	53.75145180023229	50.070351758793976	54.596888260254595	53.116591928251125	100	~	~	~
GCF_002951835.1.faa	51.87736058653633	60.84884248751702	61.359649122807014	50.63097514340345	62.5528129864354	59.27889713679746	52.25225225225225	100	~	~
GCF_000745895.1.faa	50.52333187963367	51.79247383656202	49.68783638320775	55.80432737535278	49.825403753819295	48.041666666666664	48.18809318377912	45.94152525046003	100	~
GCF_000600005.1.faa	50.56621215622833	51.34688090737241	47.332421340629274	51.91851265822785	48.392320148045336	46.421493063201936	49.32602238976468	45.44473229706391	52.46979012083952	100
