ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
117597535	117597535	GCF_003336875.1	GCF_003336875.1	100.000000	4275	4275	4254	0.995088	0.400000	0.500000
117597535	718993987	GCF_003336875.1	GCF_003568845.1	70.046771	4275	4953	2632	0.570438	0.400000	0.500000
117597535	427888249	GCF_003336875.1	GCF_017355985.1	63.484940	4275	6226	2158	0.411008	0.400000	0.500000
117597535	788168907	GCF_003336875.1	GCF_024170005.1	63.045290	4275	7083	2187	0.385103	0.400000	0.500000
718993987	117597535	GCF_003568845.1	GCF_003336875.1	70.046771	4953	4275	2632	0.570438	0.400000	0.500000
718993987	718993987	GCF_003568845.1	GCF_003568845.1	100.000000	4953	4953	4929	0.995154	0.400000	0.500000
718993987	427888249	GCF_003568845.1	GCF_017355985.1	63.024041	4953	6226	2346	0.419716	0.400000	0.500000
718993987	788168907	GCF_003568845.1	GCF_024170005.1	62.509518	4953	7083	2222	0.369226	0.400000	0.500000
427888249	117597535	GCF_017355985.1	GCF_003336875.1	63.484940	6226	4275	2158	0.411008	0.400000	0.500000
427888249	718993987	GCF_017355985.1	GCF_003568845.1	63.024041	6226	4953	2346	0.419716	0.400000	0.500000
427888249	427888249	GCF_017355985.1	GCF_017355985.1	100.000000	6226	6226	6221	0.999197	0.400000	0.500000
427888249	788168907	GCF_017355985.1	GCF_024170005.1	64.103081	6226	7083	2954	0.443910	0.400000	0.500000
788168907	117597535	GCF_024170005.1	GCF_003336875.1	63.045290	7083	4275	2187	0.385103	0.400000	0.500000
788168907	718993987	GCF_024170005.1	GCF_003568845.1	62.509518	7083	4953	2222	0.369226	0.400000	0.500000
788168907	427888249	GCF_024170005.1	GCF_017355985.1	64.103081	7083	6226	2954	0.443910	0.400000	0.500000
788168907	788168907	GCF_024170005.1	GCF_024170005.1	100.000000	7083	7083	7081	0.999718	0.400000	0.500000
