ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
143446487	143446487	GCF_000327045.1	GCF_000327045.1	100.000000	3709	3709	3674	0.990563	0.400000	0.500000
143446487	308654018	GCF_000327045.1	GCF_000585215.1	67.694955	3709	4236	2111	0.531403	0.400000	0.500000
143446487	84787744	GCF_000327045.1	GCF_004342175.1	67.646872	3709	3601	1838	0.502873	0.400000	0.500000
143446487	56218175	GCF_000327045.1	GCF_004343155.1	66.933325	3709	3348	1919	0.543857	0.400000	0.500000
143446487	85226528	GCF_000327045.1	GCF_009664085.1	67.401811	3709	2648	1684	0.529810	0.400000	0.500000
143446487	124676805	GCF_000327045.1	GCF_010820565.1	67.554206	3709	5567	2199	0.474127	0.400000	0.500000
143446487	459034428	GCF_000327045.1	GCF_014145225.1	64.020569	3709	2897	1388	0.420224	0.400000	0.500000
143446487	1024264806	GCF_000327045.1	GCF_016583575.1	67.484719	3709	4871	2009	0.468298	0.400000	0.500000
143446487	1026022475	GCF_000327045.1	GCF_016583745.1	66.020478	3709	2870	1465	0.445356	0.400000	0.500000
143446487	1026171430	GCF_000327045.1	GCF_016583795.1	65.626432	3709	3904	1850	0.486011	0.400000	0.500000
143446487	1026886414	GCF_000327045.1	GCF_016583825.1	65.576729	3709	5353	2024	0.446701	0.400000	0.500000
143446487	101853117	GCF_000327045.1	GCF_016653295.1	65.885718	3709	3614	1810	0.494333	0.400000	0.500000
143446487	164715660	GCF_000327045.1	GCF_900106925.1	67.670852	3709	4876	2055	0.478742	0.400000	0.500000
308654018	143446487	GCF_000585215.1	GCF_000327045.1	67.694955	4236	3709	2111	0.531403	0.400000	0.500000
308654018	308654018	GCF_000585215.1	GCF_000585215.1	100.000000	4236	4236	4231	0.998820	0.400000	0.500000
308654018	84787744	GCF_000585215.1	GCF_004342175.1	74.498057	4236	3601	2368	0.604313	0.400000	0.500000
308654018	56218175	GCF_000585215.1	GCF_004343155.1	70.706692	4236	3348	2361	0.622627	0.400000	0.500000
308654018	85226528	GCF_000585215.1	GCF_009664085.1	72.950533	4236	2648	2065	0.599942	0.400000	0.500000
308654018	124676805	GCF_000585215.1	GCF_010820565.1	74.517823	4236	5567	2839	0.579210	0.400000	0.500000
308654018	459034428	GCF_000585215.1	GCF_014145225.1	63.940522	4236	2897	1572	0.440768	0.400000	0.500000
308654018	1024264806	GCF_000585215.1	GCF_016583575.1	74.980649	4236	4871	2651	0.582190	0.400000	0.500000
308654018	1026022475	GCF_000585215.1	GCF_016583745.1	70.848885	4236	2870	1749	0.492260	0.400000	0.500000
308654018	1026171430	GCF_000585215.1	GCF_016583795.1	65.837251	4236	3904	2106	0.517445	0.400000	0.500000
308654018	1026886414	GCF_000585215.1	GCF_016583825.1	65.730246	4236	5353	2116	0.441339	0.400000	0.500000
308654018	101853117	GCF_000585215.1	GCF_016653295.1	65.645908	4236	3614	1943	0.495032	0.400000	0.500000
308654018	164715660	GCF_000585215.1	GCF_900106925.1	71.724744	4236	4876	2346	0.514925	0.400000	0.500000
84787744	143446487	GCF_004342175.1	GCF_000327045.1	67.646872	3601	3709	1838	0.502873	0.400000	0.500000
84787744	308654018	GCF_004342175.1	GCF_000585215.1	74.498057	3601	4236	2368	0.604313	0.400000	0.500000
84787744	84787744	GCF_004342175.1	GCF_004342175.1	100.000000	3601	3601	3598	0.999167	0.400000	0.500000
84787744	56218175	GCF_004342175.1	GCF_004343155.1	70.985773	3601	3348	2063	0.593754	0.400000	0.500000
84787744	85226528	GCF_004342175.1	GCF_009664085.1	73.573523	3601	2648	1947	0.623140	0.400000	0.500000
84787744	124676805	GCF_004342175.1	GCF_010820565.1	73.596688	3601	5567	2310	0.503927	0.400000	0.500000
84787744	459034428	GCF_004342175.1	GCF_014145225.1	64.402222	3601	2897	1553	0.477993	0.400000	0.500000
84787744	1024264806	GCF_004342175.1	GCF_016583575.1	76.395094	3601	4871	2446	0.577432	0.400000	0.500000
84787744	1026022475	GCF_004342175.1	GCF_016583745.1	73.011175	3601	2870	1727	0.533766	0.400000	0.500000
84787744	1026171430	GCF_004342175.1	GCF_016583795.1	65.303976	3601	3904	1836	0.489274	0.400000	0.500000
84787744	1026886414	GCF_004342175.1	GCF_016583825.1	65.667892	3601	5353	1822	0.406969	0.400000	0.500000
84787744	101853117	GCF_004342175.1	GCF_016653295.1	65.862463	3601	3614	1689	0.468191	0.400000	0.500000
84787744	164715660	GCF_004342175.1	GCF_900106925.1	73.540244	3601	4876	2127	0.501828	0.400000	0.500000
56218175	143446487	GCF_004343155.1	GCF_000327045.1	66.933325	3348	3709	1919	0.543857	0.400000	0.500000
56218175	308654018	GCF_004343155.1	GCF_000585215.1	70.706692	3348	4236	2361	0.622627	0.400000	0.500000
56218175	84787744	GCF_004343155.1	GCF_004342175.1	70.985773	3348	3601	2063	0.593754	0.400000	0.500000
56218175	56218175	GCF_004343155.1	GCF_004343155.1	100.000000	3348	3348	3345	0.999104	0.400000	0.500000
56218175	85226528	GCF_004343155.1	GCF_009664085.1	70.263973	3348	2648	1893	0.631421	0.400000	0.500000
56218175	124676805	GCF_004343155.1	GCF_010820565.1	70.229016	3348	5567	2347	0.526528	0.400000	0.500000
