ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
580715893	580715893	GCF_005849285.1	GCF_005849285.1	100.000000	2768	2768	2751	0.993858	0.400000	0.500000
580715893	63913657	GCF_005849285.1	GCF_006385135.1	65.693647	2768	3659	1944	0.604948	0.400000	0.500000
580715893	63794493	GCF_005849285.1	GCF_006385175.1	71.700702	2768	3597	2066	0.649175	0.400000	0.500000
580715893	63654159	GCF_005849285.1	GCF_020748165.1	64.169576	2768	3163	1461	0.492666	0.400000	0.500000
63913657	580715893	GCF_006385135.1	GCF_005849285.1	65.693647	3659	2768	1944	0.604948	0.400000	0.500000
63913657	63913657	GCF_006385135.1	GCF_006385135.1	100.000000	3659	3659	3627	0.991254	0.400000	0.500000
63913657	63794493	GCF_006385135.1	GCF_006385175.1	65.422138	3659	3597	1974	0.544101	0.400000	0.500000
63913657	63654159	GCF_006385135.1	GCF_020748165.1	63.518628	3659	3163	1589	0.465846	0.400000	0.500000
63794493	580715893	GCF_006385175.1	GCF_005849285.1	71.700702	3597	2768	2066	0.649175	0.400000	0.500000
63794493	63913657	GCF_006385175.1	GCF_006385135.1	65.422138	3597	3659	1974	0.544101	0.400000	0.500000
63794493	63794493	GCF_006385175.1	GCF_006385175.1	100.000000	3597	3597	3567	0.991660	0.400000	0.500000
63794493	63654159	GCF_006385175.1	GCF_020748165.1	64.139628	3597	3163	1504	0.444970	0.400000	0.500000
63654159	580715893	GCF_020748165.1	GCF_005849285.1	64.169576	3163	2768	1461	0.492666	0.400000	0.500000
63654159	63913657	GCF_020748165.1	GCF_006385135.1	63.518628	3163	3659	1589	0.465846	0.400000	0.500000
63654159	63794493	GCF_020748165.1	GCF_006385175.1	64.139628	3163	3597	1504	0.444970	0.400000	0.500000
63654159	63654159	GCF_020748165.1	GCF_020748165.1	100.000000	3163	3163	3160	0.999052	0.400000	0.500000
