POCP	GCF_900176595.1.faa	GCF_019343195.1.faa	GCF_018500185.1.faa	GCF_016464625.1.faa	GCF_015354735.1.faa	GCF_014652135.1.faa	GCF_003347495.1.faa	GCF_003003005.1.faa	GCF_002150505.1.faa	GCF_000390185.1.faa	GCF_000373245.1.faa	GCF_000330725.2.faa	GCF_000298295.1.faa	GCF_000295935.2.faa	GCF_000265405.1.faa	GCF_000265075.1.faa	GCF_000222485.1.faa
GCF_900176595.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_019343195.1.faa	61.28798842257598	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_018500185.1.faa	53.41090577230207	57.577955039883975	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016464625.1.faa	46.34605725765947	48.96948608137045	53.53443022547227	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_015354735.1.faa	60.919423584331234	60.79897457808161	55.55949846226639	47.71301620491375	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014652135.1.faa	59.387777654989506	64.22811733084025	56.46489737220551	52.32948736672996	57.365228339246876	100	~	~	~	~	~	~	~	~	~	~	~
GCF_003347495.1.faa	53.27821572774466	53.491422805247225	50.84425683181515	41.97560975609756	55.02477700693756	49.90845449649973	100	~	~	~	~	~	~	~	~	~	~
GCF_003003005.1.faa	64.41368951829203	74.5497791369351	58.64158565837647	51.62241887905604	63.802863802863804	65.72403705509508	55.60322276865125	100	~	~	~	~	~	~	~	~	~
GCF_002150505.1.faa	55.51882265116775	55.070343275182886	53.127742258994616	48.08362369337979	53.33701047986762	53.61985472154963	49.31863102049308	57.17299578059072	100	~	~	~	~	~	~	~	~
GCF_000390185.1.faa	54.88430530834467	54.421017772381056	52.11630474788369	45.14899986392707	53.92358480355017	53.48589044344321	65.51547971799326	55.972892258212724	51.62063455832002	100	~	~	~	~	~	~	~
GCF_000373245.1.faa	47.004109885355824	49.268905643134566	51.51669640581188	46.607041453719475	49.42914707857622	47.422807233362036	48.31259228010968	50.33924532793716	52.86744708525482	50.388135789595644	100	~	~	~	~	~	~
GCF_000330725.2.faa	68.79165770801978	61.74801362088536	53.809162237408245	49.19718309859155	59.55506117908788	61.441661576053754	50.576640805200256	64.79839186472745	55.597321743216256	53.49372625762634	48.31782390837509	100	~	~	~	~	~
GCF_000298295.1.faa	64.06743940990516	66.44809957768393	56.79851668726823	49.69813391877058	59.2612769666594	66.78609817269796	53.25930495578861	69.98264893001735	56.441788300195384	56.473239436619714	47.864644107351225	65.61558080222582	100	~	~	~	~
GCF_000295935.2.faa	63.95718524798644	81.41771019677996	59.00945744151319	50.73265136853746	62.976764576939935	65.75309532395721	55.73821339950372	77.34838784774765	56.909910951775174	56.399501190341226	50.22310944105214	64.05739617358843	68.61872146118722	100	~	~	~
GCF_000265405.1.faa	59.1923724060572	61.97316870473703	59.401197604790426	54.80411142559214	56.07346274555388	64.86278532957168	49.65577532510108	63.34572490706319	55.57469849864633	53.65060240963856	50.96935584740463	58.65109924233014	62.25270057045758	65.93769089798411	100	~	~
GCF_000265075.1.faa	50.51058798237128	56.27057087731245	53.77704669112995	50.1056189269117	51.64052941830719	61.28756413388713	46.04256211342908	57.212106881059356	48.684519614752176	49.24033149171271	46.2722175832041	52.30477544732788	57.88802596499363	57.109529919514756	57.054148037754594	100	~
GCF_000222485.1.faa	49.93625576149848	47.42916022668727	46.60679777196772	40.28767979987492	47.64795144157815	45.39647577092511	59.455573660500335	49.80752780153978	51.06292517006803	60.60321436025882	50.66292982645252	47.294546233794065	47.715576094948005	48.61096440266188	47.507265817124974	41.654167559460035	100
