ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
654362363	654362363	GCF_000284115.1	GCF_000284115.1	100.000000	3124	3124	3111	0.995839	0.400000	0.500000
654362363	536175328	GCF_000284115.1	GCF_007747445.1	54.962935	3124	3714	978	0.286049	0.400000	0.500000
654362363	561199768	GCF_000284115.1	GCF_007748075.1	55.375248	3124	2877	1109	0.369605	0.400000	0.500000
654362363	1015224057	GCF_000284115.1	GCF_014207595.1	57.712974	3124	3522	1449	0.436052	0.400000	0.500000
536175328	654362363	GCF_007747445.1	GCF_000284115.1	54.962935	3714	3124	978	0.286049	0.400000	0.500000
536175328	536175328	GCF_007747445.1	GCF_007747445.1	100.000000	3714	3714	3713	0.999731	0.400000	0.500000
536175328	561199768	GCF_007747445.1	GCF_007748075.1	57.029328	3714	2877	1236	0.375057	0.400000	0.500000
536175328	1015224057	GCF_007747445.1	GCF_014207595.1	57.543779	3714	3522	1278	0.353234	0.400000	0.500000
561199768	654362363	GCF_007748075.1	GCF_000284115.1	55.375248	2877	3124	1109	0.369605	0.400000	0.500000
561199768	536175328	GCF_007748075.1	GCF_007747445.1	57.029328	2877	3714	1236	0.375057	0.400000	0.500000
561199768	561199768	GCF_007748075.1	GCF_007748075.1	100.000000	2877	2877	2873	0.998610	0.400000	0.500000
561199768	1015224057	GCF_007748075.1	GCF_014207595.1	57.609395	2877	3522	1256	0.392561	0.400000	0.500000
1015224057	654362363	GCF_014207595.1	GCF_000284115.1	57.712974	3522	3124	1449	0.436052	0.400000	0.500000
1015224057	536175328	GCF_014207595.1	GCF_007747445.1	57.543779	3522	3714	1278	0.353234	0.400000	0.500000
1015224057	561199768	GCF_014207595.1	GCF_007748075.1	57.609395	3522	2877	1256	0.392561	0.400000	0.500000
1015224057	1015224057	GCF_014207595.1	GCF_014207595.1	100.000000	3522	3522	3521	0.999716	0.400000	0.500000
