ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
787340442	787340442	GCF_001832905.1	GCF_001832905.1	100.000000	2226	2226	2226	1.000000	0.400000	0.500000
787340442	721343769	GCF_001832905.1	GCF_002055535.1	63.243617	2226	1928	846	0.407318	0.400000	0.500000
787340442	874848865	GCF_001832905.1	GCF_014202895.1	61.417291	2226	1626	827	0.429387	0.400000	0.500000
787340442	1023637424	GCF_001832905.1	GCF_900099625.1	63.061254	2226	2538	1053	0.442065	0.400000	0.500000
721343769	787340442	GCF_002055535.1	GCF_001832905.1	63.243617	1928	2226	846	0.407318	0.400000	0.500000
721343769	721343769	GCF_002055535.1	GCF_002055535.1	100.000000	1928	1928	1907	0.989108	0.400000	0.500000
721343769	874848865	GCF_002055535.1	GCF_014202895.1	59.691114	1928	1626	709	0.398987	0.400000	0.500000
721343769	1023637424	GCF_002055535.1	GCF_900099625.1	61.680993	1928	2538	826	0.369906	0.400000	0.500000
874848865	787340442	GCF_014202895.1	GCF_001832905.1	61.417291	1626	2226	827	0.429387	0.400000	0.500000
874848865	721343769	GCF_014202895.1	GCF_002055535.1	59.691114	1626	1928	709	0.398987	0.400000	0.500000
874848865	874848865	GCF_014202895.1	GCF_014202895.1	100.000000	1626	1626	1625	0.999385	0.400000	0.500000
874848865	1023637424	GCF_014202895.1	GCF_900099625.1	65.366667	1626	2538	1056	0.507205	0.400000	0.500000
1023637424	787340442	GCF_900099625.1	GCF_001832905.1	63.061254	2538	2226	1053	0.442065	0.400000	0.500000
1023637424	721343769	GCF_900099625.1	GCF_002055535.1	61.680993	2538	1928	826	0.369906	0.400000	0.500000
1023637424	874848865	GCF_900099625.1	GCF_014202895.1	65.366667	2538	1626	1056	0.507205	0.400000	0.500000
1023637424	1023637424	GCF_900099625.1	GCF_900099625.1	100.000000	2538	2538	2533	0.998030	0.400000	0.500000
