ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
616609382	616609382	GCF_000420505.1	GCF_000420505.1	100.000000	1596	1596	1594	0.998747	0.400000	0.500000
616609382	567389215	GCF_000420505.1	GCF_001025135.1	64.855075	1596	1856	798	0.462341	0.400000	0.500000
616609382	959979579	GCF_000420505.1	GCF_001042675.1	64.752778	1596	1542	774	0.493308	0.400000	0.500000
616609382	959919997	GCF_000420505.1	GCF_001042695.1	64.806732	1596	1472	817	0.532595	0.400000	0.500000
616609382	731488603	GCF_000420505.1	GCF_002259595.1	60.944814	1596	1295	617	0.426842	0.400000	0.500000
616609382	56105793	GCF_000420505.1	GCF_002797875.1	65.186825	1596	1718	778	0.469523	0.400000	0.500000
616609382	144806372	GCF_000420505.1	GCF_014635685.1	65.144752	1596	1696	848	0.515188	0.400000	0.500000
567389215	616609382	GCF_001025135.1	GCF_000420505.1	64.855075	1856	1596	798	0.462341	0.400000	0.500000
567389215	567389215	GCF_001025135.1	GCF_001025135.1	100.000000	1856	1856	1856	1.000000	0.400000	0.500000
567389215	959979579	GCF_001025135.1	GCF_001042675.1	64.033244	1856	1542	746	0.439082	0.400000	0.500000
567389215	959919997	GCF_001025135.1	GCF_001042695.1	64.013485	1856	1472	749	0.450120	0.400000	0.500000
567389215	731488603	GCF_001025135.1	GCF_002259595.1	61.259779	1856	1295	634	0.402412	0.400000	0.500000
567389215	56105793	GCF_001025135.1	GCF_002797875.1	66.872883	1856	1718	874	0.489088	0.400000	0.500000
567389215	144806372	GCF_001025135.1	GCF_014635685.1	67.233842	1856	1696	885	0.498311	0.400000	0.500000
959979579	616609382	GCF_001042675.1	GCF_000420505.1	64.752778	1542	1596	774	0.493308	0.400000	0.500000
959979579	567389215	GCF_001042675.1	GCF_001025135.1	64.033244	1542	1856	746	0.439082	0.400000	0.500000
959979579	959979579	GCF_001042675.1	GCF_001042675.1	100.000000	1542	1542	1542	1.000000	0.400000	0.500000
959979579	959919997	GCF_001042675.1	GCF_001042695.1	71.040795	1542	1472	994	0.659589	0.400000	0.500000
959979579	731488603	GCF_001042675.1	GCF_002259595.1	60.419628	1542	1295	619	0.436376	0.400000	0.500000
959979579	56105793	GCF_001042675.1	GCF_002797875.1	64.452089	1542	1718	718	0.440491	0.400000	0.500000
959979579	144806372	GCF_001042675.1	GCF_014635685.1	63.498995	1542	1696	746	0.460778	0.400000	0.500000
959919997	616609382	GCF_001042695.1	GCF_000420505.1	64.806732	1472	1596	817	0.532595	0.400000	0.500000
959919997	567389215	GCF_001042695.1	GCF_001025135.1	64.013485	1472	1856	749	0.450120	0.400000	0.500000
959919997	959979579	GCF_001042695.1	GCF_001042675.1	71.040795	1472	1542	994	0.659589	0.400000	0.500000
959919997	959919997	GCF_001042695.1	GCF_001042695.1	100.000000	1472	1472	1469	0.997962	0.400000	0.500000
959919997	731488603	GCF_001042695.1	GCF_002259595.1	60.461939	1472	1295	624	0.451030	0.400000	0.500000
959919997	56105793	GCF_001042695.1	GCF_002797875.1	64.308016	1472	1718	736	0.461442	0.400000	0.500000
959919997	144806372	GCF_001042695.1	GCF_014635685.1	63.462094	1472	1696	769	0.485480	0.400000	0.500000
731488603	616609382	GCF_002259595.1	GCF_000420505.1	60.944814	1295	1596	617	0.426842	0.400000	0.500000
731488603	567389215	GCF_002259595.1	GCF_001025135.1	61.259779	1295	1856	634	0.402412	0.400000	0.500000
