POCP	GCF_900637845.1.faa	GCF_900199515.1.faa	GCF_900167375.1.faa	GCF_900155395.1.faa	GCF_900104665.1.faa	GCF_014202755.1.faa	GCF_014202635.1.faa	GCF_010537335.1.faa	GCF_009831105.1.faa	GCF_009696175.1.faa	GCF_004365815.1.faa	GCF_004341945.1.faa	GCF_003725415.1.faa	GCF_001945605.1.faa	GCF_001945525.1.faa	GCF_001564455.1.faa	GCF_000469305.1.faa	GCF_000384195.1.faa	GCF_000313565.1.faa	GCF_000177375.1.faa	GCF_000157995.1.faa	GCF_000156655.1.faa	GCF_000154285.1.faa
GCF_900637845.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900199515.1.faa	25.43494241607449	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900167375.1.faa	29.3956727182293	33.5966735966736	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900155395.1.faa	25.790390838934528	49.6046608406159	33.03834808259587	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900104665.1.faa	25.821707259399385	42.34754882423276	35.276321097216616	41.90553088413404	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014202755.1.faa	22.31175326479578	32.38377392889699	27.749537892791125	38.737280296022206	30.29100529100529	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014202635.1.faa	24.536082474226802	37.858508604206506	32.37148399612027	47.66990291262136	35.78024007386888	54.159913560237705	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_010537335.1.faa	26.743899433078628	45.522080066033844	34.47555369828667	47.38603094939356	40.308370044052865	35.99908340971586	41.46634615384615	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009831105.1.faa	28.873420984789895	53.748928877463584	37.73871527777778	45.69939183318853	40.34468438538206	31.868131868131865	36.94123556002009	46.4900947459087	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009696175.1.faa	23.962008141112616	33.41528833258829	29.904848210240143	39.50113378684807	32.929467762873216	49.24849699398798	53.959873284054915	39.30337078651686	34.55056179775281	100	~	~	~	~	~	~	~	~	~	~	~	~	~
