ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
528644736	528644736	GCA_900105895.1	GCA_900105895.1	100.000000	1670	1670	1620	0.970060	0.400000	0.500000
528644736	874117215	GCA_900105895.1	GCF_000024225.1	63.884501	1670	1400	771	0.502280	0.400000	0.500000
528644736	600553433	GCA_900105895.1	GCF_000143845.1	65.458314	1670	1777	854	0.495503	0.400000	0.500000
528644736	842242888	GCA_900105895.1	GCF_001494635.1	64.843462	1670	2127	803	0.422965	0.400000	0.500000
528644736	150747874	GCA_900105895.1	GCF_003416765.1	64.401921	1670	1862	781	0.442242	0.400000	0.500000
528644736	117737569	GCA_900105895.1	GCF_003966955.1	63.706351	1670	1556	740	0.458772	0.400000	0.500000
528644736	127774820	GCA_900105895.1	GCF_900105025.1	65.120793	1670	2069	832	0.445039	0.400000	0.500000
528644736	918681477	GCA_900105895.1	GCF_900128445.1	64.038514	1670	2324	801	0.401102	0.400000	0.500000
874117215	528644736	GCF_000024225.1	GCA_900105895.1	63.884501	1400	1670	771	0.502280	0.400000	0.500000
874117215	874117215	GCF_000024225.1	GCF_000024225.1	100.000000	1400	1400	1400	1.000000	0.400000	0.500000
874117215	600553433	GCF_000024225.1	GCF_000143845.1	64.566446	1400	1777	830	0.522506	0.400000	0.500000
874117215	842242888	GCF_000024225.1	GCF_001494635.1	66.021569	1400	2127	867	0.491636	0.400000	0.500000
874117215	150747874	GCF_000024225.1	GCF_003416765.1	65.922036	1400	1862	835	0.511956	0.400000	0.500000
874117215	117737569	GCF_000024225.1	GCF_003966955.1	62.116153	1400	1556	746	0.504736	0.400000	0.500000
874117215	127774820	GCF_000024225.1	GCF_900105025.1	64.268019	1400	2069	838	0.483136	0.400000	0.500000
874117215	918681477	GCF_000024225.1	GCF_900128445.1	65.824910	1400	2324	837	0.449517	0.400000	0.500000
600553433	528644736	GCF_000143845.1	GCA_900105895.1	65.458314	1777	1670	854	0.495503	0.400000	0.500000
600553433	874117215	GCF_000143845.1	GCF_000024225.1	64.566446	1777	1400	830	0.522506	0.400000	0.500000
600553433	600553433	GCF_000143845.1	GCF_000143845.1	100.000000	1777	1777	1777	1.000000	0.400000	0.500000
600553433	842242888	GCF_000143845.1	GCF_001494635.1	68.028674	1777	2127	1041	0.533299	0.400000	0.500000
600553433	150747874	GCF_000143845.1	GCF_003416765.1	67.027497	1777	1862	971	0.533663	0.400000	0.500000
600553433	117737569	GCF_000143845.1	GCF_003966955.1	63.964286	1777	1556	847	0.508251	0.400000	0.500000
600553433	127774820	GCF_000143845.1	GCF_900105025.1	71.316894	1777	2069	1101	0.572543	0.400000	0.500000
600553433	918681477	GCF_000143845.1	GCF_900128445.1	66.362854	1777	2324	988	0.481834	0.400000	0.500000
842242888	528644736	GCF_001494635.1	GCA_900105895.1	64.843462	2127	1670	803	0.422965	0.400000	0.500000
842242888	874117215	GCF_001494635.1	GCF_000024225.1	66.021569	2127	1400	867	0.491636	0.400000	0.500000
842242888	600553433	GCF_001494635.1	GCF_000143845.1	68.028674	2127	1777	1041	0.533299	0.400000	0.500000
842242888	842242888	GCF_001494635.1	GCF_001494635.1	100.000000	2127	2127	2127	1.000000	0.400000	0.500000
842242888	150747874	GCF_001494635.1	GCF_003416765.1	69.493248	2127	1862	1133	0.568062	0.400000	0.500000
842242888	117737569	GCF_001494635.1	GCF_003966955.1	64.639721	2127	1556	968	0.525658	0.400000	0.500000
842242888	127774820	GCF_001494635.1	GCF_900105025.1	69.425411	2127	2069	1277	0.608675	0.400000	0.500000
842242888	918681477	GCF_001494635.1	GCF_900128445.1	68.376910	2127	2324	1152	0.517636	0.400000	0.500000
150747874	528644736	GCF_003416765.1	GCA_900105895.1	64.401921	1862	1670	781	0.442242	0.400000	0.500000
150747874	874117215	GCF_003416765.1	GCF_000024225.1	65.922036	1862	1400	835	0.511956	0.400000	0.500000
