ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
31420581	31420581	GCF_001263335.1	GCF_001263335.1	100.000000	1408	1408	1404	0.997159	0.400000	0.500000
31420581	481177161	GCF_001263335.1	GCF_001888055.1	61.346609	1408	2054	752	0.434431	0.400000	0.500000
31420581	876222991	GCF_001263335.1	GCF_900460215.1	63.748158	1408	2356	923	0.490436	0.400000	0.500000
31420581	246853243	GCF_001263335.1	GCF_900637305.1	61.323896	1408	2435	883	0.459537	0.400000	0.500000
481177161	31420581	GCF_001888055.1	GCF_001263335.1	61.346609	2054	1408	752	0.434431	0.400000	0.500000
481177161	481177161	GCF_001888055.1	GCF_001888055.1	100.000000	2054	2054	2052	0.999026	0.400000	0.500000
481177161	876222991	GCF_001888055.1	GCF_900460215.1	66.013384	2054	2356	1046	0.474376	0.400000	0.500000
481177161	246853243	GCF_001888055.1	GCF_900637305.1	63.088877	2054	2435	917	0.408554	0.400000	0.500000
876222991	31420581	GCF_900460215.1	GCF_001263335.1	63.748158	2356	1408	923	0.490436	0.400000	0.500000
876222991	481177161	GCF_900460215.1	GCF_001888055.1	66.013384	2356	2054	1046	0.474376	0.400000	0.500000
876222991	876222991	GCF_900460215.1	GCF_900460215.1	100.000000	2356	2356	2327	0.987691	0.400000	0.500000
876222991	246853243	GCF_900460215.1	GCF_900637305.1	63.079312	2356	2435	1206	0.503444	0.400000	0.500000
246853243	31420581	GCF_900637305.1	GCF_001263335.1	61.323896	2435	1408	883	0.459537	0.400000	0.500000
246853243	481177161	GCF_900637305.1	GCF_001888055.1	63.088877	2435	2054	917	0.408554	0.400000	0.500000
246853243	876222991	GCF_900637305.1	GCF_900460215.1	63.079312	2435	2356	1206	0.503444	0.400000	0.500000
246853243	246853243	GCF_900637305.1	GCF_900637305.1	100.000000	2435	2435	2420	0.993840	0.400000	0.500000
