POCP	GCF_900129355.1.faa	GCF_900114055.1.faa	GCF_900110165.1.faa	GCF_016055185.1.faa	GCF_004343255.1.faa	GCF_004341825.1.faa	GCF_004341445.1.faa	GCF_003856495.1.faa	GCF_003688725.1.faa	GCF_000428065.1.faa
GCF_900129355.1.faa	100	~	~	~	~	~	~	~	~	~
GCF_900114055.1.faa	46.72769504030605	100	~	~	~	~	~	~	~	~
GCF_900110165.1.faa	46.23627109563354	60.44745762711864	100	~	~	~	~	~	~	~
GCF_016055185.1.faa	45.005136106831024	58.76315447576979	67.23610402855685	100	~	~	~	~	~	~
GCF_004343255.1.faa	46.58260495773033	58.5075493612079	62.4591329068941	58.896289248334924	100	~	~	~	~	~
GCF_004341825.1.faa	46.49749278225194	56.73343605546995	58.143739641404245	57.82440005747952	59.9349593495935	100	~	~	~	~
GCF_004341445.1.faa	42.97495418448381	51.014402973517115	50.6511205330103	49.53797285590528	53.04888017001799	53.83808358104564	100	~	~	~
GCF_003856495.1.faa	45.651836924507826	57.43710691823899	61.11879514369141	57.72441060184508	62.39202657807309	61.34827463536108	54.39255680801575	100	~	~
GCF_003688725.1.faa	47.14804866487597	59.987175376723314	62.098668754894284	59.56463396451469	66.68362156663275	60.690909090909095	52.80775562465704	64.78584729981378	100	~
GCF_000428065.1.faa	48.14395369321757	46.21945010183299	45.308009496438835	44.5045045045045	46.56732304417243	44.98454622084856	44.925899788285115	44.16141957641672	44.756772502184674	100
