ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
987591134	987591134	GCF_000020365.1	GCF_000020365.1	100.000000	5061	5061	4952	0.978463	0.400000	0.500000
987591134	820686689	GCF_000020365.1	GCF_000233695.2	61.320041	5061	3616	1709	0.393915	0.400000	0.500000
987591134	557014694	GCF_000020365.1	GCF_000307105.1	63.177943	5061	4532	1920	0.400292	0.400000	0.500000
987591134	612230105	GCF_000020365.1	GCF_000420085.1	62.555363	5061	5401	2303	0.440260	0.400000	0.500000
987591134	642706298	GCF_000020365.1	GCF_000421285.1	62.165351	5061	4642	1964	0.404823	0.400000	0.500000
820686689	987591134	GCF_000233695.2	GCF_000020365.1	61.320041	3616	5061	1709	0.393915	0.400000	0.500000
820686689	820686689	GCF_000233695.2	GCF_000233695.2	100.000000	3616	3616	3554	0.982854	0.400000	0.500000
820686689	557014694	GCF_000233695.2	GCF_000307105.1	65.884620	3616	4532	1697	0.416544	0.400000	0.500000
820686689	612230105	GCF_000233695.2	GCF_000420085.1	66.573874	3616	5401	1820	0.403682	0.400000	0.500000
820686689	642706298	GCF_000233695.2	GCF_000421285.1	65.334507	3616	4642	1591	0.385323	0.400000	0.500000
557014694	987591134	GCF_000307105.1	GCF_000020365.1	63.177943	4532	5061	1920	0.400292	0.400000	0.500000
557014694	820686689	GCF_000307105.1	GCF_000233695.2	65.884620	4532	3616	1697	0.416544	0.400000	0.500000
557014694	557014694	GCF_000307105.1	GCF_000307105.1	100.000000	4532	4532	4326	0.954545	0.400000	0.500000
557014694	612230105	GCF_000307105.1	GCF_000420085.1	68.931800	4532	5401	2239	0.450820	0.400000	0.500000
557014694	642706298	GCF_000307105.1	GCF_000421285.1	67.434368	4532	4642	2095	0.456726	0.400000	0.500000
612230105	987591134	GCF_000420085.1	GCF_000020365.1	62.555363	5401	5061	2303	0.440260	0.400000	0.500000
612230105	820686689	GCF_000420085.1	GCF_000233695.2	66.573874	5401	3616	1820	0.403682	0.400000	0.500000
612230105	557014694	GCF_000420085.1	GCF_000307105.1	68.931800	5401	4532	2239	0.450820	0.400000	0.500000
612230105	612230105	GCF_000420085.1	GCF_000420085.1	100.000000	5401	5401	5357	0.991853	0.400000	0.500000
612230105	642706298	GCF_000420085.1	GCF_000421285.1	68.228425	5401	4642	2285	0.455043	0.400000	0.500000
642706298	987591134	GCF_000421285.1	GCF_000020365.1	62.165351	4642	5061	1964	0.404823	0.400000	0.500000
642706298	820686689	GCF_000421285.1	GCF_000233695.2	65.334507	4642	3616	1591	0.385323	0.400000	0.500000
642706298	557014694	GCF_000421285.1	GCF_000307105.1	67.434368	4642	4532	2095	0.456726	0.400000	0.500000
642706298	612230105	GCF_000421285.1	GCF_000420085.1	68.228425	4642	5401	2285	0.455043	0.400000	0.500000
642706298	642706298	GCF_000421285.1	GCF_000421285.1	100.000000	4642	4642	4581	0.986859	0.400000	0.500000
