POCP	GCF_900108185.1.faa	GCF_014274465.1.faa	GCF_004339725.1.faa	GCF_004217555.1.faa	GCF_003428625.2.faa	GCF_003330725.1.faa	GCF_001449115.1.faa	GCF_001006305.1.faa	GCF_000688455.1.faa	GCF_000265425.1.faa	GCF_000022565.1.faa
GCF_900108185.1.faa	100	~	~	~	~	~	~	~	~	~	~
GCF_014274465.1.faa	45.1854066985646	100	~	~	~	~	~	~	~	~	~
GCF_004339725.1.faa	48.873204556711244	56.13762486126526	100	~	~	~	~	~	~	~	~
GCF_004217555.1.faa	45.94160192874364	48.883211077227394	46.654220300678	100	~	~	~	~	~	~	~
GCF_003428625.2.faa	48.457688278430915	57.564304461942264	60.879904875148625	46.567527123082684	100	~	~	~	~	~	~
GCF_003330725.1.faa	42.429889953851614	49.31158826421898	49.180167870388445	46.45074425910689	48.740823343555434	100	~	~	~	~	~
GCF_001449115.1.faa	45.711425075091775	51.11357452383351	51.80117986695117	42.82236248872858	53.619429379863234	45.622367595662695	100	~	~	~	~
GCF_001006305.1.faa	48.62051541182416	56.38563117554715	56.32818663360757	47.87429143047682	59.65061780997017	53.518441773725655	51.716738197424895	100	~	~	~
GCF_000688455.1.faa	48.70432754599637	57.69764216366158	67.01015531660694	44.51573479987779	61.309111080294	46.34911003236246	52.39847548955184	54.914856136230185	100	~	~
GCF_000265425.1.faa	52.52752190518984	44.57096380642538	50.63451776649747	47.614287012632914	47.194758784991066	42.25975433526011	43.659729330148984	46.09753582843592	48.43126827971284	100	~
GCF_000022565.1.faa	47.644904659679256	50.796340223653004	64.05683630564013	41.846307385229544	58.944954128440365	45.02923976608187	49.21895006402049	53.65993575034419	61.706682979048786	46.04428330959472	100
