POCP	GCF_900087055.1.faa	GCF_019797845.1.faa	GCF_016415625.1.faa	GCF_011064845.1.faa	GCF_009711095.1.faa	GCF_005671395.1.faa	GCF_004115925.1.faa	GCF_003935895.2.faa	GCF_003697165.2.faa	GCF_003332275.1.faa	GCF_003182475.1.faa	GCF_002915575.1.faa	GCF_001975225.1.faa	GCF_001598855.1.faa	GCF_001484765.1.faa	GCF_000982825.1.faa	GCF_000759795.1.faa	GCF_000742135.1.faa	GCF_000735455.1.faa	GCF_000735365.1.faa	GCF_000735355.1.faa	GCF_000734965.1.faa	GCF_000463155.2.faa	GCF_000463115.2.faa	GCF_000412335.2.faa	GCF_000025565.1.faa	GCF_000006945.2.faa	GCA_901472455.1.faa	GCA_900635495.1.faa	GCA_004346725.1.faa	GCA_003315335.1.faa
GCF_900087055.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_019797845.1.faa	44.79573250065053	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016415625.1.faa	49.346689895470384	55.47143840330351	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_011064845.1.faa	49.18640031750232	56.821812759612314	67.07018973344198	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009711095.1.faa	46.205962059620596	53.7242128121607	61.16262482168331	66.78410216888693	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_005671395.1.faa	45.72995560198485	54.87984822934233	65.89182968929805	64.95032581989105	62.44826835112176	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004115925.1.faa	48.862853204686424	58.018712162905885	67.96186798600216	73.61018084393838	65.31495614534684	66.62250193220713	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003935895.2.faa	47.7983147594455	55.53983456682629	67.23480333730632	71.62564838318066	62.76739473091646	66.56113537117903	77.6293251113395	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003697165.2.faa	48.92086330935252	55.873350923482846	64.41166301717183	74.77535301668806	65.81960955393173	62.220810839419926	70.12383900928792	67.03837323712692	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003332275.1.faa	48.10874704491725	57.412113511224064	59.19500346981263	62.61672212085435	57.24447362661414	58.25191163976211	63.49717075335626	60.44317683194384	60.39561841965331	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003182475.1.faa	45.40134842895306	55.845629965947786	62.82469357921961	64.68005018820577	60.04262120404902	63.36541446755666	67.55939524838013	66.5064616041867	62.424870466321245	57.42800706934192	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_002915575.1.faa	41.89690228441574	52.1047983514866	59.58692643457895	66.03736089030207	58.47243297926151	58.762176522680306	67.51024590163934	65.00050694514854	64.30541871921183	56.67556082616859	60.68879027590198	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001975225.1.faa	46.67569397427218	57.55832881172002	63.906379945348704	67.77068661971832	62.812885845773934	65.71241972352236	74.21448087431693	69.97862045684708	65.32592108131676	60.61467789565788	66.3471778487753	65.95551061678464	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001598855.1.faa	44.02985074626866	53.22870851659336	67.05409515533348	66.96365293105194	62.89956692101464	66.15878107457898	67.17852292907135	67.24886316659777	64.06704807788819	57.90374546919049	63.52293938500835	60.97012828916565	67.08234566628877	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001484765.1.faa	45.12210239246312	54.22855410730525	63.90812177162326	66.66325486182191	64.3728495464498	63.927449589624075	66.53285442636805	63.65346431184031	66.1424512987013	60.44783715012723	61.219221604447974	59.771093454407875	64.04751979991663	64.64130958112662	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_000982825.1.faa	47.067607928319305	54.523705959112654	63.324601095498934	66.31381629727645	61.60854893138358	64.19066317626528	70.30233884768967	68.20027063599458	65.59257236482796	59.710653222270935	65.44659054529933	66.32560024313646	72.46767847105116	65.94382486575795	63.41234206954161	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_000759795.1.faa	48.559261887863734	56.69859154929577	64.98700012380834	68.20987654320987	62.14260707200373	64.98247993670171	72.84462340123164	71.15947115947115	64.73851030110936	60.93377257753039	66.09944751381217	66.02094240837695	73.43130394215068	65.08597671686425	61.74373379429559	71.73582700175336	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_000742135.1.faa	44.87021013597033	54.18346774193549	68.57048892786669	68.81445930766874	62.36738090285001	65.30529720986657	70.89261249868268	68.42160133444537	67.11205587610081	59.8395613322502	65.5175829618623	62.72770174610665	66.84686557854246	69.65795541890853	66.26541112513348	65.96875	65.94460609979524	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_000735455.1.faa	48.915917503966156	56.983180753672556	67.07771056305259	74.4793352757095	63.36927816901409	65.56694426649584	74.87448398973558	72.25898963159055	71.17502405645247	60.98476721733533	63.60121224788379	63.11450988181547	67.34850984273618	66.45415907710989	66.37340153452685	65.69318933215781	66.10305038272593	68.56501326801389	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_000735365.1.faa	46.76577986437142	55.93809222994315	68.87356321839081	72.59630775797675	62.68494342906875	66.15628299894404	74.6112275283997	72.15921483097055	67.39980966479855	61.01209420751113	65.72934973637962	65.929421016416	68.8811568989888	68.24554376126576	65.09768195161453	68.75136195249509	69.86564299424184	72.56109876792567	72.55759385665529	100	~	~	~	~	~	~	~	~	~	~	~
GCF_000735355.1.faa	49.600880814753644	56.82717678100264	68.35382019763799	73.88783587913925	63.44709897610922	66.97176885752096	77.62261973456434	76.52828467153284	69.44229707344009	63.15381205673759	67.04778341063532	65.39760515812098	70.25582717453098	66.35016694490818	65.69589532552496	68.90382862351869	70.13601419278534	68.89473684210526	73.0777802540673	72.39480061687597	100	~	~	~	~	~	~	~	~	~	~
GCF_000734965.1.faa	47.04297626683772	54.81558441558442	64.38200974283448	68.93030111602442	61.49801480845585	62.925914348233825	71.26386773983032	68.29084650962676	67.82136894824707	59.6147806971632	61.46938775510205	63.05825242718447	65.7979407979408	64.75823197864136	64.1315210873476	64.6211714132187	64.82635796972396	63.90467643832884	73.47153530464064	66.368273134173	68.74524714828897	100	~	~	~	~	~	~	~	~	~
GCF_000463155.2.faa	49.80184940554822	56.785838250607426	66.24601657106437	69.79802724283701	65.34724721122706	67.40568775391759	74.81734047735021	72.49549007817197	67.20530109276912	62.38478590596197	65.69516897255613	66.07641124704872	76.01294653560298	65.65545942394041	64.87145390070921	76.09035203652529	74.9312671832042	65.48026970266386	69.13507804248327	69.68115942028984	73.80518059102518	66.99040219378428	100	~	~	~	~	~	~	~	~
GCF_000463115.2.faa	48.86763257842172	56.2255285826155	66.40461859722393	69.8479346345892	64.39244758484884	67.25395578498485	74.33004231311706	72.58158169782836	66.64418970555181	61.993910003383334	66.69958305903006	67.13126690243395	75.04051863857374	66.58533998090591	65.22532188841201	77.64241791391112	74.39141961918536	68.45766884298405	68.54939321764772	70.31722901020065	74.57448057283719	66.66666666666666	78.84949169352839	100	~	~	~	~	~	~	~
GCF_000412335.2.faa	48.336727766463	56.30233822729744	67.10730022627128	69.44199382443759	62.650466869164134	65.1467219373841	73.19717024189868	71.1852937859479	65.57788944723619	61.481968650663156	64.58911419423693	61.21580547112462	68.65302451090622	65.98161726737581	62.834168755221384	66.7943661971831	68.15524900631283	67.632045004688	70.58304860575333	70.03378010242999	72.52421652421653	66.22957867583835	69.8509973564047	69.45927129264331	100	~	~	~	~	~	~
GCF_000025565.1.faa	43.19618366129994	53.715124816446405	63.098651375172565	69.4785884218874	61.49964678575033	66.20202218513792	75.07154538021258	72.05421260240719	65.18576764301159	59.25268658187913	64.89894128970164	66.40955004591368	70.23401250756505	66.91581799495468	64.6942242355606	70.63163213744316	67.03572174639649	68.509275826349	69.8602992172793	71.46219476316563	70.90352220520674	68.29717163889966	70.49882252194391	71.25959742685204	68.24337982615727	100	~	~	~	~	~
GCF_000006945.2.faa	47.94230514754532	54.554170661553215	63.36011177086972	73.75809935205183	66.18213853099878	62.602842183994014	69.05984814649398	65.84611988078154	72.92959554889794	58.56146001073538	61.28425015687095	64.92744981117075	66.31080783623156	63.80759493670885	66.09336609336609	64.6299768390868	64.50949005259548	66.2547237258707	70.1241230437129	66.90148361618103	67.70380283260845	65.83824768323505	67.53582334977683	66.91259931895573	64.12971542025149	65.02082093991672	100	~	~	~	~
GCA_901472455.1.faa	41.1245216367383	51.31852591298561	60.580949835159934	65.34387085925677	57.96841655996585	60.91053114316685	72.06212251941328	67.98939536474813	61.71118530884808	55.77035735207967	60.38045260741227	63.88626339004411	66.46757679180887	61.963386361819495	59.9016287695533	66.04563712503206	67.64499121265378	64.54728370221328	63.91293385998823	67.81637923852371	68.2441168864753	63.12448474855729	66.98959454610693	68.91821041593849	63.51282051282051	69.71698113207547	60.96535486041036	100	~	~	~
GCA_900635495.1.faa	48.24449000512558	56.80921735520034	65.10864644635582	70.44283159777007	65.6303602058319	65.02186133666459	71.24850592198196	69.22415645819902	68.98780360679663	62.88433382137628	66.12294831277399	66.98030846832864	70.42751526840244	64.82908516103537	65.73140289565652	71.18316512776465	70.88846880907373	65.49113369197052	68.94449116904963	67.92845257903494	71.30453657477752	68.57230832392487	73.46193356922726	74.37341282985535	67.45409642435305	68.30542920739379	67.82745923198317	65.9856660350935	100	~	~
GCA_004346725.1.faa	43.66474130514932	56.87769639811378	62.580434071327296	69.11585365853658	62.436600765966254	62.923835395915084	71.71770134228188	68.94906110592385	65.76667338303446	59.51490651844365	69.05935712877145	65.94625070475475	74.16718394372026	65.26064084170254	63.7127947429455	68.16626930652016	71.10229466009007	68.19978787002218	66.0538344337227	67.8661171977083	68.57651618309416	63.77530766177054	69.0565207829338	71.54419595314164	66.49388347501555	68.57303581473843	65.5011181134377	65.87556125721616	69.86613782845811	100	~
