ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
839827774	839827774	GCF_000025865.1	GCF_000025865.1	100.000000	1997	1997	1997	1.000000	0.400000	0.500000
839827774	373932122	GCF_000025865.1	GCF_000196655.1	62.058681	1997	2379	1319	0.602834	0.400000	0.500000
839827774	742818587	GCF_000025865.1	GCF_000217995.1	62.514754	1997	2004	1281	0.640340	0.400000	0.500000
839827774	177676346	GCF_000025865.1	GCF_000328665.1	62.672565	1997	2628	1314	0.568216	0.400000	0.500000
839827774	696158396	GCF_000025865.1	GCF_000504205.1	63.349856	1997	2962	1392	0.561404	0.400000	0.500000
839827774	947551290	GCF_000025865.1	GCF_000765475.1	65.950678	1997	2476	1474	0.659066	0.400000	0.500000
839827774	878719551	GCF_000025865.1	GCF_000970025.1	60.942387	1997	3824	1261	0.433259	0.400000	0.500000
839827774	645851720	GCF_000025865.1	GCF_004363215.1	56.779045	1997	1543	785	0.443503	0.400000	0.500000
373932122	839827774	GCF_000196655.1	GCF_000025865.1	62.058681	2379	1997	1319	0.602834	0.400000	0.500000
373932122	373932122	GCF_000196655.1	GCF_000196655.1	100.000000	2379	2379	2372	0.997058	0.400000	0.500000
373932122	742818587	GCF_000196655.1	GCF_000217995.1	63.028212	2379	2004	1292	0.589551	0.400000	0.500000
373932122	177676346	GCF_000196655.1	GCF_000328665.1	62.068696	2379	2628	1281	0.511684	0.400000	0.500000
373932122	696158396	GCF_000196655.1	GCF_000504205.1	62.771756	2379	2962	1310	0.490545	0.400000	0.500000
373932122	947551290	GCF_000196655.1	GCF_000765475.1	63.221312	2379	2476	1288	0.530587	0.400000	0.500000
373932122	878719551	GCF_000196655.1	GCF_000970025.1	61.089582	2379	3824	1219	0.393036	0.400000	0.500000
373932122	645851720	GCF_000196655.1	GCF_004363215.1	56.091816	2379	1543	782	0.398776	0.400000	0.500000
742818587	839827774	GCF_000217995.1	GCF_000025865.1	62.514754	2004	1997	1281	0.640340	0.400000	0.500000
742818587	373932122	GCF_000217995.1	GCF_000196655.1	63.028212	2004	2379	1292	0.589551	0.400000	0.500000
742818587	742818587	GCF_000217995.1	GCF_000217995.1	100.000000	2004	2004	1997	0.996507	0.400000	0.500000
742818587	177676346	GCF_000217995.1	GCF_000328665.1	62.799141	2004	2628	1280	0.552677	0.400000	0.500000
742818587	696158396	GCF_000217995.1	GCF_000504205.1	62.874661	2004	2962	1326	0.534031	0.400000	0.500000
742818587	947551290	GCF_000217995.1	GCF_000765475.1	63.479234	2004	2476	1293	0.577232	0.400000	0.500000
742818587	878719551	GCF_000217995.1	GCF_000970025.1	61.170888	2004	3824	1216	0.417296	0.400000	0.500000
742818587	645851720	GCF_000217995.1	GCF_004363215.1	56.913158	2004	1543	779	0.439244	0.400000	0.500000
177676346	839827774	GCF_000328665.1	GCF_000025865.1	62.672565	2628	1997	1314	0.568216	0.400000	0.500000
177676346	373932122	GCF_000328665.1	GCF_000196655.1	62.068696	2628	2379	1281	0.511684	0.400000	0.500000
177676346	742818587	GCF_000328665.1	GCF_000217995.1	62.799141	2628	2004	1280	0.552677	0.400000	0.500000
177676346	177676346	GCF_000328665.1	GCF_000328665.1	100.000000	2628	2628	2615	0.995053	0.400000	0.500000
177676346	696158396	GCF_000328665.1	GCF_000504205.1	67.487531	2628	2962	1592	0.569589	0.400000	0.500000
177676346	947551290	GCF_000328665.1	GCF_000765475.1	65.134192	2628	2476	1417	0.555251	0.400000	0.500000
177676346	878719551	GCF_000328665.1	GCF_000970025.1	62.153804	2628	3824	1354	0.419715	0.400000	0.500000
177676346	645851720	GCF_000328665.1	GCF_004363215.1	57.466667	2628	1543	822	0.394150	0.400000	0.500000
696158396	839827774	GCF_000504205.1	GCF_000025865.1	63.349856	2962	1997	1392	0.561404	0.400000	0.500000
696158396	373932122	GCF_000504205.1	GCF_000196655.1	62.771756	2962	2379	1310	0.490545	0.400000	0.500000
696158396	742818587	GCF_000504205.1	GCF_000217995.1	62.874661	2962	2004	1326	0.534031	0.400000	0.500000
696158396	177676346	GCF_000504205.1	GCF_000328665.1	67.487531	2962	2628	1592	0.569589	0.400000	0.500000
696158396	696158396	GCF_000504205.1	GCF_000504205.1	100.000000	2962	2962	2950	0.995949	0.400000	0.500000
696158396	947551290	GCF_000504205.1	GCF_000765475.1	66.029520	2962	2476	1543	0.567488	0.400000	0.500000
696158396	878719551	GCF_000504205.1	GCF_000970025.1	62.488470	2962	3824	1431	0.421751	0.400000	0.500000
696158396	645851720	GCF_000504205.1	GCF_004363215.1	57.608055	2962	1543	838	0.372031	0.400000	0.500000
947551290	839827774	GCF_000765475.1	GCF_000025865.1	65.950678	2476	1997	1474	0.659066	0.400000	0.500000
947551290	373932122	GCF_000765475.1	GCF_000196655.1	63.221312	2476	2379	1288	0.530587	0.400000	0.500000
947551290	742818587	GCF_000765475.1	GCF_000217995.1	63.479234	2476	2004	1293	0.577232	0.400000	0.500000
947551290	177676346	GCF_000765475.1	GCF_000328665.1	65.134192	2476	2628	1417	0.555251	0.400000	0.500000
947551290	696158396	GCF_000765475.1	GCF_000504205.1	66.029520	2476	2962	1543	0.567488	0.400000	0.500000
947551290	947551290	GCF_000765475.1	GCF_000765475.1	100.000000	2476	2476	2469	0.997173	0.400000	0.500000
947551290	878719551	GCF_000765475.1	GCF_000970025.1	62.471840	2476	3824	1353	0.429524	0.400000	0.500000
947551290	645851720	GCF_000765475.1	GCF_004363215.1	57.994649	2476	1543	813	0.404578	0.400000	0.500000
878719551	839827774	GCF_000970025.1	GCF_000025865.1	60.942387	3824	1997	1261	0.433259	0.400000	0.500000
878719551	373932122	GCF_000970025.1	GCF_000196655.1	61.089582	3824	2379	1219	0.393036	0.400000	0.500000
878719551	742818587	GCF_000970025.1	GCF_000217995.1	61.170888	3824	2004	1216	0.417296	0.400000	0.500000
878719551	177676346	GCF_000970025.1	GCF_000328665.1	62.153804	3824	2628	1354	0.419715	0.400000	0.500000
878719551	696158396	GCF_000970025.1	GCF_000504205.1	62.488470	3824	2962	1431	0.421751	0.400000	0.500000
878719551	947551290	GCF_000970025.1	GCF_000765475.1	62.471840	3824	2476	1353	0.429524	0.400000	0.500000
878719551	878719551	GCF_000970025.1	GCF_000970025.1	100.000000	3824	3824	3766	0.984833	0.400000	0.500000
878719551	645851720	GCF_000970025.1	GCF_004363215.1	58.892799	3824	1543	854	0.318241	0.400000	0.500000
645851720	839827774	GCF_004363215.1	GCF_000025865.1	56.779045	1543	1997	785	0.443503	0.400000	0.500000
645851720	373932122	GCF_004363215.1	GCF_000196655.1	56.091816	1543	2379	782	0.398776	0.400000	0.500000
645851720	742818587	GCF_004363215.1	GCF_000217995.1	56.913158	1543	2004	779	0.439244	0.400000	0.500000
645851720	177676346	GCF_004363215.1	GCF_000328665.1	57.466667	1543	2628	822	0.394150	0.400000	0.500000
645851720	696158396	GCF_004363215.1	GCF_000504205.1	57.608055	1543	2962	838	0.372031	0.400000	0.500000
645851720	947551290	GCF_004363215.1	GCF_000765475.1	57.994649	1543	2476	813	0.404578	0.400000	0.500000
645851720	878719551	GCF_004363215.1	GCF_000970025.1	58.892799	1543	3824	854	0.318241	0.400000	0.500000
645851720	645851720	GCF_004363215.1	GCF_004363215.1	100.000000	1543	1543	1543	1.000000	0.400000	0.500000
