ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
796757473	796757473	GCF_000315525.1	GCF_000315525.1	100.000000	5113	5113	5061	0.989830	0.400000	0.500000
796757473	614762340	GCF_000315525.1	GCF_000420305.1	62.902088	5113	2894	1748	0.436618	0.400000	0.500000
796757473	522947658	GCF_000315525.1	GCF_000739895.2	64.917426	5113	4031	2086	0.456255	0.400000	0.500000
796757473	586537343	GCF_000315525.1	GCF_001314325.1	64.035783	5113	5547	2191	0.411069	0.400000	0.500000
796757473	524307044	GCF_000315525.1	GCF_001598375.1	63.965989	5113	4348	2114	0.446887	0.400000	0.500000
796757473	180153248	GCF_000315525.1	GCF_001890385.1	65.836651	5113	3945	1487	0.328329	0.400000	0.500000
796757473	280461516	GCF_000315525.1	GCF_003012815.1	64.682925	5113	2389	1511	0.402826	0.400000	0.500000
796757473	370233433	GCF_000315525.1	GCF_003201955.1	64.078984	5113	3896	1958	0.434676	0.400000	0.500000
796757473	4599098	GCF_000315525.1	GCF_003385775.1	62.824531	5113	2873	1600	0.400701	0.400000	0.500000
796757473	1018278902	GCF_000315525.1	GCF_005144965.1	59.779188	5113	3866	961	0.214055	0.400000	0.500000
796757473	312610489	GCF_000315525.1	GCF_014195685.1	61.641165	5113	2067	1296	0.361003	0.400000	0.500000
796757473	810053440	GCF_000315525.1	GCF_014200045.1	68.932461	5113	3269	1853	0.442138	0.400000	0.500000
796757473	29987998	GCF_000315525.1	GCF_019443285.1	64.389932	5113	3285	1624	0.386759	0.400000	0.500000
796757473	922524516	GCF_000315525.1	GCF_900128895.1	63.062421	5113	3404	1590	0.373371	0.400000	0.500000
614762340	796757473	GCF_000420305.1	GCF_000315525.1	62.902088	2894	5113	1748	0.436618	0.400000	0.500000
614762340	614762340	GCF_000420305.1	GCF_000420305.1	100.000000	2894	2894	2891	0.998963	0.400000	0.500000
614762340	522947658	GCF_000420305.1	GCF_000739895.2	62.160775	2894	4031	1638	0.473069	0.400000	0.500000
614762340	586537343	GCF_000420305.1	GCF_001314325.1	62.569127	2894	5547	1775	0.420566	0.400000	0.500000
614762340	524307044	GCF_000420305.1	GCF_001598375.1	62.113751	2894	4348	1549	0.427782	0.400000	0.500000
614762340	180153248	GCF_000420305.1	GCF_001890385.1	61.612853	2894	3945	1132	0.331043	0.400000	0.500000
614762340	280461516	GCF_000420305.1	GCF_003012815.1	62.889458	2894	2389	1385	0.524323	0.400000	0.500000
614762340	370233433	GCF_000420305.1	GCF_003201955.1	64.268448	2894	3896	1778	0.523711	0.400000	0.500000
614762340	4599098	GCF_000420305.1	GCF_003385775.1	62.851135	2894	2873	1542	0.534767	0.400000	0.500000
614762340	1018278902	GCF_000420305.1	GCF_005144965.1	58.993395	2894	3866	810	0.239645	0.400000	0.500000
614762340	312610489	GCF_000420305.1	GCF_014195685.1	61.477673	2894	2067	1272	0.512800	0.400000	0.500000
614762340	810053440	GCF_000420305.1	GCF_014200045.1	64.068796	2894	3269	1495	0.485153	0.400000	0.500000
614762340	29987998	GCF_000420305.1	GCF_019443285.1	63.042080	2894	3285	1433	0.463829	0.400000	0.500000
614762340	922524516	GCF_000420305.1	GCF_900128895.1	63.850490	2894	3404	1633	0.518577	0.400000	0.500000
522947658	796757473	GCF_000739895.2	GCF_000315525.1	64.917426	4031	5113	2086	0.456255	0.400000	0.500000
522947658	614762340	GCF_000739895.2	GCF_000420305.1	62.160775	4031	2894	1638	0.473069	0.400000	0.500000
522947658	522947658	GCF_000739895.2	GCF_000739895.2	100.000000	4031	4031	4031	1.000000	0.400000	0.500000
522947658	586537343	GCF_000739895.2	GCF_001314325.1	63.405457	4031	5547	1796	0.375026	0.400000	0.500000
522947658	524307044	GCF_000739895.2	GCF_001598375.1	63.077327	4031	4348	1934	0.461630	0.400000	0.500000
522947658	180153248	GCF_000739895.2	GCF_001890385.1	65.880385	4031	3945	1272	0.318957	0.400000	0.500000
522947658	280461516	GCF_000739895.2	GCF_003012815.1	64.740640	4031	2389	1421	0.442679	0.400000	0.500000
522947658	370233433	GCF_000739895.2	GCF_003201955.1	63.386516	4031	3896	1702	0.429418	0.400000	0.500000
522947658	4599098	GCF_000739895.2	GCF_003385775.1	63.425712	4031	2873	1439	0.416860	0.400000	0.500000
522947658	1018278902	GCF_000739895.2	GCF_005144965.1	59.994250	4031	3866	887	0.224642	0.400000	0.500000
522947658	312610489	GCF_000739895.2	GCF_014195685.1	62.198408	4031	2067	1225	0.401771	0.400000	0.500000
522947658	810053440	GCF_000739895.2	GCF_014200045.1	65.334391	4031	3269	1560	0.427397	0.400000	0.500000
522947658	29987998	GCF_000739895.2	GCF_019443285.1	64.885168	4031	3285	1490	0.407326	0.400000	0.500000
522947658	922524516	GCF_000739895.2	GCF_900128895.1	62.404452	4031	3404	1404	0.377673	0.400000	0.500000
586537343	796757473	GCF_001314325.1	GCF_000315525.1	64.035783	5547	5113	2191	0.411069	0.400000	0.500000
586537343	614762340	GCF_001314325.1	GCF_000420305.1	62.569127	5547	2894	1775	0.420566	0.400000	0.500000
