ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
763584387	763584387	GCF_000154285.1	GCF_000154285.1	100.000000	2189	2189	2152	0.983097	0.400000	0.500000
763584387	702721374	GCF_000154285.1	GCF_000156655.1	60.070703	2189	2512	797	0.339077	0.400000	0.500000
763584387	671202496	GCF_000154285.1	GCF_000157995.1	59.614758	2189	3656	847	0.289820	0.400000	0.500000
763584387	24462334	GCF_000154285.1	GCF_000177375.1	55.400507	2189	1430	493	0.272451	0.400000	0.500000
763584387	853896611	GCF_000154285.1	GCF_000313565.1	60.831741	2189	3570	1005	0.349019	0.400000	0.500000
763584387	14944476	GCF_000154285.1	GCF_000384195.1	57.781231	2189	1802	674	0.337760	0.400000	0.500000
763584387	127472127	GCF_000154285.1	GCF_000469305.1	60.304300	2189	2023	814	0.386515	0.400000	0.500000
763584387	994496544	GCF_000154285.1	GCF_001564455.1	57.134155	2189	2428	710	0.307559	0.400000	0.500000
763584387	851484701	GCF_000154285.1	GCF_001945525.1	57.444872	2189	2577	663	0.278221	0.400000	0.500000
763584387	852348640	GCF_000154285.1	GCF_001945605.1	58.397984	2189	2373	744	0.326173	0.400000	0.500000
763584387	564929023	GCF_000154285.1	GCF_003725415.1	58.655540	2189	2331	704	0.311504	0.400000	0.500000
763584387	106118100	GCF_000154285.1	GCF_004341945.1	67.872998	2189	2795	1211	0.485955	0.400000	0.500000
763584387	708651148	GCF_000154285.1	GCF_004365815.1	59.734585	2189	2332	772	0.341517	0.400000	0.500000
763584387	415335869	GCF_000154285.1	GCF_009696175.1	58.047655	2189	2074	725	0.340136	0.400000	0.500000
763584387	823133895	GCF_000154285.1	GCF_009831105.1	64.334904	2189	2256	1040	0.467942	0.400000	0.500000
763584387	27830809	GCF_000154285.1	GCF_010537335.1	67.608585	2189	2434	1124	0.486264	0.400000	0.500000
763584387	872823077	GCF_000154285.1	GCF_014202635.1	59.522936	2189	1768	763	0.385646	0.400000	0.500000
763584387	873806180	GCF_000154285.1	GCF_014202755.1	58.871512	2189	1961	681	0.328193	0.400000	0.500000
763584387	104805959	GCF_000154285.1	GCF_900104665.1	60.472865	2189	2581	890	0.373166	0.400000	0.500000
763584387	273305029	GCF_000154285.1	GCF_900155395.1	64.309879	2189	2399	1073	0.467742	0.400000	0.500000
763584387	144265606	GCF_000154285.1	GCF_900167375.1	57.881597	2189	2390	739	0.322778	0.400000	0.500000
763584387	355522225	GCF_000154285.1	GCF_900199515.1	62.770226	2189	2446	1016	0.438403	0.400000	0.500000
763584387	242116474	GCF_000154285.1	GCF_900637845.1	55.625365	2189	1644	479	0.249935	0.400000	0.500000
702721374	763584387	GCF_000156655.1	GCF_000154285.1	60.070703	2512	2189	797	0.339077	0.400000	0.500000
702721374	702721374	GCF_000156655.1	GCF_000156655.1	100.000000	2512	2512	2440	0.971338	0.400000	0.500000
702721374	671202496	GCF_000156655.1	GCF_000157995.1	56.520029	2512	3656	684	0.221790	0.400000	0.500000
702721374	24462334	GCF_000156655.1	GCF_000177375.1	54.957234	2512	1430	470	0.238458	0.400000	0.500000
702721374	853896611	GCF_000156655.1	GCF_000313565.1	57.046244	2512	3570	812	0.267017	0.400000	0.500000
702721374	14944476	GCF_000156655.1	GCF_000384195.1	60.619056	2512	1802	816	0.378303	0.400000	0.500000
702721374	127472127	GCF_000156655.1	GCF_000469305.1	68.514208	2512	2023	1098	0.484234	0.400000	0.500000
702721374	994496544	GCF_000156655.1	GCF_001564455.1	61.377348	2512	2428	905	0.366397	0.400000	0.500000
702721374	851484701	GCF_000156655.1	GCF_001945525.1	61.079719	2512	2577	853	0.335233	0.400000	0.500000
