POCP	GCF_012396605.1.faa	GCF_007988965.1.faa	GCF_003664125.1.faa	GCF_003143955.1.faa	GCF_003057615.1.faa	GCF_003049505.1.faa	GCF_002167005.1.faa	GCF_001700325.1.faa	GCF_001274945.1.faa	GCF_000425545.1.faa	GCF_000348905.1.faa	GCA_001586195.1.faa
GCF_012396605.1.faa	100	~	~	~	~	~	~	~	~	~	~	~
GCF_007988965.1.faa	54.994296887730165	100	~	~	~	~	~	~	~	~	~	~
GCF_003664125.1.faa	48.8955036816544	50.03012955709551	100	~	~	~	~	~	~	~	~	~
GCF_003143955.1.faa	54.44827586206896	57.72089182493807	48.84938898587526	100	~	~	~	~	~	~	~	~
GCF_003057615.1.faa	55.93712626003759	48.64112639161755	47.02549575070821	55.83087853058395	100	~	~	~	~	~	~	~
GCF_003049505.1.faa	54.4097507532183	50.430064840545185	44.79046520569012	49.14127423822715	50.694348961913924	100	~	~	~	~	~	~
GCF_002167005.1.faa	48.788128606760104	49.19303797468355	65.07767286018885	48.68794918936988	45.92445328031809	43.28657314629258	100	~	~	~	~	~
GCF_001700325.1.faa	53.871124817399775	49.08042394014963	47.042930051035725	53.42984043428195	55.57729941291585	50.07254979554149	46.27994955863809	100	~	~	~	~
GCF_001274945.1.faa	52.72896698615549	59.72705034118707	49.40721327842256	55.27590847913862	48.45650140318054	54.13121361397224	47.10851202079272	47.97843665768194	100	~	~	~
GCF_000425545.1.faa	54.0536201637502	53.670573719925976	53.19465081723626	51.73255246461689	51.88709677419355	48.07164335207217	51.902682470368056	48.509526736324524	52.18221147728719	100	~	~
GCF_000348905.1.faa	52.01566835319079	53.16515198997179	58.37356668678334	49.09842845326716	47.26139717940308	47.31681462832913	57.74960380348653	46.518888541991885	50.934639680288775	59.592215013901765	100	~
GCA_001586195.1.faa	60.12080141426046	56.0272611103223	50.47331595554946	52.72889949299135	51.53129161118508	57.46832358674464	48.41486156935878	56.57280316966181	57.50772154906153	53.70707778556412	53.97412199630314	100
