POCP	GCF_014077625.1.faa	GCF_009910365.1.faa	GCF_004340525.1.faa	GCF_003402235.1.faa	GCF_002868715.1.faa	GCF_001983995.1.faa	GCF_000764025.1.faa	GCF_000423125.1.faa	GCF_000158175.1.faa	GCF_000153125.2.faa
GCF_014077625.1.faa	100	~	~	~	~	~	~	~	~	~
GCF_009910365.1.faa	51.25086865879083	100	~	~	~	~	~	~	~	~
GCF_004340525.1.faa	53.570310053241464	47.78097062579821	100	~	~	~	~	~	~	~
GCF_003402235.1.faa	62.66557421821658	48.02110817941953	49.85314774613715	100	~	~	~	~	~	~
GCF_002868715.1.faa	60.56359482102056	51.65295669719075	58.843489325604416	58.98876404494382	100	~	~	~	~	~
GCF_001983995.1.faa	56.919770773638966	47.40449110527851	48.65117521367522	56.07121661721068	55.432372505543235	100	~	~	~	~
GCF_000764025.1.faa	54.70668485675307	52.68199233716475	66.63527934714375	50.52674784512246	59.05968554419173	52.31122595463681	100	~	~	~
GCF_000423125.1.faa	61.61879895561357	51.71293561724749	54.48527425020265	62.2856457608826	66.71943015433321	53.92696348174088	56.83139534883721	100	~	~
GCF_000158175.1.faa	49.255247122545704	47.632215693052196	49.84413965087282	45.518835849313206	49.931766489764975	46.8188302425107	57.78758059043094	47.32813402657424	100	~
GCF_000153125.2.faa	49.17770339106389	48.06638020447473	58.422550481095	49.494949494949495	51.9581899973538	49.90593252226264	59.530406883476736	54.55813363763154	49.78988552383712	100
