ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
642208736	642208736	GCF_000430685.1	GCF_000430685.1	100.000000	3231	3231	3211	0.993810	0.400000	0.500000
642208736	921987328	GCF_000430685.1	GCF_002003465.1	69.874973	3231	3296	1868	0.572392	0.400000	0.500000
642208736	114459580	GCF_000430685.1	GCF_004341035.1	64.461781	3231	4586	1825	0.466931	0.400000	0.500000
642208736	900222312	GCF_000430685.1	GCF_006539285.1	60.482591	3231	3031	1235	0.394443	0.400000	0.500000
921987328	642208736	GCF_002003465.1	GCF_000430685.1	69.874973	3296	3231	1868	0.572392	0.400000	0.500000
921987328	921987328	GCF_002003465.1	GCF_002003465.1	100.000000	3296	3296	3276	0.993932	0.400000	0.500000
921987328	114459580	GCF_002003465.1	GCF_004341035.1	64.891011	3296	4586	1741	0.441766	0.400000	0.500000
921987328	900222312	GCF_002003465.1	GCF_006539285.1	60.679397	3296	3031	1228	0.388178	0.400000	0.500000
114459580	642208736	GCF_004341035.1	GCF_000430685.1	64.461781	4586	3231	1825	0.466931	0.400000	0.500000
114459580	921987328	GCF_004341035.1	GCF_002003465.1	64.891011	4586	3296	1741	0.441766	0.400000	0.500000
114459580	114459580	GCF_004341035.1	GCF_004341035.1	100.000000	4586	4586	4585	0.999782	0.400000	0.500000
114459580	900222312	GCF_004341035.1	GCF_006539285.1	62.188925	4586	3031	1386	0.363923	0.400000	0.500000
900222312	642208736	GCF_006539285.1	GCF_000430685.1	60.482591	3031	3231	1235	0.394443	0.400000	0.500000
900222312	921987328	GCF_006539285.1	GCF_002003465.1	60.679397	3031	3296	1228	0.388178	0.400000	0.500000
900222312	114459580	GCF_006539285.1	GCF_004341035.1	62.188925	3031	4586	1386	0.363923	0.400000	0.500000
900222312	900222312	GCF_006539285.1	GCF_006539285.1	100.000000	3031	3031	3031	1.000000	0.400000	0.500000
