POCP	GCF_008087665.1.faa	GCF_008065135.1.faa	GCF_008035925.1.faa	GCF_007752135.1.faa	GCF_007751715.1.faa	GCF_007751035.1.faa	GCF_007747655.1.faa	GCF_001642955.1.faa	GCF_000196115.1.faa	GCF_000153105.1.faa	GCF_000025185.1.faa
GCF_008087665.1.faa	100	~	~	~	~	~	~	~	~	~	~
GCF_008065135.1.faa	32.434402332361515	100	~	~	~	~	~	~	~	~	~
GCF_008035925.1.faa	30.32332754486066	51.302511147617935	100	~	~	~	~	~	~	~	~
GCF_007752135.1.faa	29.63282192725392	44.00423039375204	39.47348795585055	100	~	~	~	~	~	~	~
GCF_007751715.1.faa	33.04473304473304	55.41723049165539	45.9760694968038	44.026983178208525	100	~	~	~	~	~	~
GCF_007751035.1.faa	28.312412831241286	37.01374330305148	32.89511288939697	34.764901888189556	38.20133355017076	100	~	~	~	~	~
GCF_007747655.1.faa	26.401964797380273	33.82409918636188	30.42362002567394	32.14839997043825	35.0210970464135	47.520895310950564	100	~	~	~	~
GCF_001642955.1.faa	28.721074183411105	43.58859798052006	44.718882027949306	31.945502242531948	41.98868991517436	27.055788455336987	25.309734513274336	100	~	~	~
GCF_000196115.1.faa	31.133496516663527	51.82991513437057	50.575267519510824	40.35851901491037	48.718665548411145	32.22355289421158	29.264600430244602	48.251361077789056	100	~	~
GCF_000153105.1.faa	28.91098484848485	37.36	31.7215169402442	34.04344897271809	39.67569594151279	41.74757281553398	39.482744815437584	27.508120649651975	33.40675477239354	100	~
GCF_000025185.1.faa	28.25998783208274	35.53828658074299	30.970948667409377	32.87707997852925	37.067495737639156	44.1223969400765	54.45678907641421	27.5478813138831	31.89841145322612	43.291239147592734	100
