POCP	GCF_016907775.1.faa	GCF_014647495.1.faa	GCF_014201135.1.faa	GCF_013408295.1.faa	GCF_008580665.1.faa	GCF_006716305.1.faa	GCF_006538985.1.faa	GCF_006094695.1.faa	GCF_004217565.1.faa	GCF_003946885.1.faa	GCF_003703835.1.faa	GCF_003640665.1.faa	GCF_003386075.1.faa	GCF_001968835.1.faa	GCF_000688395.1.faa	GCF_000420805.1.faa	GCF_000376245.1.faa	GCF_000238915.1.faa	GCF_000164695.2.faa	GCF_000023205.1.faa	GCF_000018885.1.faa
GCF_016907775.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014647495.1.faa	44.420407427438256	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014201135.1.faa	49.839640795381655	53.60025831449791	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_013408295.1.faa	41.80096696212732	45.90340996759759	47.85243272144003	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_008580665.1.faa	49.969690846635686	55.05722239406124	59.02430307362402	49.83851776304606	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006716305.1.faa	46.70224119530416	45.42083198968075	47.14928732183046	39.5977932016373	48.91149179157745	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006538985.1.faa	38.89808074123097	51.23660891416479	48.767000448363476	56.37718543995413	54.77524055723107	40.51350947902672	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006094695.1.faa	41.09246697607997	48.20901812052254	49.87998079692751	44.47674418604651	53.79543014875019	45.852645037557934	51.53623949579832	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004217565.1.faa	45.16312594840668	55.63411400795404	55.3978712620375	50.467289719626166	58.81117751574867	44.77813396321917	55.640955256656596	51.78258328462887	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003946885.1.faa	39.081412701044606	49.33757286698463	45.911949685534594	55.70710696338838	52.01438848920863	39.664971582411006	57.93660658794282	47.12613442062344	51.849305651038094	100	~	~	~	~	~	~	~	~	~	~	~
GCF_003703835.1.faa	46.723328114515766	42.08416833667334	46.97147323173114	39.40795559666975	44.712430426716146	55.891533359344514	36.77717810331534	41.800430249875895	41.9569403115701	37.99443757725587	100	~	~	~	~	~	~	~	~	~	~
GCF_003640665.1.faa	55.832800170612074	52.529809861424425	53.335832083958024	49.777698737328826	53.10271041369472	44.01197604790419	47.38176935700433	44.641431081296915	53.68403304670376	45.21674140508221	43.859649122807014	100	~	~	~	~	~	~	~	~	~
GCF_003386075.1.faa	45.94753328112765	51.924528301886795	54.97827975673327	45.29956967891427	56.230296996847514	57.29654693735902	49.550688008986235	54.40119760479042	53.71653543307087	46.23716415810944	51.090286538114974	49.280388416854514	100	~	~	~	~	~	~	~	~
GCF_001968835.1.faa	43.59683794466403	47.98540367948913	50.60452076397407	50.85085085085085	53.38685398896137	44.46194225721784	51.30053717839977	54.372738238841976	48.39733417962552	52.96700184109899	42.10143610252681	48.225214198286416	51.56402737047898	100	~	~	~	~	~	~	~
GCF_000688395.1.faa	44.699383896324626	46.7866323907455	50.74710496824804	56.461620280092184	50.24884464984003	42.37224916076091	52.269007588156526	46.2494027711419	51.13464447806354	49.448419797257	41.27816627816628	49.869549012299665	47.5885911840968	50.65365173435593	100	~	~	~	~	~	~
GCF_000420805.1.faa	44.93037423846823	44.93701946671029	46.63360671371352	38.91500904159132	47.88757932910245	79.85145686535898	39.93948562783661	45.038910505836576	45.15244946899623	40.07882370774595	56.402620607504474	43.5394862036156	57.24356714839619	43.06789904017064	41.532334534420634	100	~	~	~	~	~
GCF_000376245.1.faa	46.826126954921804	46.410912190963344	52.212212212212215	62.495266944339264	50.54110499335485	43.393963621826906	51.80760767054385	47.5	50.03577817531306	50.33863600567019	43.683441219461265	51.28819652486519	46.737928492443785	51.729267385645215	58.78606965174129	42.16524216524217	100	~	~	~	~
GCF_000238915.1.faa	37.118902439024396	47.468119351244276	46.732343554877204	52.22844942620763	54.87364620938629	38.78031878031878	68.8126895264754	52.13969503197246	52.55062804409126	56.30183389790913	35.609198685902015	44.1889458373736	47.342236187483635	50.0	47.98949841094376	38.52090934605669	48.226228554812444	100	~	~	~
GCF_000164695.2.faa	38.4689224862011	34.39479239971851	38.61653510594101	36.44383454224662	37.86865906409752	34.25964330153463	33.73240575958582	39.118313294999126	36.23590312442226	33.67380025940337	35.65538194444444	38.02320762536262	35.576739752144896	37.271502790071196	37.90255986787779	34.22776251848722	40.53511705685619	31.327460056741824	100	~	~
GCF_000023205.1.faa	50.615849407390186	49.312714776632305	57.111111111111114	46.47699064349818	53.52355419379548	53.40863251311012	45.100522399873356	52.68085106382979	51.181244364292155	44.33692893401015	55.81787521079258	51.59209995969367	62.75785170042742	51.47196699793737	51.24497991967871	52.7623742041487	51.504003462454016	43.09966339821455	39.32432432432432	100	~
GCF_000018885.1.faa	41.5478982500451	43.88101983002833	47.83521809369952	67.14528331017446	46.843082636954506	37.52823491448854	52.81196241894932	45.25650035137034	47.221812822402356	52.028101802757156	39.77272727272727	46.01741373750403	42.47092584201782	48.060246462802375	53.279742765273305	36.91275167785235	60.22862992663368	49.3125232255667	34.24295774647887	45.667125171939475	100
