POCP	GCF_900186865.1.faa	GCF_900106525.1.faa	GCF_018122625.2.faa	GCF_014841215.1.faa	GCF_014202935.1.faa	GCF_014202435.1.faa	GCF_011801475.1.faa	GCF_004346265.1.faa	GCF_000743535.1.faa	GCF_000429065.1.faa	GCF_000422305.1.faa	GCF_000007145.1.faa
GCF_900186865.1.faa	100	~	~	~	~	~	~	~	~	~	~	~
GCF_900106525.1.faa	50.25020850708925	100	~	~	~	~	~	~	~	~	~	~
GCF_018122625.2.faa	51.9009075300466	47.52613240418119	100	~	~	~	~	~	~	~	~	~
GCF_014841215.1.faa	38.18121400088613	38.29607760438633	43.63658960974397	100	~	~	~	~	~	~	~	~
GCF_014202935.1.faa	46.47297108534711	44.74064346684176	56.969402622632344	53.127215997730815	100	~	~	~	~	~	~	~
GCF_014202435.1.faa	54.77639587192379	47.69153980534065	58.18126520681265	43.63758389261745	57.42698441139581	100	~	~	~	~	~	~
GCF_011801475.1.faa	40.552346061716214	35.4296306103535	40.817661488143905	31.563886106739165	43.4375	48.233375611523826	100	~	~	~	~	~
GCF_004346265.1.faa	49.43625325238508	45.85028478437754	53.92520215633423	45.97650513950073	63.934426229508205	60.88014981273409	47.24328755892601	100	~	~	~	~
GCF_000743535.1.faa	46.50426644646298	46.28334628334628	55.14003819223424	50.32131880413523	67.34732463603706	56.13572433192686	42.18480964224221	60.20206022187005	100	~	~	~
GCF_000429065.1.faa	46.55841356516741	41.995954146999324	53.97356533377948	49.83214129324186	67.9245283018868	56.25348448243821	43.577235772357724	62.83484496941574	66.00510905875417	100	~	~
GCF_000422305.1.faa	52.06253284287966	52.788795240456125	56.18401206636501	43.443496801705756	58.047914818101155	60.0596619158104	44.231114301094564	62.32851316277345	59.82236154649948	53.43146274149034	100	~
GCF_000007145.1.faa	59.514672686230256	50.375697724345216	57.463823305407466	39.31672760511883	47.59552520703182	58.56907443010162	43.79123295704442	50.24089129780187	46.39484978540773	47.53853060002993	52.48091603053435	100
