ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
811879108	811879108	GCA_001517915.1	GCA_001517915.1	100.000000	1891	1891	1890	0.999471	0.400000	0.500000
811879108	896341301	GCA_001517915.1	GCF_000023905.1	59.407496	1891	2343	587	0.277279	0.400000	0.500000
811879108	872329755	GCA_001517915.1	GCF_000024405.1	57.993917	1891	4296	600	0.193955	0.400000	0.500000
811879108	871227488	GCA_001517915.1	GCF_000024565.1	61.128236	1891	1573	703	0.405889	0.400000	0.500000
811879108	941467390	GCA_001517915.1	GCF_001517835.1	65.830875	1891	1227	800	0.513149	0.400000	0.500000
811879108	942390911	GCA_001517915.1	GCF_001517935.1	64.784707	1891	1255	752	0.478067	0.400000	0.500000
811879108	330219889	GCA_001517915.1	GCF_007990505.1	61.041822	1891	2238	697	0.337612	0.400000	0.500000
896341301	811879108	GCF_000023905.1	GCA_001517915.1	59.407496	2343	1891	587	0.277279	0.400000	0.500000
896341301	896341301	GCF_000023905.1	GCF_000023905.1	100.000000	2343	2343	2339	0.998293	0.400000	0.500000
896341301	872329755	GCF_000023905.1	GCF_000024405.1	61.776417	2343	4296	1041	0.313601	0.400000	0.500000
896341301	871227488	GCF_000023905.1	GCF_000024565.1	61.009867	2343	1573	603	0.307967	0.400000	0.500000
896341301	941467390	GCF_000023905.1	GCF_001517835.1	60.283532	2343	1227	586	0.328291	0.400000	0.500000
896341301	942390911	GCF_000023905.1	GCF_001517935.1	59.512389	2343	1255	561	0.311840	0.400000	0.500000
896341301	330219889	GCF_000023905.1	GCF_007990505.1	70.857987	2343	2238	1252	0.546606	0.400000	0.500000
872329755	811879108	GCF_000024405.1	GCA_001517915.1	57.993917	4296	1891	600	0.193955	0.400000	0.500000
872329755	896341301	GCF_000024405.1	GCF_000023905.1	61.776417	4296	2343	1041	0.313601	0.400000	0.500000
872329755	872329755	GCF_000024405.1	GCF_000024405.1	100.000000	4296	4296	4267	0.993250	0.400000	0.500000
872329755	871227488	GCF_000024405.1	GCF_000024565.1	58.953734	4296	1573	616	0.209917	0.400000	0.500000
872329755	941467390	GCF_000024405.1	GCF_001517835.1	58.362876	4296	1227	598	0.216549	0.400000	0.500000
872329755	942390911	GCF_000024405.1	GCF_001517935.1	57.585446	4296	1255	560	0.201765	0.400000	0.500000
872329755	330219889	GCF_000024405.1	GCF_007990505.1	62.323550	4296	2238	1121	0.343128	0.400000	0.500000
871227488	811879108	GCF_000024565.1	GCA_001517915.1	61.128236	1573	1891	703	0.405889	0.400000	0.500000
871227488	896341301	GCF_000024565.1	GCF_000023905.1	61.009867	1573	2343	603	0.307967	0.400000	0.500000
871227488	872329755	GCF_000024565.1	GCF_000024405.1	58.953734	1573	4296	616	0.209917	0.400000	0.500000
871227488	871227488	GCF_000024565.1	GCF_000024565.1	100.000000	1573	1573	1543	0.980928	0.400000	0.500000
871227488	941467390	GCF_000024565.1	GCF_001517835.1	61.981526	1573	1227	701	0.500714	0.400000	0.500000
871227488	942390911	GCF_000024565.1	GCF_001517935.1	60.931431	1573	1255	657	0.464639	0.400000	0.500000
871227488	330219889	GCF_000024565.1	GCF_007990505.1	61.636782	1573	2238	696	0.365258	0.400000	0.500000
941467390	811879108	GCF_001517835.1	GCA_001517915.1	65.830875	1227	1891	800	0.513149	0.400000	0.500000
941467390	896341301	GCF_001517835.1	GCF_000023905.1	60.283532	1227	2343	586	0.328291	0.400000	0.500000
941467390	872329755	GCF_001517835.1	GCF_000024405.1	58.362876	1227	4296	598	0.216549	0.400000	0.500000
941467390	871227488	GCF_001517835.1	GCF_000024565.1	61.981526	1227	1573	701	0.500714	0.400000	0.500000
941467390	941467390	GCF_001517835.1	GCF_001517835.1	100.000000	1227	1227	1227	1.000000	0.400000	0.500000
941467390	942390911	GCF_001517835.1	GCF_001517935.1	65.282468	1227	1255	790	0.636583	0.400000	0.500000
941467390	330219889	GCF_001517835.1	GCF_007990505.1	60.956963	1227	2238	675	0.389610	0.400000	0.500000
