POCP	GCF_900128895.1.faa	GCF_019443285.1.faa	GCF_014200045.1.faa	GCF_014195685.1.faa	GCF_005144965.1.faa	GCF_003385775.1.faa	GCF_003201955.1.faa	GCF_003012815.1.faa	GCF_001890385.1.faa	GCF_001598375.1.faa	GCF_001314325.1.faa	GCF_000739895.2.faa	GCF_000420305.1.faa	GCF_000315525.1.faa
GCF_900128895.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_019443285.1.faa	52.90809530856889	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014200045.1.faa	47.67649687220733	48.16880180859081	100	~	~	~	~	~	~	~	~	~	~	~
GCF_014195685.1.faa	46.81278538812785	47.53521126760563	46.88959461983934	100	~	~	~	~	~	~	~	~	~	~
GCF_005144965.1.faa	36.12572330352446	37.900332225913616	38.17161186848436	37.385872176838056	100	~	~	~	~	~	~	~	~	~
GCF_003385775.1.faa	58.01901743264659	54.533782699406196	50.25856496444732	53.16225500101031	39.7711217858152	100	~	~	~	~	~	~	~	~
GCF_003201955.1.faa	53.699643738010415	49.85455049175786	48.7876254180602	44.669024759979784	38.42053062236548	52.65800354400473	100	~	~	~	~	~	~	~
GCF_003012815.1.faa	47.85885577252484	49.43566591422122	50.59482155353394	62.38552602188966	40.175597941265515	53.84036144578314	46.92063492063492	100	~	~	~	~	~	~
GCF_001890385.1.faa	32.58639308855292	36.253240551234825	40.83173208893769	33.42153133785348	32.16731898238748	36.92240627724498	36.02287166454892	39.25117004680187	100	~	~	~	~	~
GCF_001598375.1.faa	40.23760330578512	46.34050880626223	44.47651535030176	38.853203822653924	34.9859022556391	40.64837905236908	50.73117231294175	41.84702045656685	36.30351130351131	100	~	~	~	~
GCF_001314325.1.faa	43.54152675173494	46.041784302653866	43.20245120290513	38.1618909282979	34.281591424448564	46.2535680304472	49.36143039591315	42.38911290322581	39.227856090889965	45.305832147937416	100	~	~	~
GCF_000739895.2.faa	40.715249662618085	43.9230664302278	46.40504939626784	43.51132418581584	36.47591098067987	44.88669378268448	48.09451219512195	47.894572676232066	36.74517664745678	52.03173839865352	42.96381994110223	100	~	~
GCF_000420305.1.faa	53.8412798986219	48.17131857555342	50.541108060087225	53.2108239095315	38.22906369156899	55.261793675479524	55.586715867158674	54.487300094073376	36.688453159041394	46.40631491483174	46.724527404589224	51.401190649048935	100	~
GCF_000315525.1.faa	40.39345034750854	42.53269916765755	49.025935221704316	39.49214365881033	35.648698282380906	43.2123571518272	48.88839235839571	44.33319983980777	40.072839642423574	50.95243162711503	48.77680173798054	51.82610614586781	48.380617624905845	100
