POCP	GCF_900636535.1.faa	GCF_900176425.1.faa	GCF_900167905.1.faa	GCF_900142565.1.faa	GCF_900141665.1.faa	GCF_900115015.1.faa	GCF_900113805.1.faa	GCF_013294015.1.faa	GCF_003860565.1.faa	GCF_003687725.1.faa	GCF_002964975.1.faa	GCF_000428485.1.faa	GCF_000382425.1.faa	GCF_000367325.1.faa	GCF_000301075.1.faa	GCF_000265465.1.faa	GCF_000252855.1.faa	GCF_000189415.1.faa
GCF_900636535.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900176425.1.faa	41.318977119784655	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900167905.1.faa	54.11835748792271	43.29097210760852	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900142565.1.faa	40.02645184561741	51.0498687664042	43.72078026761245	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900141665.1.faa	41.304053138132026	39.546159813809155	52.11856355690671	37.056603773584904	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900115015.1.faa	39.861583292860615	53.56608478802992	47.10878797778504	69.54050982302323	39.29871622916267	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900113805.1.faa	49.20279023418037	41.91493025658688	59.5197835644234	41.740883885061336	52.98343643983237	43.100511073253834	100	~	~	~	~	~	~	~	~	~	~	~
GCF_013294015.1.faa	47.71513353115727	38.26563507414571	53.57312628743463	36.83049779458097	48.946005917159766	39.26918780915909	61.28073939593992	100	~	~	~	~	~	~	~	~	~	~
GCF_003860565.1.faa	47.595656670113755	43.46328195829556	59.81856990394877	43.48824880720976	55.07522780250053	44.74722122624596	61.564245810055866	56.33778394312468	100	~	~	~	~	~	~	~	~	~
GCF_003687725.1.faa	35.98835000633152	51.58562367864693	46.152515995158225	65.25773195876289	40.16393442622951	69.8031015856421	42.650515277526665	38.680836707152494	47.01278870013361	100	~	~	~	~	~	~	~	~
GCF_002964975.1.faa	33.1656346749226	39.14301211354185	38.82582476055339	40.75770925110132	39.1974656810982	40.16803718269574	39.28704047530635	35.915614732837625	41.89242245779348	40.22835394862036	100	~	~	~	~	~	~	~
GCF_000428485.1.faa	55.66712834718375	42.32500388018004	59.66412213740458	42.173979049643236	50.89428014875155	43.83645865355057	58.145442997777074	54.68259895444362	58.67465867465867	41.28425490514026	37.49584855529724	100	~	~	~	~	~	~
GCF_000382425.1.faa	45.01255421136727	53.11114508484941	44.765342960288805	67.43455497382199	37.284595300261095	72.0321017565112	39.02439024390244	36.257912557044016	41.43184796854521	64.11811652035115	37.41830065359477	42.76166097838453	100	~	~	~	~	~
GCF_000367325.1.faa	54.631554631554636	39.61472735746466	56.5861858190709	44.91718583801854	45.16929622407375	43.87692307692308	52.193261284170376	47.52578860816266	52.86666666666666	41.09722447654601	37.4501329787234	52.04965357967667	43.7090805579277	100	~	~	~	~
GCF_000301075.1.faa	38.74760732841126	38.68054192028274	51.519230769230774	37.99885430590032	55.92273679311147	40.26377036462374	52.40501212611156	49.87839101964453	55.64862542955326	41.66493668258252	39.87585616438356	47.67191977077364	36.325237592397045	45.71531014700609	100	~	~	~
GCF_000265465.1.faa	28.29261816250664	39.12634155526266	35.75119970468808	36.498625114573784	38.29457364341085	38.33271306289542	35.05613627564847	32.03307567859069	37.95650389823553	40.25819265143992	36.52351738241309	33.50568769389866	36.57627118644068	33.62663906142167	40.655884995507634	100	~	~
GCF_000252855.1.faa	40.01661589587372	40.73185362927415	53.01487862176977	40.21379980563654	57.55053507728894	42.71327014218009	54.03624382207578	49.87626118408529	58.80806310254163	43.53439153439154	42.96943231441048	50.091041514930815	38.49731663685152	47.958439664600796	60.59874456784162	43.34862385321101	100	~
GCF_000189415.1.faa	33.69788106630212	52.90537887711032	43.51086329552009	57.407407407407405	44.090274546300606	61.547411285631185	41.40230349565569	37.65432098765432	45.30813828645051	62.76463262764632	42.242670661245455	39.64189794091316	57.02973781453458	38.59114536655315	44.88783943329398	43.16191331686504	46.94665701182718	100
