ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
1033066503	1033066503	GCF_000382325.1	GCF_000382325.1	100.000000	2880	2880	2871	0.996875	0.400000	0.500000
1033066503	856650071	GCF_000382325.1	GCF_000412185.1	58.911299	2880	3234	1447	0.473340	0.400000	0.500000
1033066503	614017565	GCF_000382325.1	GCF_000420265.1	64.534451	2880	2844	1820	0.635919	0.400000	0.500000
1033066503	751130331	GCF_000382325.1	GCF_003634045.1	61.817489	2880	3344	1744	0.560411	0.400000	0.500000
1033066503	619681353	GCF_000382325.1	GCF_004793635.1	64.876981	2880	2954	1779	0.609873	0.400000	0.500000
856650071	1033066503	GCF_000412185.1	GCF_000382325.1	58.911299	3234	2880	1447	0.473340	0.400000	0.500000
856650071	856650071	GCF_000412185.1	GCF_000412185.1	100.000000	3234	3234	3232	0.999382	0.400000	0.500000
856650071	614017565	GCF_000412185.1	GCF_000420265.1	59.029601	3234	2844	1554	0.511352	0.400000	0.500000
856650071	751130331	GCF_000412185.1	GCF_003634045.1	59.108225	3234	3344	1617	0.491639	0.400000	0.500000
856650071	619681353	GCF_000412185.1	GCF_004793635.1	59.408120	3234	2954	1638	0.529412	0.400000	0.500000
614017565	1033066503	GCF_000420265.1	GCF_000382325.1	64.534451	2844	2880	1820	0.635919	0.400000	0.500000
614017565	856650071	GCF_000420265.1	GCF_000412185.1	59.029601	2844	3234	1554	0.511352	0.400000	0.500000
614017565	614017565	GCF_000420265.1	GCF_000420265.1	100.000000	2844	2844	2840	0.998594	0.400000	0.500000
614017565	751130331	GCF_000420265.1	GCF_003634045.1	61.688525	2844	3344	1804	0.583064	0.400000	0.500000
614017565	619681353	GCF_000420265.1	GCF_004793635.1	67.141614	2844	2954	2051	0.707485	0.400000	0.500000
751130331	1033066503	GCF_003634045.1	GCF_000382325.1	61.817489	3344	2880	1744	0.560411	0.400000	0.500000
751130331	856650071	GCF_003634045.1	GCF_000412185.1	59.108225	3344	3234	1617	0.491639	0.400000	0.500000
751130331	614017565	GCF_003634045.1	GCF_000420265.1	61.688525	3344	2844	1804	0.583064	0.400000	0.500000
751130331	751130331	GCF_003634045.1	GCF_003634045.1	100.000000	3344	3344	3343	0.999701	0.400000	0.500000
751130331	619681353	GCF_003634045.1	GCF_004793635.1	61.873322	3344	2954	1773	0.563036	0.400000	0.500000
619681353	1033066503	GCF_004793635.1	GCF_000382325.1	64.876981	2954	2880	1779	0.609873	0.400000	0.500000
619681353	856650071	GCF_004793635.1	GCF_000412185.1	59.408120	2954	3234	1638	0.529412	0.400000	0.500000
619681353	614017565	GCF_004793635.1	GCF_000420265.1	67.141614	2954	2844	2051	0.707485	0.400000	0.500000
619681353	751130331	GCF_004793635.1	GCF_003634045.1	61.873322	2954	3344	1773	0.563036	0.400000	0.500000
619681353	619681353	GCF_004793635.1	GCF_004793635.1	100.000000	2954	2954	2953	0.999661	0.400000	0.500000
