POCP	GCF_937425535.1.faa	GCF_900114315.1.faa	GCF_023078375.1.faa	GCF_017311575.1.faa	GCF_014672835.1.faa	GCF_014644455.1.faa	GCF_014283215.1.faa	GCF_014192375.1.faa	GCF_013201075.1.faa	GCF_009900765.1.faa	GCF_006542395.2.faa	GCF_006542375.1.faa	GCF_006542355.1.faa	GCF_006539685.1.faa	GCF_005844085.1.faa	GCF_004761865.1.faa	GCF_004353985.1.faa	GCF_004346035.1.faa	GCF_003352165.1.faa	GCF_003350405.1.faa	GCF_003253705.1.faa	GCF_002937115.1.faa	GCF_002005465.1.faa	GCF_002003665.1.faa	GCF_001787335.1.faa	GCF_001598495.1.faa	GCF_001571345.1.faa	GCF_001547995.1.faa	GCF_000964405.1.faa	GCF_000964365.1.faa	GCF_000963885.1.faa	GCF_000745835.1.faa	GCF_000687875.1.faa	GCF_000378165.1.faa	GCF_000231445.1.faa	GCF_000193495.2.faa	GCF_000014285.2.faa
GCF_937425535.1.faa	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900114315.1.faa	41.495950452596475	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_023078375.1.faa	46.16865261228231	52.00704914822792	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_017311575.1.faa	41.58088582491264	61.47781259476397	53.575344134486535	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014672835.1.faa	25.903748059436683	22.843066570535928	31.455257607713165	28.700332436283045	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014644455.1.faa	40.407868615773324	59.214326978625074	50.85037922316709	60.99510798234101	26.98972099853157	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014283215.1.faa	42.31493099121707	57.257796947577965	49.51793289625916	56.631180977017216	23.172169811320757	62.57587253414264	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014192375.1.faa	35.75987235739928	31.965280754393483	41.82792887029289	35.785451071379825	40.91382904794997	33.82352941176471	31.749209694415175	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_013201075.1.faa	39.19324730135541	31.501075268817203	39.68413640478825	32.44282744282744	33.09727916511368	31.94897656481756	35.13536450818977	49.04514847113368	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009900765.1.faa	41.02331488705434	60.424130918950326	54.54124725211153	66.59456861331411	27.862538883128423	58.695405558706746	56.19456366237482	35.52377270970236	32.16630196936542	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006542395.2.faa	20.2263251935676	19.158332250941683	26.184538653366584	24.288724973656482	40.14067426631094	23.500888960724097	18.900343642611684	34.658094681472825	25.491516294101807	23.906657963446477	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006542375.1.faa	23.60091467083885	21.949297254695914	30.561646146061733	28.352353780313837	47.361902402774334	26.831666939845928	21.914811478574187	40.55874777095304	30.02724795640327	27.722608407811983	66.46162858816638	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006542355.1.faa	27.250748330647017	24.568210262828536	32.825880114176975	31.11111111111111	53.194381513366565	28.311207162704537	24.32498772704958	45.814896755162245	36.16690423739795	30.48761489328556	52.04431548404115	62.53711201079623	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006539685.1.faa	29.650593229563516	26.71063478977741	35.37534890553842	32.39284613012642	48.11800610376399	30.161914314371685	27.286391490345707	51.12236286919831	39.79070333414456	31.84971098265896	48.136067101584345	58.440323347598664	69.23412611826315	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_005844085.1.faa	40.80872330758746	34.41652924628965	42.4	37.99373795761079	38.140502005049754	36.10321700579743	35.88420750931499	52.395712256231434	62.33559186927062	35.30556191348135	29.67266775777414	34.31274900398406	40.009373535385095	43.58157055925819	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004761865.1.faa	42.000735564545785	59.75442043222004	53.24858757062147	63.767584097859334	28.013325257419748	71.65436086755884	65.1093054749468	35.55292881534016	32.82527505803977	61.6796375885701	24.42735328540378	27.82018659881255	29.73533163265306	31.448398051085192	37.58584565242696	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
