ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
897950015	897950015	GCF_000023785.1	GCF_000023785.1	100.000000	3192	3192	3191	0.999687	0.400000	0.500000
897950015	264637449	GCF_000023785.1	GCF_000376805.1	58.583174	3192	3199	1465	0.458457	0.400000	0.500000
897950015	617711649	GCF_000023785.1	GCF_000420665.1	59.086805	3192	3337	1546	0.473579	0.400000	0.500000
897950015	978646050	GCF_000023785.1	GCF_000685315.1	58.402046	3192	3884	1515	0.428208	0.400000	0.500000
264637449	897950015	GCF_000376805.1	GCF_000023785.1	58.583174	3199	3192	1465	0.458457	0.400000	0.500000
264637449	264637449	GCF_000376805.1	GCF_000376805.1	100.000000	3199	3199	3198	0.999687	0.400000	0.500000
264637449	617711649	GCF_000376805.1	GCF_000420665.1	60.538367	3199	3337	1758	0.537944	0.400000	0.500000
264637449	978646050	GCF_000376805.1	GCF_000685315.1	63.899426	3199	3884	2003	0.565580	0.400000	0.500000
617711649	897950015	GCF_000420665.1	GCF_000023785.1	59.086805	3337	3192	1546	0.473579	0.400000	0.500000
617711649	264637449	GCF_000420665.1	GCF_000376805.1	60.538367	3337	3199	1758	0.537944	0.400000	0.500000
617711649	617711649	GCF_000420665.1	GCF_000420665.1	100.000000	3337	3337	3336	0.999700	0.400000	0.500000
617711649	978646050	GCF_000420665.1	GCF_000685315.1	60.591338	3337	3884	1697	0.470018	0.400000	0.500000
978646050	897950015	GCF_000685315.1	GCF_000023785.1	58.402046	3884	3192	1515	0.428208	0.400000	0.500000
978646050	264637449	GCF_000685315.1	GCF_000376805.1	63.899426	3884	3199	2003	0.565580	0.400000	0.500000
978646050	617711649	GCF_000685315.1	GCF_000420665.1	60.591338	3884	3337	1697	0.470018	0.400000	0.500000
978646050	978646050	GCF_000685315.1	GCF_000685315.1	100.000000	3884	3884	3884	1.000000	0.400000	0.500000
