ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
815480308	815480308	GCF_000152825.2	GCF_000152825.2	100.000000	2673	2673	2661	0.995511	0.400000	0.500000
815480308	60632924	GCF_000152825.2	GCF_002943565.1	58.766679	2673	4506	1358	0.378326	0.400000	0.500000
815480308	874843362	GCF_000152825.2	GCF_022559625.1	60.164060	2673	2851	1298	0.469949	0.400000	0.500000
815480308	358292788	GCF_000152825.2	GCF_900199215.1	58.959563	2673	2966	1281	0.454336	0.400000	0.500000
60632924	815480308	GCF_002943565.1	GCF_000152825.2	58.766679	4506	2673	1358	0.378326	0.400000	0.500000
60632924	60632924	GCF_002943565.1	GCF_002943565.1	100.000000	4506	4506	4481	0.994452	0.400000	0.500000
60632924	874843362	GCF_002943565.1	GCF_022559625.1	60.466092	4506	2851	1538	0.418105	0.400000	0.500000
60632924	358292788	GCF_002943565.1	GCF_900199215.1	66.243674	4506	2966	2063	0.552195	0.400000	0.500000
874843362	815480308	GCF_022559625.1	GCF_000152825.2	60.164060	2851	2673	1298	0.469949	0.400000	0.500000
874843362	60632924	GCF_022559625.1	GCF_002943565.1	60.466092	2851	4506	1538	0.418105	0.400000	0.500000
874843362	874843362	GCF_022559625.1	GCF_022559625.1	100.000000	2851	2851	2850	0.999649	0.400000	0.500000
874843362	358292788	GCF_022559625.1	GCF_900199215.1	60.905471	2851	2966	1508	0.518480	0.400000	0.500000
358292788	815480308	GCF_900199215.1	GCF_000152825.2	58.959563	2966	2673	1281	0.454336	0.400000	0.500000
358292788	60632924	GCF_900199215.1	GCF_002943565.1	66.243674	2966	4506	2063	0.552195	0.400000	0.500000
358292788	874843362	GCF_900199215.1	GCF_022559625.1	60.905471	2966	2851	1508	0.518480	0.400000	0.500000
358292788	358292788	GCF_900199215.1	GCF_900199215.1	100.000000	2966	2966	2962	0.998651	0.400000	0.500000
