ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
539132609	539132609	GCF_000019845.1	GCF_000019845.1	100.000000	3930	3930	3913	0.995674	0.400000	0.500000
539132609	45241923	GCF_000019845.1	GCF_000385335.1	67.105827	3930	3925	1965	0.500318	0.400000	0.500000
539132609	69788342	GCF_000019845.1	GCF_004135935.1	65.219126	3930	3164	1681	0.473922	0.400000	0.500000
539132609	228240471	GCF_000019845.1	GCF_900187365.1	62.062492	3930	4466	1613	0.384231	0.400000	0.500000
45241923	539132609	GCF_000385335.1	GCF_000019845.1	67.105827	3925	3930	1965	0.500318	0.400000	0.500000
45241923	45241923	GCF_000385335.1	GCF_000385335.1	100.000000	3925	3925	3923	0.999490	0.400000	0.500000
45241923	69788342	GCF_000385335.1	GCF_004135935.1	66.571883	3925	3164	1965	0.554380	0.400000	0.500000
45241923	228240471	GCF_000385335.1	GCF_900187365.1	61.769849	3925	4466	1718	0.409486	0.400000	0.500000
69788342	539132609	GCF_004135935.1	GCF_000019845.1	65.219126	3164	3930	1681	0.473922	0.400000	0.500000
69788342	45241923	GCF_004135935.1	GCF_000385335.1	66.571883	3164	3925	1965	0.554380	0.400000	0.500000
69788342	69788342	GCF_004135935.1	GCF_004135935.1	100.000000	3164	3164	3159	0.998420	0.400000	0.500000
69788342	228240471	GCF_004135935.1	GCF_900187365.1	62.118758	3164	4466	1570	0.411533	0.400000	0.500000
228240471	539132609	GCF_900187365.1	GCF_000019845.1	62.062492	4466	3930	1613	0.384231	0.400000	0.500000
228240471	45241923	GCF_900187365.1	GCF_000385335.1	61.769849	4466	3925	1718	0.409486	0.400000	0.500000
228240471	69788342	GCF_900187365.1	GCF_004135935.1	62.118758	4466	3164	1570	0.411533	0.400000	0.500000
228240471	228240471	GCF_900187365.1	GCF_900187365.1	100.000000	4466	4466	4459	0.998433	0.400000	0.500000
